시_원문,,A,B,C,C_근거,D,D_근거,인간 평가 A,인간 평가 B,인간 평가 C,인간 평가 D,인간 평가 E
朔雪龍荒道陰風渤海涯元戎掌書記一代美男兒匣有干星劍囊留泣鬼詩邊沙暗金甲關月照紅旗玉塞行應遍雲臺?未遲相看?壯髮不作遠遊悲,,1,1,1,"이 작품은 변방으로 종군하는 인물(원융의 서기)을 송별하는 시로, 변새시(邊塞詩)의 전형적인 특징을 보여줍니다. 작품 속에 등장하는 '朔雪(북방의 눈)', '龍荒(황량한 북방 땅)', '邊沙(변방의 모래)', '金甲(갑옷)', '關月(변방 관문의 달)', '紅旗(붉은 군기)', '玉塞(옥문관, 변방의 요새)' 등의 시어는 변방의 이국적인 풍경과 군사적 긴장감을 사실적으로 묘사합니다. 또한 변방에서 공을 세워 운대(雲臺)에 초상이 그려지기를 기원하며 슬픔을 이겨내는 호방한 기상이 잘 드러나 있습니다.",1,"朔雪(북녘 눈), 龍荒(북방 황무지), 邊沙(변방 모래), 玉塞(옥문관) 등 변방의 지리적 배경을 나타내는 시어와 元戎(대장수), 金甲(갑옷), 紅旗(군기) 등 군사적 분위기를 드러내는 시어를 사용하여 변새시의 전형적인 특징을 보여줍니다.",1,1,1,,
君歸浴北我西州離馬征帆各帶愁啼鳥野花俱可感淚添江漢日東流,,0,1,0,"이 시는 서로 다른 방향으로 길을 떠나는 벗과의 이별을 노래한 송별시(送別詩)입니다. '離馬征帆各帶愁'(떠나는 말과 돛배가 저마다 시름을 띠다)이나 '淚添江漢日東流'(눈물이 강물에 더해져 날마다 동쪽으로 흐른다)와 같은 구절에서 알 수 있듯이, 이별의 슬픈 정서를 애절하게 표현하고 있습니다. 변방의 군사적 충돌, 이국적인 변방 풍경, 종군(從軍)의 고난 등 변새시(邊塞詩)의 전형적인 요소를 찾아볼 수 없으므로 변새시가 아닙니다.",0,"이 시는 벗과의 이별을 슬퍼하는 송별시(送別詩)로, 이별의 슬픔('離馬', '征帆', '愁')과 그로 인한 감회를 자연에 투영하여 노래했을 뿐 변방의 군사적 상황이나 국경 지대의 긴장감과는 무관합니다.",0,0,0,,
交河霜落雁南飛九月金城未解圍征夫不知郞已沒夜深猶自?寒衣,,1,1,1,"이 시는 변방의 지명인 '교하(交河)'와 '금성(金城)'을 배경으로, 적의 포위가 풀리지 않은 전쟁 상황('未解圍')과 남편이 이미 전사한 줄도 모른 채 밤깊도록 겨울옷을 다듬는 아내의 애달픈 심정을 그리고 있습니다. 변방의 군사적 긴장감, 종군(從軍)으로 인한 생이별과 전사(戰死)라는 비극적 고충을 직접적으로 다루고 있으므로 변새시(邊塞詩)에 해당합니다.",1,"交河, 金城 등 변방 지명이 등장하고, 포위를 푼다는 뜻의 '解圍', 군사와 관련된 '征夫', 변방의 남편에게 보낼 겨울옷을 짓는 '?寒衣' 등의 시어를 통해 변방의 전쟁 상황과 그로 인한 슬픔을 노래한 전형적인 변새시입니다.",1,1,1,,
病客仍成蟄春光暗入扉荒陂無雁食破壁有牛衣地僻來人少天寒度鳥稀那聞遼海上日夕戰塵飛,,0,1,1,"이 시는 고려 말의 문인 이색(李穡)의 작품으로, 전반부에서는 외딴곳에서 병을 앓으며 쓸쓸하게 지내는 화자의 처지를 묘사하고 있으나, 마지막 결구에서 변방 지역인 요해(遼海, 요동)에서 밤낮으로 전쟁의 먼지가 날리고 있다(戰塵飛)는 군사적 충돌 상황을 언급하며 이에 대한 깊은 우려를 드러내고 있습니다. 변방의 전쟁과 군사적 긴장이라는 변새시(邊塞詩)의 핵심적 주제를 다루고 있으므로 변새시로 판별할 수 있습니다.",1,시의 종장에서 변방 지대인 '요해(遼海)'와 전쟁의 포화를 의미하는 '전진(戰塵)'이라는 시어를 직접 언급하며 변방의 군사적 긴장과 전쟁 상황을 노래하고 있습니다.,1,1,0,,
帶方山水府仙境在人間川廣呑諸壑樓高?遠山魚軒歡賞?鈴閣簿書間琴嘯應多暇吟詩?未斑,,0,0,0,"제시된 한시는 대방(남원) 지역의 아름다운 자연경관을 예찬하고, 그곳에 부임한 수령이 공무(簿書)를 집행하는 한편으로 거문고를 타고 시를 읊으며 여유롭게 풍류를 즐기는 평화로운 삶을 노래하고 있습니다. 변방의 삼엄한 군사적 긴장감이나 거친 이국 풍경, 군인들의 노고와 같은 변새시(邊塞詩) 특유의 제재나 정조는 찾아볼 수 없으므로 변새시가 아닙니다.",0,"대방(帶方) 지역의 아름다운 자연을 감상하며 지방관으로서 집무(簿書)를 보는 틈틈이 거문고를 타고 시를 읊는 한적한 정취(閑情)를 읊은 시로, 변방의 군사적 대립이나 국방을 다룬 변새시가 아닙니다.",0,0,0,,
?罷賓筵感慨隨吾?非復少年時兒童目下俱長大不盡心期世世期,,0,1,0,"제시된 한시는 손님을 맞이한 연회(賓筵)가 끝난 후, 자신들이 더 이상 젊지 않고 아이들이 성장한 모습을 보며 느끼는 세월의 무상함과 대를 이어 우정을 이어가자는 마음(世世期)을 노래한 작품입니다. 변방의 군사적 긴장, 이국적 풍경, 종군(從軍)의 고통 등 변새시(邊塞詩)의 전형적인 주제나 분위기를 전혀 담고 있지 않으므로 변새시가 아닙니다.",0,"연회(賓筵)를 마친 후 느낀 세월의 흐름과 노쇠함에 대한 감회, 그리고 후손들에 대한 기대를 담은 시로, 변방의 군사적 상황이나 요새의 풍경과는 전혀 무관함.",0,0,0,,
皇帝四十七年春帝命?征于女眞東兵一萬數千人同時西渡鴨江津元戎小竪濫儒巾副帥賤者曾負薪一朝?金丹其輪虎豹皮蒙狐鼠身人言弘立其愚鈍輦糞不足充胡民又言景瑞跋扈臣禍心藏中如賊筠朝廷揀材舍??熊虎將軍屈不伸反令鷄狗領鳳麟??俯聽?養馴桓桓八尺來服?晉?吳鉤弓六鈞宣城精銳競??助防風稜霜雪新劉喬天將號令申火車千乘何??牛毛嶺峻星漢隣巨木簇立氷霰湮?邊諸官酒食陳王師餉絶動經旬叱喝飢兵歷??胡地春深猶凍?黑?猝起驅?塵蹇驢難追東郭甲騎憑陵殊俗榛?髮奮戟爭沸唇三軍駭擾同驚?積屍阜峙深河濱逆臣?生知幾巡虜中飛?潛來詢中營八千忽??驅羊北首馳逡逡男兒死國正此辰唾手張?誓蒼旻舌人呼來目轉瞋忠膽見敵尤?强弧命中捷若神飮羽伏?魚襲鱗死者失綏倒紛?傷者浴血聲悲呻雲披潮退却前頻利鏃雨灑關蜂屯身倚大樹替楊楯百矢已盡怒猶嗔腰間復抽刀如銀人馬?易啼酸辛亂領蔓菁蒼山垠賊將?腹?輪?月暈?窄忍看毒手?魚?緡珪珉其心殺身以成仁血化碧玉光璘璘身雖草野戀楓宸陽陽面色猶含嚬兩帥生平耀簪紳豈不知有君有親啣恩茹澤自胎?禮讓世世箕疇遵一聞鳴鏑背彛倫?折犬羊同??胡人?唾甘八珍肉酪血漿看?醇丘墳暴骸越視秦母子鯨?眉不?忘讐射天死亡臻那免膏流靑海?公之勁節孰磨?氣橫天地充??江河洗憤應不湮震霆泄怒知無因握?不釋生死均魂斫醜虜殲凶?門關印組周漢循追封判書恩如綸矢復刻藏先人?通都雨泣?親賓靈旌東返???列邑咸?妻?貧相國知己非?烟立傳奬忠何諄諄太史特書名不淪汗靑流芳長彬彬仰止千載齊?岷,,1,0,1,"이 작품은 1619년(만력 47년) 명나라의 요청으로 조선군이 여진족(후금)을 정벌하기 위해 압록강을 건너 출정했던 심하 전투(사르후 전투)를 배경으로 하고 있습니다. 시 전반에 걸쳐 국경을 넘는 종군 과정('西渡鴨江津'), 혹독한 북방 변방의 기후와 척박한 풍경('胡地春深猶凍?'), 변방 이민족(여진족)의 모습('?髮', '胡人'), 그리고 김응하 장군의 비장한 전사와 군사적 충돌의 참상을 사실적으로 묘사하고 있습니다. 따라서 변방의 군사적 충돌, 이국적 풍경, 종군의 고충과 비장미를 다루는 변새시(邊塞詩)의 정의에 완벽히 부합합니다.",1,"1619년 심하 전투(사르후 전투) 당시 여진족(女眞) 정벌을 위해 압록강(鴨江津)을 건넌 조선군의 출정, 변방(胡地)의 혹독한 기후와 험난한 지형, 그리고 적과의 치열한 전투와 장렬한 전사를 묘사하여 변새시의 전형적인 요소를 두루 갖추고 있습니다.",1,1,1,,
北虜乘秋入憑陵過雁堆元戎無上策幕府少奇才孤怯須?佐朝廷借大材雄圖探虎穴草檄剖珠胎鵬背靑天闊鼇頭赤日開名高吳郡從勢重孟嘉陪直北鍾城遠浮空鐵嶺嵬男兒重意氣少技恥敲推墨功名壯弓刀事業恢旌旗?朔雪鼓角動乾雷?戟轅門闢層氷瀚海?烽煙燒碧落殺氣雜黃埃塞月低殘桂胡?怨落梅飢貂懸木末鳴柝出城?歸夢秋能作鄕愁夜未裁?營窮北陸陟岵望南?客路三千盡親年七十?從軍雖樂事游子早歸來此別連窮髮相逢幾管灰交遊終未保造物亦多猜鴻海淸狂滯龍山老景頹知音俱落拓晩節獨徘徊宇宙風霜?山河草樹哀朱絃從此斷一曲待君廻,,1,0,1,"이 작품은 변방의 군사적 긴장과 종군(從軍)의 상황을 노래한 전형적인 변새시(邊塞詩)입니다. 시의 초반부에 '북로(北虜)'의 침입과 '원융(元戎)', '막부(幕府)' 등 군사적 대처를 언급하고 있으며, '종성(鍾城)'과 '철령(鐵嶺)' 등 함경도 변방의 지명이 등장합니다. 또한 '삭설(朔雪)', '한해(瀚海)', '봉연(烽煙)', '세월(塞月)', '호가(胡?)' 등 변새시의 대표적인 전형적 시어들을 사용하여 변방의 차가운 풍경과 군사적 긴장감, 종군의 고충과 기개를 입체적으로 그려내고 있습니다.",1,"北虜(북로), 鍾城(종성), 朔雪(삭설), 烽煙(봉연), 塞月(새월), 胡?(호가), 從軍(종군) 등 북방 변방의 지명과 군사적 소재를 나타내는 시어가 다수 사용되었으며, 국경 지대의 삼엄한 전쟁 분위기와 변방 군대의 기상을 묘사하고 있으므로 변새시에 해당합니다.",1,1,1,,
人受天地太和氣卽此是心卽是中截得分明形上下程門論道沕然同,,0,1,0,"제시된 한시는 인간이 천지의 태화기(太和氣)를 받았음을 언급하고, 마음(心)과 중(中), 형이상하(形上下)의 구분, 그리고 정자(程子) 학파의 도(程門論道)를 논하는 성리학적 심성론과 이기론을 담은 철학적·학문적 시입니다. 변방의 군사적 충돌, 변새의 이국적 풍경, 종군(從軍)하는 군사들의 고충 등 변새시(邊塞詩) 특유의 제재나 정서가 전혀 나타나지 않으므로 변새시가 아닙니다.",0,"인간의 본성과 태화기(太和氣), 형이상하(形上下)의 철학적 개념 및 성리학적 도리(程門論道)를 논하는 사상시(철학시)로, 변방의 군사적 대립이나 국경의 정서와는 무관함.",0,0,0,,
胡馬如風雨將軍骨不收關山舊時月來照此高樓少小兵家法平生俠者流欲歌都護曲有淚落吳鉤,,1,1,1,"본 작품은 변방의 전쟁터와 군사들의 삶을 형상화한 전형적인 변새시(邊塞詩)입니다. 시구에 등장하는 '호마(胡馬, 북방 변방의 말)', '관산(關山, 변방의 관문과 요새)', '도호곡(都護曲, 변방을 관할하는 도호부의 노래)', '오구(吳鉤, 군인이 차는 칼)' 등은 변새시의 대표적인 제재들입니다. 또한 전쟁터에서 장수의 시신을 수습하지 못하는 비극적인 상황(將軍骨不收)과 평생 군사법을 익히며 협객으로 살아가고자 했으나 결국 칼 위로 눈물을 흘리는 종군 군사의 애상감(有淚落吳鉤)을 잘 드러내고 있어 변새시의 요건을 완벽히 충족합니다.",1,"胡馬(호마), 將軍(장군), 關山(관산), 都護(도호), 吳鉤(오구) 등 변방의 전쟁, 군사적 소재 및 변경 지역의 정서를 직접적으로 묘사하고 있습니다.",1,1,1,,
鈴齋?寂似郊扉病廢看書懶更宜瓦缶獨斟彭澤酒郵筒時得盛山詩殘骸已慣居蠻海淸夢無緣到鳳池遲日乍驚風檻睡滿庭濃翠?黃?,,0,0,0,"이 작품은 변방의 군사적 긴장, 전쟁, 또는 군인의 고충을 노래한 변새시(邊塞詩)가 아닙니다. 시의 내용을 살펴보면, '만해(蠻海, 남쪽의 바닷가 유배지 또는 변방 임지)'에 머물며 '봉지(鳳池, 조정)'를 그리워하는 유배객 혹은 지방관의 심경을 담고 있습니다. 도연명의 고사(彭澤酒)를 인용하며 술을 마시고, 우편으로 시를 주고받으며, 봄날 정원의 짙은 녹음과 꾀꼬리 소리를 감상하는 등 전형적인 유한(幽閑)과 유배, 혹은 은일(隱逸)의 정서를 노래하고 있으므로 변새시로 보기 어렵습니다.",0,"남쪽 바닷가(蠻海) 유배지 혹은 외직에서의 외롭고 쓸쓸한 생활 속에서 책을 읽고 술을 마시며 조정(鳳池)을 그리워하는 심경을 노래한 시로, 변방의 군사적 대립이나 무인의 기상을 읊은 변새시가 아닙니다.",0,0,0,,
?雲劍門棧九折靑泥盤白髮空千丈羈愁自萬端猶知仗忠信不說飽艱難淸曉看明鏡風霜傷旅顔,,1,0,0,"이 작품은 통일신라 시대 최치원이 촉(蜀) 지방으로 가는 길의 험난함을 묘사한 시입니다. 검문(劍門)의 잔도와 청니(靑泥)의 고갯길 등 촉도의 험준한 지세를 배경으로 나그네의 외로운 수심(羈愁)과 여정의 고단함(旅顔)을 노래하고 있습니다. 비록 험난한 타향을 배경으로 하고 있으나, 변방의 군사적 긴장감이나 종군(從軍) 생활, 혹은 변새 지역 특유의 전쟁과 이국적 국경 풍경을 다룬 것이 아니기 때문에 변새시(邊塞詩)가 아닌 여정을 노래한 기려시(羈旅詩) 혹은 행려시(行旅詩)로 분류하는 것이 타당합니다.",0,"검문(劍門)과 청니(靑泥) 등 험난한 촉도(蜀道) 여정 속에서 느끼는 나그네의 슬픔(羈愁)과 여독을 노래한 기려시(羈旅詩)로, 변방의 군사적 대립이나 전쟁을 다루는 변새시가 아닙니다.",0,0,0,,
