<title>歸江亭</title>,<text>誤落塵埃中。三千垂白髮。秋風野菊香。策馬歸江月。</text>
<title>江舍偶吟</title>,<text>朋友憐吾絶火煙。共成衡宇洛江邊。無飢只在啗松葉。不渴惟憑飮玉泉。守靜彈琴心澹澹。杜窓調息意淵淵。百年過盡亡羊後。笑我還應稱我仙。</text>
<title>江舍偶吟 其二</title>,<text>棄絶爲爲人世事。滄巖巖上數椽成。陰雲捲處群山出。好雨晴時百草生。月滿宇中神自爽。風鳴波上夢頻驚。逍遙漁釣消塵慮。今日江湖得聖淸。</text>
<title>江舍偶吟 其三</title>,<text>出塵離世棲三返。默默抽鉛汞自添。斷岸後前花似錦。長江上下水如藍。巖空響捷聲成二。月白波澄影便三。俗子莫言仙不在。此心終日靜湛湛。</text>
<title>詠懷</title>,<text>昔日驅馳萬死身。如今無事一閑人。簞空無惱休糧粒。年老忘憂絶世塵。鎭日閑居調祖氣。中宵獨坐養元神。乘雲駕鶴雖難必。擬做三全閱百春。</text>
<title>詠懷 其二</title>,<text>落落磊磊斷斷身。逍遙物外是眞人。千金散盡心憂國。三尺提揮手掃塵。知足知幾隨命分。忘機忘慮養精神。江窓日永身無事。烏竹蒼松共一春。</text>
<title>次郭上舍𡺽韻</title>,<text>年少嘗奇六出奇。晩來調息恨無師。眞空欲就三千日。靜定無虧十二時。對月臨風便富貴。餌松啗柏忘貧飢。休將時事聞吾耳。獨寤中宵手支頤。</text>
<title>次郭上舍𡺽韻 附元韻</title>,<text>忠義由來志自奇。那曾靈圮石爲師。龍韜暫試除兇日。豹略還收辟穀時。身著荷衣猶御臘。口吞松葉却忘飢。誰知古劍鳴秋夜。憂國憂民淚逬頤。</text>
<title>漫成</title>,<text>時人若要學長生。先是樞機晝夜行。怳惚中間專志氣。虛無裏面固元精。龍交虎戰三周畢。兔走烏飛九轉成。煉出一爐神聖藥。五雲歸去路分明。</text>
<title>挽詞河惺</title>,<text>河岳專精秀。東南命世儒。鳳毛丹穴裏。鵬翮碧雲衢。百代奇男子。三韓烈丈夫。文章餘事業。忠孝是規模。袖裏風雨算。胸中經濟謨。壬辰遭大亂。封豕荐長驅。波蕩官軍散。風靡主將逋。先生奮大義。誓死效微𨈬。家散千金盡。身持一劍呼。唯知有君父。安得顧妻孥。堅壁攻隨破。兇酋戰輒俘。鼎巖嚴鎖柵。釜浦絶窺覦。斬獲皆歸士。勳勞不計吾。洛東因有截。江右頼無虞。誰識邦重拓。端由嶺一隅。山川淸穢氣。湖海占名區。契活數間屋。襟期三尺梧。駒難食藿縶。鶴自餐松𦡱。世亂三軍帥。功成一釣徒。駟鍾猶弊屣。軒冕等泥塗。身縱江湖遠。心存社稷扶。辭嚴討叛逆。義凜斥奸諛。正議人爭歎。忠言上曰兪。徵書雖屢至。初志不終渝。豈意災氷稼。蘧然夢隙駒。深山悲虎逝。大澤慘龍殂。虛幌愁猿鶴。空江恨鷺鳬。塵床餘古劍。舊業有殘瓠。嶺海軍情痛。楓宸聖念紆。遣官具縟禮。賜賻備喪需。忠義生能盡。恩榮死亦殊。顧余愧圭復。何幸忝葭莩。慕義思磨鈍。承風幾策駑。常歎阻嶺路。誰意隔泉途。德盛嗟無壽。功高奈不圖。忍將埋玉璧。何處卜靑烏。風紼無由執。微誠蔑以輸。哀辭聊寓臆。題罷一長吁。</text>
<title>挽詞河惺 其2</title>,<text>天爲吾東扶社稷。乃敎南服挺人英。龍蛇事業華夷聞。刳瀝封章日月明。辭爵本非忘聖世。餐松元不慕長生。蒼生幾許思安石。痛哭如今遽奠楹。</text>
<title>挽詞成以道</title>,<text>淑氣鍾天東。斯人四海雄。磊落器度遠。傑魁容貌充。文章是末藝。本領乃孝忠。心期尙古朴。世態盡磨礱。早絶干祿計。永欲避塵籠。生涯托漁釣。佚宕期始終。金城動天上。腥穢汗域中。列郡無男子。江淮保障空。投竿倡大義。杖劍氣如虹。韜鈐運神鬼。軍士擁虎熊。身上紅綃服。手中落月弓。幟山兵疑衆。錐江船不通。鼎巖軍威赫。岐江戰血紅。兇酋挫鋒銳。遐邇振威風。江右仍完保。王靈漸恢鴻。大功雖不賞。高名自此嵩。劇地連佩符。滄海摠元戎。明威秋日烈。惠澤春光融。偕作修戈㦸。化竹起疲癃。憂國懷孤憤。封章奏重瞳。餐松自調居。返璞固貧窮。丹鳳頻銜詔。彤庭暫鞠躬。北關將秉鉞。貪官却解銅。見幾能勇退。倻山杳蒼穹。洛濱開精舍。人間謝事功。泝遊乘扁艇。峩洋奏短桐。臨亂萬夫特。投閑一釣翁。危言霜雪凜。直氣星斗冲。軍民恃藩翰。朝野倚棟隆。絶粒非學仙。明哲孰如公。餘慶在積善。子孫盛斯螽。如何天奪速。慟惜軫宸衷。事業輝竹帛。姓名誦兒童。塵匣遺長劍。空江棄短篷。寂寞亭臺下。悲涼煙雨濛。先壟餘隙地。今日卜玄宮。題挽哀永訣。回首不勝恫。</text>
<title>挽詞裵弘祐</title>,<text>宇宙間英傑。如公有幾人。文章傳世業。孝友出天眞。投筆親亡日。提戈主辱辰。淸標輕虎竹。直說批龍鱗。絶粒非求道。忘憂豈潔身。精忠與壯節。千古凜秋旻。</text>
<title>挽詞趙龍洲 絅</title>,<text>揚鑣昔日掃妖氛。婦女猶知郭將軍。身作斗南眞壯士。名違獜閣徹侯勳。張良黃石今無用。李泌白衣徒解紛。歸臥松雲驚一夢。空餘大樹識封墳。</text>
<title>挽詞趙龍洲 絅 其二</title>,<text>掉頭名利入深林。苔逕曾無車馬尋。誰道神仙多詭誕。猶將芹曝代規箴。充糧有柏嫌粱肉。戴眼觀天等古今。順化終令秦失哭。世人方識此翁心。</text>
<title>挽詞趙龍洲 絅 其三</title>,<text>公昔蒲輪入洛陽。我登賓席矕龍章。鶴形枯骨降三界。猛氣英風振一堂。方賀吾王能得士。豈知今日却摧梁。可憐籌策誰從學。謾道人間柏葉蒼。</text>
<title>挽詞尹暄</title>,<text>山河秀氣孕英雄。列㦸由來起草中。世外空追赤松子。人間盡識郭令公。堂堂忠義孤軍日。寂寂江湖大釣翁。櫪馬忽驚乘化去。黃泉碧落兩難窮。</text>
<title>挽詞黃中允</title>,<text>禮樂詩書却縠齊。當時一劍斬鯨鯢。顔從熊鳥方中駐。名合猉獜閣上題。早向江湖輕紱冕。却乘風雨化虹霓。本朝從此山河壯。千載雄威可止啼。</text>
<title>挽詞李彦英</title>,<text>天借唐家郭子儀。英雄籌策濟艱危。掌中白羽傳三箭。腰下靑萍定一時。李廣難封人共惜。張良不食世誰知。人間一大分明事。歸臥松風大笑之。</text>
<title>挽詞成汝信</title>,<text>玉京曾作玉皇臣。謫在人間七十春。書劍行裝甘没齒。刀圭契活任全身。匡時直疏掀天地。制敵奇謀動鬼神。莫道重泉終閉魄。長虹應已作星辰。</text>
<title>挽詞成汝信 其二</title>,<text>恥隨流俗共沈淪。獨守衡茅樂養眞。千駟未回伊尹志。萬鍾寧奪子輿貧。傷時淚洒巾霑血。憂國誠深鬢失春。莫道茹松追異術。留侯不是學仙人。</text>
<title>挽詞郭揚馨</title>,<text>早歲聲名動海陬。晚來風度老江洲。匡時直節凌松柏。許國精忠射斗牛。安石一身陶冶望。子房高躅赤松遊。東南半夜摧天柱。千載山河壯氣收。</text>
<title>挽詞河悏</title>,<text>能爲家國有無身。一夢人間七十春。千古紫陽持特筆。子房今日更精神。</text>
<title>挽詞文弘運</title>,<text>唐之郭也漢之張。別有危言聳四方。光岳千年收正氣。舊江無主日凄凉。</text>
<title>挽詞李道純</title>,<text>臺巖知幾仞。淸洛自洋洋。噫我先生節。山高而水長。</text>
