<title>孫家庄 甲戌</title>,<text>雨後出東城。晴莎十里路。蒼蒼孫氏庄。隔樹多鳴鳥。</text>
<title>同朴仁甫 志完 次月谷韻</title>,<text>獨卧幽思亦不稀。時時散步澹忘歸。叢梅江上故人遠。森木園中春鳥飛。機息詩書唯自在。身閑丘壑豈曾違。更憐簷角看山處。落景蒼然漸入衣。</text>
<title>效白香山竹枝詞 二首</title>,<text>楊花渡口水煙平。兩岸靑靑芳草生。唱到月明聲咽處。思鄕賈客幾回驚。千般滴血子規啼。怨入東風苦竹低。膓欲斷時聲亦斷。空山靜夜月凄凄。</text>
<title>卽事</title>,<text>家住長安第二橋。朝朝梨峴市聲囂。靜中默會天機動。數鳥啼來澗柳條。</text>
<title>過仁甫</title>,<text>憑欄吟眺却忘歸。暮色蒼蒼已落暉。澗草欲姸春自在。庭松添潤雪仍稀。居人地僻恒高卧。啼鳥巢成不遠飛。早晩西臺遊事好。東風花發莫相違。</text>
<title>雨中宿淸泠村</title>,<text>陂塘細雨亂蛙聲。隔樹隣舂片火明。蓑翁夜摘甜瓜去。罷漏終頭入漢城。</text>
<title>閨意送人</title>,<text>丹陽南去水連天。銅雀津頭送別船。別後相思無限意。爲敎明月照君邊。</text>
<title>北漢途中</title>,<text>秋來漢北每經過。遠眺高吟可奈何。笑入寒山殘照裏。紛紛紅葉向人多。</text>
<title>山暎樓感舊</title>,<text>山暎樓前落日時。重興寺裏磬聲遲。回首暮雲紅樹際。故人詩句不勝悲。</text>
<title>重興寺</title>,<text>移席悠然坐石苔。霜風金鐸故相催。僧翻夜火松間出。鴈帶秋聲月裏來。洞府遂令諸佛管。城池惟使摠戎開。應須竗句臨溪得。暗水泠泠一道回。</text>
<title>祥雲寺</title>,<text>乾坤牢落此登臨。蕭颯西風復一吟。林杪鐘鳴僧院靜。巖間松老鶴巢深。孤雲細作他山影。寒澗偏生晩壑音。佇待今宵新月上。蒲團聽梵好開襟。</text>
<title>盧常仲 恒曄 園次柳下韻 二首</title>,<text>黃花似亦待人開。南澗餘情向晩廻。逕逐淺深仍作巷。園分高下各爲臺。山容悄默寒霜落。時序侵尋數鴈來。矯首斜陽還佇立。淸詩易學楚聲哀。砧杵亂高城。淸霜下原野。秋思政不堪。時有登樓者。</text>
<title>晩集南溪</title>,<text>橋南黃葉雨。相憶意難分。林短寒生澗。城高不落雲。深秋征鴈急。幾處擣衣聞。君有佳詩句。飄然獨出羣。</text>
<title>小林菴</title>,<text>菴號小林是。留禪纔二三。法心圓覺處。淸月照澄潭。</text>
<title>棲雲寺</title>,<text>法宇何寥寂。僧棲古洞雲。爽然山籟發。松子落紛紛。</text>
<title>睦政菴</title>,<text>曙雲開佛殿。流水繞星壇。客至僧初飯。千松一磬寒。</text>
<title>普成菴</title>,<text>石佛何年刻。松菴又普成。鐘鳴慧月出。千界一般明。</text>
<title>南溪次東岳韻</title>,<text>明滅開寒空。千山政落照。樵童自知歸。遠遠出林杪。</text>
<title>同友人次后山韻</title>,<text>一川橫帶橋西流。頗喜君居地轉幽。抱卷悠悠方繼夜。看山寂寂已殘秋。高城日仄寒歸鳥。喬木雲晴遠有樓。堪笑此身奔走事。田園猶未遂初求。</text>
<title>送友人之喬桐水營</title>,<text>亂山天際自縱橫。何處登臨送子行。黃葉無端客裏墜。寒潮忽已帆前生。汀雲鴈下巴陵郭。海日旗飜統禦營。未後新梅須早返。詩篇他夜摠離情。</text>
<title>十月望日。作雙林之遊。</title>,<text>一出石門朝日生。寒空搖落又新晴。林煙遠帶樵兒散。人語難分水碓鳴。黃菊慳秋渾不瘦。靑山隨我却多情。坐來詩思看如許。樓勢高高對北城。</text>
<title>盧氏園次柳下韻</title>,<text>西園慣面若相期。每有高雲下谷遲。遠出樓臺分落木。晴看鸛鶴立虗池。天多雪意山還暝。人有詩情席屢移。塵世身閑兼跌宕。玆遊日夕復奚疑。</text>
<title>贐盧亨叔 復曄 南州之行</title>,<text>歲暮念長道。詩篇一悵然。相分梅發後。留待燕歸前。征袂吹寒雪。鄕山漸遠天。聊知爲客處。南國足風煙。</text>
<title>立春日。盧氏園拈韻。二首</title>,<text>虗杉老石倚雙扉。稍看溪山寒雪稀。節物關心人遠別。樓臺近夕鳥爭歸。西園漸欲生芳草。南國秪應換舊衣。未到新年梅下會。相思空遣夢魂飛。寒雪前宵滿小扉。郢中歌曲和應稀。一山煙火新年及。滿地樓臺淑景歸。明月幾圓孤客枕。平書又寄故園衣。思君日日何曾已。更待東風燕子飛。</text>
<title>上元夕同鯉谷丈賦 戊寅</title>,<text>梅落猶存窈窕身。相逢却是上元春。一詩迢遞江南客。便服留連洛下人。禁樹疎鐘寒帶雪。市街歸馬夜無塵。踏來十二橋頭月。澗曲虗樓坐更新。</text>
<title>次鄭士元 錫柱 韻</title>,<text>鄭生不見梅花稀。其奈東風白社違。漲岸春渠空自響。出林幽鳥更高飛。他年共有藤蘿約。此日翻成歧路歸。百尺寒松難雨雪。秪宜交契也相依。</text>
<title>西園次三淵韻</title>,<text>看雲不覺葛巾斜。自愛幽居管物華。石澗泠泉深入井。杏林春雨細滋花。啼來比日何山鳥。翻向無時近郭鴉。前路蒼茫煙氣重。柴門隱約數人家。</text>
<title>三月初二日集西園</title>,<text>白社淸遊已有期。歸來西郭未參差。池塘晴草逢人處。樓閣春山下馬時。微雨幾催花信度。東風偏着柳絲吹。詩篇向晩還多賴。落照蒼蒼又一奇。</text>
<title>晩過西隣</title>,<text>橋西仄石小柴關。燕子飛飛舊壘還。遊女春粧明遠水。少年𩣭馬駐前山。花開數日陰晴際。柳拂孤村窈窕間。更欲題詩倚靑竹。名園况是再逢顔。</text>
<title>東湖書堂</title>,<text>松間一路細高低。落日長江帆影迷。惆悵翰林何處去。岸桃花發鳥空啼。</text>
<title>懷北隣</title>,<text>寒食前頭期一過。杏花開後意如何。思君寤寐春山裏。芳草閑門啼鳥多。</text>
<title>江南曲</title>,<text>高樓酒幔遠相望。堤下多停蜀客檣。盡日江橋煙水綠。鷓鴣飛處橘林香。</text>
<title>同崔淸之 湜。和李益春夜聞篴韻。</title>,<text>長笛聲聲帶月歸。靑樓新着越羅衣。無端吹到關山曲。簾外楊花盡欲飛。</text>
<title>同淸之餞朴士廉 處儉 移家海西</title>,<text>塵世曾多隘。悲歌路向西。馬頭秋草沒。帆外夕陽低。忍與親知別。堪從海嶠棲。凄凄有蟋蟀。應似此懷啼。</text>
<title>秋夜會芳谷 二首</title>,<text>橋上驢鳴流水昏。歸來松石不關門。宮城擊柝初傳夜。秋杵懸燈遠有村。孤鶴乍驚林雨響。淸詩易學楚人言。西風却憶前年事。紅葉看山故祗園。天高白露下。凉意草蟲知。忽爾今秋感。依然昔日期。靑山自遠夜。明月復新詩。樓閣身常暇。江湖夢亦宜。</text>
<title>曉行漢北門。得星字。</title>,<text>石門行路細。微雨翳晨星。水色新秋白。天光遠嶂靑。鳴蟬猶不已。森木宛如停。鐘磬來何寺。依依洞裏聽。</text>
<title>玉瀑洞賞秋。赴會者甚盛。次杜詩韻。</title>,<text>太乙橋前風滿林。古壇雲物秪蕭森。人家自映松杉色。官道空生薜荔陰。白菊移筵終夕會。丹崖回首共秋心。寒聲處處凌霜急。歸鴈蒼茫又遠砧。</text>
<title>香泉亭。同盧常仲賦。</title>,<text>寒葉前宵雨。相思第二橋。隣舂殊不已。塞鴈自相遙。一笑故人至。微吟黃菊凋。今秋倍蕭瑟。襟抱多寂寥。</text>
<title>香谷雜咏 三首</title>,<text>香谷深深市色空。始從金氏讀書同。交加白菊偏垂露。淅瀝虗杉自起風。黃葉千家催晩杵。亂山明月動哀鴻。誰憐已負登高日。謾有茱萸映駱東。徘徊池館自多時。節物悠揚秋欲移。籬淺澗聲通竹細。夜深人語出林遲。殘星鴈翳蒼蒼色。老石松盤短短枝。東郭淸遊諸子隔。西風吟眺不相宜。小閣泠泠澗籟疎。此中棲息更何如。看書人靜門關後。落木山高鴈盡餘。遙火耿分槐市細。寒星透照竹簾虗。他時橋北還相憶。一路分明慣爾居。</text>
<title>十月初吉會香谷。以空峽夜多聞分韻。</title>,<text>寒山已落木。秋色一樓空。小話憑梧几。淸詩對菊叢。星高人到後。天濶鴈歸中。鳴杵自相急。疎籬多夜風。</text>
<title>又賦 二首</title>,<text>市陌喧空一萬家。故人來自白門下。樓頭列宿霜天高。落木孤砧到半夜。霜天寥濶數鴻過。落後殘聲奈爾何。入夜語從孤燭細。逢秋詩說亂山多。樓虗暗水鳴松檜。墻缺寒星帶薜蘿。秪有崔生今不見。應須歸夢駱東坡。</text>
<title>十日夜</title>,<text>歸田之夢上巾車。牛峽經秋想澹如。綸綍自能通達道。溪山猶未厭貧居。霜深短菊三叢許。歲久盤松數尺餘。洛下金生頗好古。市南寒月誦詩書。</text>
<title>芳谷丈回甲晬日。作賀詩謹呈。</title>,<text>回甲人間積德期。小堂淸讌是親知。上旬明月懸弧夕。三子斑衣獻壽時。自有冥靈終不老。已看南斗永相垂。賓筵稍稍街鐘動。彩幅淋漓摠賀詩。</text>
<title>外堂叔蔚山之行。作詩奉贐。</title>,<text>長路行裝侵早霞。靑門一出便離家。親知京洛幾翻夢。梅樹官窻倘着花。炎海傳書愁瘴氣。寒山送目悵年華。何時共作南隣會。殘雪樓前看月斜。</text>
<title>復齋排韻 己卯</title>,<text>天橋騎馬遠山靑。復有西隣金氏亭。梅下留人春漏細。竹間移席午雲停。幾回歸夢思牛峽。依舊寒盟宿鷺汀。融雪柴門前路漲。流澌一半入階庭。</text>
<title>西谷小集。次劉隨州韻。</title>,<text>林木游絲互不齊。春樓眺望限東西。洛中寒食人多病。江上新花鳥自啼。近日詩篇堪跌宕。向來行路足高低。彈琴偶到庭臺晩。餘韻泠泠和小溪。</text>
<title>集西谷用唐人韻</title>,<text>松橋西北望還賖。憶昔吟詩流水斜。永日旗閒司馬閣。深春燕語貴人家。空憐信宿初團月。何幸玆遊未晩花。同學少年登第早。遙知上冢滯雲沙。</text>
<title>集文子蘊園林</title>,<text>蒼崖數字有丹書。里巷經過可一居。燕翅參差糓雨後。人家隱約夕煙初。游絲惹入花園細。暗水鳴從竹逕虗。還憶去年登望處。壇西巖石近何如。</text>
<title>春盡日。過金大一 大成 家。</title>,<text>節序元難住。送春吟更多。黃鸝囀無賴。碧草愁奈何。思客幾番夢。登樓一樹花。駱山纔數里。風雨未相過。</text>
<title>六崗晴望</title>,<text>路回迢遞斂山霞。橋下泠泠澗水賖。巷陌軒軺遙向夕。墻頭羅綺盡攀花。丹靑獨映王孫廟。松栢微分相國家。到處風光添別恨。西州明月幾番斜。</text>
<title>同淸之，張彥龍 雲翼 出郭。步穎尾洞。二首</title>,<text>出郭閑吟穎尾天。高低樵逕入雲邊。山橋寂寞春歸盡。巖上殘花正可憐。三日入山中。逍遙泉石上。山空絶塵喧。日夕松風響。</text>
<title>駱山同淸之賦</title>,<text>東山登陟幾回頭。林下同君又一遊。梁苑暮蟬如昨日。漢宮煙樹入新秋。可憐行役無時了。其奈詩篇遇境愁。往昔繁華流水去。丹靑搖落夕陽樓。</text>
<title>貞陵溪上。同淸之，安聖文 明欽 賦。</title>,<text>出城懷抱好相將。草際行行路轉荒。孫氏庄邊秋樹合。藥師堂外遠山長。崖田斂夕牛羊返。野樹翻晴鸛凉。畢竟老農眞可學。百年丘壑謝塵忙。</text>
<title>重九夕。文子蘊携琴而來。次唐人韻。</title>,<text>不用登臨此共携。堪嗟吾輩路東西。已看虗閣靑山近。况復佳辰黃菊低。過雨重城驚落鴈。彈琴遙夜駐寒溪。隣砧自是催刀尺。晩響尋常到曉雞。</text>
<title>蒼谷夜集同淸之賦</title>,<text>鳴砧歸鴈暮秋間。故舊相逢几席閒。瘦馬二橋邀上舍。黃花一夜話東山。喬林未雨猶寒籟。羣木頻霜異昨顔。市陌鐘休樓閣靜。板扉唯自月中關。</text>
<title>外堂叔燕行奉別 二首</title>,<text>悲歌落日恨如何。客路經過太子河。五鳳門前回首望。八陵松栢已無多。憶昔和戎計亦勞。年年使价弊征袍。吾東獨有尊周義。苑北祀壇九級高。</text>
<title>關王廟</title>,<text>生於衰漢力扶之。大義高明史冊垂。赤驥龍刀秋殿裏。亂山寒雨濕靈旗。</text>
<title>芳谷夜。次杜韻。</title>,<text>白雪橋寒村路橫。玄査梅暖燭花明。一山人隔煙沉樹。雙闕鐘鳴月出城。閉戶寂寥仍暮歲。感時衰晩此浮生。詩篇洛社渾如昨。遙話鄕園薜荔情。</text>
<title>臘後夜集北隣 二首</title>,<text>白石溪橋掩小廬。棲禽喧定數星初。京師臘盡梅花落。關塞人分音信疎。前夜獨吟盈巷雪。十年猶檢滿床書。朱門細菜春心淺。簾外靑山意淡如。同城相憶幾多時。始覺年來一會遲。街鼓數傳深巷雪。牕梅初落立春枝。郢中白雪誰同調。洛下新聲獨爾詩。歧路明朝還有感。巴江釣艇遠留期。</text>
<title>嶽下夜集次杜韻 庚辰</title>,<text>陌上過寒食。城中楊柳斜。光陰不饒客。風雨只催花。霽沼天星滿。春橋夜火賖。洞深車馬斷。雲木似山家。</text>
<title>觀漲</title>,<text>秋雨連三夜。禾糓妨結實。我來城南嶽。試看江水溢。平陸水幾尋。凡麓容易失。波濤正浩蕩。船筏衝人室。豈意牛羊逕。蛟龍恣放逸。橫亘數三郡。水與天光一。騁望漸開懷。危坐更撫膝。此江源目峽。久聞水勢疾。却自江漲後。東西道路窒。父老盡咨嗟。誰有濟川術。朗吟秋水篇。却想杜陵筆。時序星轉西。草澗鳴蟋蟀。如此大橫潦。農家兆未吉。瀰漫沉田疇。目前空蕭瑟。安得神禹力。導流一時畢。秋風吹不已。回首歎落日。</text>
<title>病起秋晩有懷。效唐人雜體。</title>,<text>黃菊籬前晩照。破蕉池上西風。一秋病起心苦。愁聽寒砧旅鴻。</text>
<title>重陽夕宴集</title>,<text>疎星殘月半天垂。林末西風淅瀝吹。無賴菊花吟病裏。可憐鴻鴈感秋時。砧聲不斷千家巷。霜氣凄生一澗籬。令節故人能有暇。中宵合席語遲遲。</text>
<title>仲冬夜宴集</title>,<text>新梅消息意常關。未到花闌卜夜還。近覺光陰唯迅速。倍憐諧笑阻中間。棲鴉自動衝寒郭。虧月方昇欲曙山。歧路紛忙衣食計。故人强半少閑閑。</text>
<title>駱山。同淸之，常仲，子山賦。辛巳</title>,<text>連空漢闕對西東。抱郭梁園一面通。黃柳悠揚幾度雨。春山窈窕靜無風。吟過澗水盤松下。題盡詩篇落照中。却憶去年携手處。浮雲啼鳥思難窮。</text>
<title>效白居易楊柳枝詞</title>,<text>亂飄彭澤門前路。繁入關山笛裏吹。多事遊人爭繫馬。臨風謾折兩三枝。知是多情楊柳樹。拂牕垂地短長條。夜來微雨添新色。搖蕩西京十二橋。輕絲弱線不勝靑。嫋娜引風無限情。牕裏美人初起夢。晩晴枝上有啼鶯。芙蓉闕下靜春旗。馳道行人日晩時。最是淸明寒食後。萬家門巷綠絲垂。風流此樹正堪誇。名滿吳王舊館娃。雨歇江橋塵不起。悠揚金縷映人家。長安陌上久傳名。處處成陰別有情。攀折贈人頻作別。渭城歌曲悵餘聲。王孫樓下高低樹。學得輕風舞細腰。簾幕無人春晝靜。枝枝元是斷膓條。翠樓春色傷蛾眉。映日鵝黃不定絲。間在百花開滿處。五陵年少蕩襟期。</text>
<title>初冬夜宴集</title>,<text>送秋懷抱自無邊。况復煙霜積遠天。靜聽空園寒葉下。稍看虗閣數星懸。疎燈繫馬仍深夜。殘菊留人似去年。南館東城相憶否。曉鐘時度紙牕前。</text>
<title>次崔丈 尙楫 氏見寄韻 壬午</title>,<text>節序侵尋已暮春。陰晴不一閉門頻。籌邊宰相論思地。絆直朋知簿牒辰。院閣鳴鳩風處急。禁川垂柳雨餘新。衣冠比日誰相問。好古西隣有丈人。</text>
<title>在澗亭得靑字 徐相公亭子</title>,<text>華嶽凌雲萬丈靑。考槃獨有澗邊亭。啼鳥落花春去後。餘香不斷繞林扃。</text>
<title>芳谷次唐人韻</title>,<text>一面終南對閣分。小溪能助靜中聞。菖蒲葉長靑蛙亂。蘿葍花開白蝶羣。暝色漸忙人與馬。晴光全捲雨兼雲。詩書受用知無價。今世工夫誰似君。</text>
<title>初秋過三淸洞</title>,<text>西城遙望隱譙樓。松下歸來暑氣收。喬木衆蟬如昨日。亂山疎雨及新秋。仙家事跡壇空在。村戶人煙地更幽。文墨逢君俱邂逅。他年吾欲問林丘。</text>
<title>秋意 次池塘春意韻○七首</title>,<text>往歲題詩漢北城。滿山楓葉寺門晴。三峰曉映雲霞色。列壘秋聞鐘磬聲。可使奇遊能更續。不須吾輩謾勞情。長安萬戶凉風起。遐想從今無限生。雲木蒼蒼繞禁城。樓頭眺望際微明。新詩欲就塞鴻過。故友空懷隣笛聲。南郭閉門隱几處。東籬採菊見山情。佳辰已過雙星會。天上河橋別恨生。蒼茫煙起百層城。村客衣巾庭院晴。喬木樓前棲鵲影。秋槐庭畔汲泉聲。學文則以行餘力。詩句元來發本情。從此篝燈身可近。郊墟何况晩凉生。百尺崢嶸雨捲城。九街鐘鼓報新晴。墻間耿結寒蟲語。風裏蕭疎側栢聲。萬古無停川水意。片時多翳岫雲情。攲斜短幘沉吟地。欄角蒼然細月生。西風凉氣動王城。新菊移筵夜轉晴。樓逈剩容新月影。竹深微出細泉聲。奇書近讀南華論。遯跡初聞北客情。旱後里中柴米貴。盤餐焉得飽儒生。華嶽嶒崚竦接城。一天星斗二更晴。樓燈遞照人家夜。街鼓相傳鳳闕聲。文物百年逢聖世。江湖萬古動遐情。庭梧院菊榮還瘁。澗杵園砧斷復生。前夏奇遊東出城。廣陵疎雨卽旋晴。斜陽遠渡迷人影。靑草長堤散馬聲。寓目湖山無俗慮。側身天地有悲情。秋風此日還搔首。新菊寒蛩次第生。</text>
<title>秋懷次崔君五 潤福 廣陵韻 四首</title>,<text>流水無停去似年。書樓况在小溪前。雲鴻不負稻粱節。社燕初知霜露天。秋色棗隨朱實細。人功松作翠屛圓。授衣何處砧聲起。吟斷豳風七月篇。南隣留宿憶童年。叔姪言懷筆硏前。玩繹書開寒几夜。品題山近小樓天。風從老木聲逾急。月過澄潭影轉圓。自笑布衣縻道路。床頭時閱舊時篇。收穫龜山已數年。羲皇夢在北牕前。蠏叉洑水新霜夜。雞散塲籬旭日天。落葉鋪庭堪席穩。枯松燃火替燈圓。秋來倍憶田家樂。京洛重題野老篇。文會重開始此年。南山依舊一樓前。牕蕉已破題詩日。庭菊唯新送鴈天。橋上客歸空澗靜。樹間燈在數家圓。林園物色秋將半。强寫閒愁滿紙篇。</text>
<title>蠶嶽觀漲</title>,<text>雲白山靑縱目初。西風蠶嶽雨晴餘。江湖日晩孤舟去。天地秋來萬木疎。觀漲政論莊叟筆。題詩聊攬故人裾。可憐漁屋隣魚鱉。沙岸蒼然海島如。</text>
<title>詠鴈</title>,<text>春秋知南北。雲外數行長。影過佳人夢。聲深衆木霜。傳書楡塞遠。謀食稻畦香。萬戶擣衣急。分明送爾忙。</text>
<title>喜盧常仲來。拈柳下韻。</title>,<text>九月淸霜下。天時已授衣。樓高山易見。林薄葉初稀。叢菊重携手。孤城政落暉。風塵形役苦。泉石未同歸。</text>
