<title>曉寢</title>,<text>曉寢凝寒思。捋鬚氷入懷。童言昨夜雪。牕外小松埋。</text>
<title>次南從兄 夏正 韻</title>,<text>雨後凄風捲瘦林。眼看黃葉落森森。賓鴻夜宿明沙月。歸燕朝辭畵棟陰。愛菊不關陶令興。悲秋共作楚臣心。鄰家少婦羅衣薄。步出長廊催夕砧。閒情都付竹牕碁。忘却騷人搖落悲。莫怨秋風催節物。獨憐霜葉勝花時。門連碧水迎寒早。樓對靑山候月遲。不見南坡老詩客。瓊華采采寄相思。</text>
<title>送金吾郞李來初 仁復 往晉州</title>,<text>得喪俱眞宰。歡悽豈丈夫。天應成玉汝。官偶作金吾。許與皆名士。游觀又勝區。平生萬里志。策馬試長途。</text>
<title>送柳丈 憲章 赴鍾城任所</title>,<text>陰風獵獵動行輈。五月胡天雪未收。公道近恢分左竹。儒臣還許掌邊籌。人情末路無靑眼。山色窮荒有白頭。慷慨平生報主意。腰間三尺佩吳鉤。蠻鄕父老閙謳吟。爭喜龍圖學士臨。文牒朝衙翻妓籍。茶湯午渴薦人蔘。胡山凍合經春雪。京國書傳隔歲音。極目三淸雲靉靆。柳邊歸路夢中尋。</text>
<title>挽李注書 孟胤 四十韻</title>,<text>二月春江氷始渙。龍門東望欝崔嵬。偶然前夜浮雲夢。知是西鄰愼日迴。白馬故人今且至。靈輴邃路莫敎催。方年列宿今殘境。強半親朋是夜臺。未信玉樓眞有記。可堪玄宰太多猜。東陵櫟壽天何事。陋巷蘭摧聖亦欸。有志自來多薄命。從今不敢復論才。伊君不是虛生者。先輩何曾過許哉。衰世尙看留古氣。舊家今又挺新材。神膏淬鍔寧容菌。淡味調羹不用梅。行屛外華惟素質。貌如心曲卽奇傀。元精今古均亭毒。眞釀江山好發醅。筆下天人三策大。眼中墳典九丘該。才優貫虱聲名動。技學屠龍手法恢。珠樹月明騰鳳采。天街雲濶馭龍媒。蘭㙜秉筆題啣假。槐署承華展武纔。堪笑醨醩餔叔季。任將文繡束輿儓。邯鄲倐忽驚殘夢。扁蹻居然㥘五裁。元實坐中髥簿去。文昌望裏翳花開。治心豈乏前賢戒。含恤其如孝思摧。秋水苦篁斑欲漬。暮山飛照景將頹。詩抽爛簡香消篋。殯設遺衣血染縗。往復縱然關氣化。悲歡無奈劇沿洄。不知箭折弓何用。將恐芝焚蕙亦災。顧我平生深托契。哭君今日淚沾腮。巴謳郢雪寧同調。玉樹蒼蒹幸幷栽。摶翼負天方用壯。搶蜩控地亦堪咍。廣陵蕭寺春携笈。酒谷行窩夜對罍。板閣聽詩山客到。松牌乞句野僧陪。門閭近復從鄰比。屨杖相隨定幾回。伻到新篇兼短札。興來淸話雜調詼。當時枉學山公飮。良夜仍尋戴子來。暖谷催燈添軟蠟。薰鐺點酒撥寒灰。披襟不害垂雙睫。服藥何妨御一盃。卽事傷心驚劫火。遺徽滿目揔浮埃。牙絃一曲高山閟。血字雙行大阮哀。可耐迷途亡一鉥。重嗟餘慶乏三槐。傳家經在封絲網。待駟門空掩繡苔。岱嶽人歸雲靉靆。洞庭仙去月徘徊。哀哀楚些招魂淚。又是春風漢水隈。</text>
<title>奉和舍叔寄軒先生見寄之作</title>,<text>詩從齋閣落山扉。大字縱橫行半稀。急遣丫鬟携短燭。又憑簾角借殘暉。薇香細襯開凾手。蘭氣晴薰入室衣。唱罷令人更愁絶。桑中三宿夢依依。兼旬風雨掩柴扉。起看紅榴花已稀。小閣臨城恒翳色。破牕無紙易晨暉。閒銷永日宜高枕。病逼三庚轉劫衣。回語南坡老居士。莫將佳約任違依。</text>
<title>舍叔西園行。從兄質卿 必文 隨之。步韻寄惠。卛題以謝。</title>,<text>西望丹丘倚白扉。邇來詩信未全稀。林容乍凈經新雨。山暈微明帶夕暉。笑我虛名惟蠧簡。憐君身計尙牛衣。膏肓泉石還同病。晩道郊園許共依。</text>
<title>雨晴後奉酬舍叔更疊依韻見寄</title>,<text>罨岸風濤打石扉。來蘓亭畔釣船稀。颿前冉冉迷遙嶼。鳥外陰陰隱夕暉。林暈細搖山客葢。水紋晴染海𩿨衣。天敎一雨輸佳約。不是阿玄不欲依。</text>
<title>又呈舍叔</title>,<text>山下綠江深不流。山中仙客故淹留。黃泥赤壁今吾輩。明月淸風又此舟。幽賞更添亭子勝。佳賓兼帶卯郞遊。玆遊豈必凉秋後。水國虛凉六月秋。</text>
<title>愁霖歎示南從兄</title>,<text>一雨偏當甲子朝。市門頃刻恰容舠。山尖倒水來孤嶼。野色呑空漲迅潮。炎帝向時臨赤地。陽侯近日稅靑苗。雩壇不盡牲牢費。廷議如今又薦膋。</text>
<title>閒居偶吟八絶</title>,<text>一樹空桑雨。鳩鳴人自閒。虛凉忽灑面。近戶多靑山。漸分梧影直。淸月一床心。暮誦有遺字。更向明處尋。伸手折靑竹。牕陰損一重。携來鎭書筴。風處讀從容。樸樕枯薪響。炊烟晩竈多。兒啼急淘麥。匙底有鳴沙。嘍嘍春簷曉。嚶嚶夏木淸。秋林久岑寂。今夜草𧈧鳴。昨夜雨聲大。前溪略彴漂。回回城底路。落日聽行謠。霏霏木覔煙。蕩蕩狂蛟雨。烟銷雨亦稀。露出雙槐樹。貰酒別淸濁。借書煩往復。吾知棄瓢人。不作啻般役。</text>
<title>夜與李子來。拈韻同賦五律二首。</title>,<text>兀坐成癡絶。端居避俗喧。天寒仍伏枕。客到始開門。微月照人面。南山當酒樽。夜闌頻喚燭。淸話不厭繁。鵲鳴緣底急。吾事久厭喧。有客乘淸興。携詩度白門。今宵正可意。此酒且盈樽。歎息篇中語。寒天霜雪繁。</text>
<title>夜坐吟</title>,<text>蕭蕭郭外雪。不見山陰舟。鳥宿人猶坐。山明月欲浮。寒聲通夜大。稚子閉門愁。料理今年計。漫詩十首優。</text>
<title>挽權進士子羽 賝</title>,<text>楊江小雨落殘花。花落其於春色何。也識天機嫌漏泄。不敎夫子久吟哦。才名當世如君少。冥簿伊來得士多。悽愴蘭臺餘響絶。無人更奏郢中歌。向者追遊於詠恩。泗濱兄弟竹南孫。虛襟最有花山子。對榻頻成淸夜言。別後聲塵惟鴈札。伊來凾丈亦龍門。停雲落月傷心處。顔色依依近九原。</text>
<title>送接慰官李來初赴東萊</title>,<text>名相之孫儐相才。使車行處近蓬萊。文昌仙子倘相遇。學士古㙜今又開。點海人烟對馬出。拍天風浪迅鷹來。湖雲嶺樹年年色。全付詞臣領略回。</text>
<title>憂患失睡。孤坐聽雨。遠天忽微明矣。呼小婢子撥火煑濁酒。一飮而醉。醉懷耿耿。猶不能下。但聞村鷄喔喔。</title>,<text>筭去筭來攖百慮。不平詩語餞殘更。床書寂歷孤燈色。人意悽寒細雨聲。世味爭如供一醉。襟期猶自保雙淸。鷄鳴感激發懷抱。閒夜無多事又生。</text>
<title>子靑 栢 叔來訪。仍宿留。共步生字。</title>,<text>經宿醺醺漁社酒。枕前和夢聽寒更。偶然客到爲良晤。何處鷄鳴來一聲。遙夜詩樽非寂寞。小牕燈火太孤淸。明朝送爾西江雨。觸眼黃花句欲生。</text>
<title>蔡同知丈挽</title>,<text>一庭花竹小茅茨。中有仙翁鶴髮垂。彩服承歡三近侍。鴻樞進秩實同知。官厨瀡滫歸餘閣。墓道鋪張有好兒。新月九峰依舊色。東趨今夜欲何之。向者西遊程子洞。升堂仍拜太中公。昂霄鶴羽雲霞外。映座仙標繪畵中。別墅留賓多白酒。諸孫携我看丹楓。遺塵滿目餘雙涕。南極珠躔一夜空。</text>
<title>居士鱞居。客有唁之者。居士不答。指古梅一株賦小詩。三疊。</title>,<text>獨傍梅花宿。梅花似玉人。鱞居不寂寞。長與玉人親。獨傍梅花宿。梅花似玉娘。鱞居不寂寞。通夜寢衾香。獨傍梅花宿。梅花似玉顔。鱞居終寂寞。花亦不禁寒。</text>
<title>簡寄象山使君李來初</title>,<text>別來無一詩以起余。非佳政也。峽邑多閒。寧無一吟詠之暇乎。寒居寥落。盆梅一株。凍澁不開。繞樹吟望。懷思轉惡。仍占七言短律却寄。冀故人之知此意也。新梅生澁似新知。歲暮空山芳信遲。謂與故人同苦調。却憑歸使寄寒枝。天風欺我臘前魄。昨夢飮君花下巵。可是鈴軒春事早。願分餘馥入吾詩。</text>
<title>李承旨 元齡 丈挽</title>,<text>陶樽木局好生涯。此老襟期知者知。皮裏一編東國史。筆端千古晩唐詩。南華書僻復誰解。御柳吟成空自奇。泉下修文官不薄。也應公道在冥司。霜臺一曲少年事。古栢蕭蕭三十春。晩節孤淸看可愛。窮道然諾或非眞。空聞耆社開圖畵。強逐兒曹役卯申。他日晨楹簪筆拜。案邊斗坐更何人。嘗聞先子有恒言。所畏平生惟白門。勝處人傳眞卛會。神交公折輩行尊。悲歡閱世灰千劫。風雨驚心夢一番。漠漠昊天寧吊我。我懷堪與棘人論。</text>
<title>送魚川督郵金若天 聖欽</title>,<text>君誇藥山勝。我酌藥山春。勝處應思我。春來又送君。無心巫峽雨。有淚大行雲。且可消閒夜。挑燈看古文。</text>
<title>重簡象山使君</title>,<text>南枝消息報來遲。十日相思寄一詩。可是主翁今夜夢。羅浮山下玉人期。傳道山家春事遲。花心苦澁似吾詩。到來詩思花俱發。吾與梅花不負期。</text>
<title>重遊法輪寺有感</title>,<text>蹇驢忽渡寺邊溪。流水落花行不迷。僧與白雲皆舊物。我尋蒼壁問前題。功名有累山人笑。存沒傷心谷鳥啼。遙夜鄰牕讀書子。知吾少日耐孤棲。</text>
<title>又拈五律</title>,<text>三宿能無愛。重來却有情。留僧半日話。聽我少年行。歲月松杉老。丹靑殿閣明。雲梯夜秉燭。高處更題名。</text>
<title>送金商卿 命衡 宰固城</title>,<text>官程雨罷菁林黝。浦舘瘴來梅子黃。吾輩如今窮契濶。世間何地覔淸凉。人生五馬身榮辱。消息雙魚路短長。無限夕陽雲物遠。眼寒南國立蒼茫。</text>
<title>前紀行</title>,<text>遙遙何處長安日。極目烟波人不來。客路明朝愁鳥嶺。江城寒雨落烏梅。白雲山下庭闈近。丹月村邊風景哀。偶然高詠驚沙鶴。我本無心渠自猜。</text>
<title>㺚川</title>,<text>兵法良如許。天時可奈何。將軍陣背水。戰士化爲沙。二墓無靑草。荒㙜咽白波。危時今古意。看釰一悲歌。</text>
<title>鳥嶺</title>,<text>客路悲歌起。雲端主屹關。名城占地勝。畏道上天難。國險同全蜀。人謀乏一韓。琴臺日暮雨。鬼火墮空寒。</text>
<title>龍湫</title>,<text>萬杵殷殷氣勢䧺。巖巒汩沒受撞舂。風雷自作無時雨。窟宅深藏不睡龍。頭角悚然窺石罅。潭心忽若露金茸。邇來南國頻年旱。安得神鞭策爾慵。</text>
<title>狗灘</title>,<text>關雲曉作靈湫雨。白浪高於主屹門。直到狗灘爭急勢。平呑狠石沒孤根。兎峯橫截無歸路。雒水東流拱一源。十里崎嶇下幽谷。近山低處見遙村。</text>
<title>洛東江上卽事</title>,<text>隔柳聞人語。依巖喚釣船。遙山如夢裏。細雨落詩前。草暖黃牛卧。江淸白𪆽眠。鱸蓴秋後興。吾與季鷹賢。</text>
<title>洛江望金烏山</title>,<text>百川東注洛。洛江入于海。江上多淸風。烏山却何在。山有種竹田。竹色靑不改。繫纜砥柱下。琅玕手采采。蕭蕭千古意。默默如相待。</text>
<title>後紀行</title>,<text>夜宿巖厓淸夢多。晨餐烟氣罨溪霞。寥天欲雪起孤鴈。休市無人來噪鴉。火後山田憐草色。春還野樹見梅花。羣峰馬首重重出。直北長安望裏遮。</text>
<title>公儉湖</title>,<text>落日照平湖。湖光明晩眺。煙蕪盪空碧。十里波灝渺。蜿蜒長百怪。浩蕩䧺嶺表。呑納二州間。商咸餘地少。耕氷倦蟄龍。墜空劫歸鳥。二月湖水靑。春色正窈窕。娟娟大堤女。柔櫓掠紅蓼。蓼芽出水弱。舟遠猶嫋嫋。忽然白波起。菱歌響未了。雙雙急回棹。珮帶縈柳杪。雲陰慘變化。羣籟爭喧擾。餘瀾勢更大。水天相繆繞。陽施復陰閉。怳惚膽自掉。東士生偏隅。有眼何眇眇。看渠小胷次。未足容盃沼。所以管中窺。巨細錯分曉。不見洞庭大。安知儉湖小。</text>
<title>到良範拜先墓。憇追遠堂。</title>,<text>先祖衣冠塟。遺孫雨露情。水深流不廢。梓老蔭逾淸。令節中牢享。千年下馬名。扁亭二字意。看作後人籯。</text>
<title>路傍古塚</title>,<text>嶺俗輕寒食。汀洲空白蘋。東風三月晩。荒塚百年陳。長夜幾時曉。殘花猶自春。樵歌日暮起。松栢剪爲薪。</text>
<title>傾囊雜藁六絶</title>,<text>雲木沉沉落景遮。半山靑翠捲風沙。維南時候還如許。寒食無花雪作花。寒缸明滅客愁生。筭了郵籤六百程。牕外子䂓啼盡未。起看山木月孤橫。雨中千樹橘花新。二月江南始見春。秋來滿眼垂珠實。懷去高堂壽老親。金烏城下倦雲棲。主屹峯頭孤鴈嘶。歸去洛川春寂寂。一庭花事雨凄迷。中洞幽人一杖孤。春風送客過儉湖。他時商雒分山計。漢老遺墟說有無。銀燭煌煌紫籞高。去年今日侍龍袍。匀天一罷深如海。春色依俙記露桃。</text>
<title>病滯果川客舘。懷思寂寥。淸溪李君惠然來訪。詩以慰之。其意可感。和韻寄謝。</title>,<text>人從桂坊來。香屑坐間堆。感激詩中語。襟懷病裏開。非無雪棹興。只怕簡書裁。話子淸溪勝。前宵夢二回。</text>
<title>和奉蓮社諸君子 族叔子淳蕙圃，李來初眘節齋，李輝祖淸潭，吳永伯藥山。</title>,<text>山行遇樵者。水行見漁子。我行非二塗。所覯卽淸士。淸士惟古儀。佩玉紛蘂蘂。粲粲顧我笑。言我道在此。春景正窈窕。春木亦旖旎。芳時恐不與。努力追前趾。以玆發蒙蔽。聽言中心喜。歸來斂余裳。芳澤襲蘭芷。</text>
<title>仙遊峰感懷。朱天使舊遊。</title>,<text>涉江采孤蘭。繁露凄寒洲。采采欲遺誰。所思在中州。中州賢聖國。誰昔煥王猷。天王垂惠光。眷我東藩侯。皇華自天來。嘉客且淹留。楊花古渡頭。雲物日淸幽。上有仙遊峯。下有仙人舟。倚舟峰頂上。飄飄仙子遊。仙遊意寥廓。碣石風雲愁。山河自舊物。天地一浮漚。悠悠江漢波。日夜向東流。魯邦有古木。美名垂千秋。</text>
<title>節蕙兩君。各賦停雲四章寄惠。演成八疊和之。</title>,<text>停雲本在山。出山迷徑路。山外有流塵。城裏無高樹。瑤華近憔悴。歸去作霖雨。霖雨何濛濛。瑤華日蘼蕪。蘼蕪恐銷歇。行子方遠塗。行行各努力。萬里猶庭衢。何峰不可愛。爾思在西峰。亭亭峰上雲。矯矯雲間龍。乘風共游颺。上下相追從。山月何盈盈。山花自霏霏。謙謙君子德。處世貴藏輝。山中有白雲。歲晩可同歸。開篋有古錦。十襲蘭麝薰。葳蕤五色絲。宛轉百結紋。聞子好奇服。爲子作幱衯。瑤臺望偃蹇。桂樹紛掩翳。君子何感激。貽我靑螺䯻。靈妃將夕降。持此以爲幣。寒潭見底淸。潑潑有游鯈。相知無故新。况此貧時交。願子崇令德。此道不寂寥。晨飈響征鐸。行邁何靡靡。徘徊佇秀林。幽徑崇蘭被。靈氛告余卜。此去見君子。</text>
<title>停雲。思想之意也。思之而不可見。則輒復咨嗟詠歎。有招呼懷來之意也。遂擬古淮南小山之操。更續四疊。</title>,<text>落日停陰坂。幽鳥萃陽林。覽此忽不樂。孤懷寫玉琴。雅操發淸商。脉脉生遠心。山磵月盈盈。孤霞凈如練。回光薄秀林。烘影出華殿。殿角何崢嶸。美人不可見。美人隔秋水。貽我金色鯉。中含一尺素。上有佳期字。佳期在今夕。何以樂之子。何以樂之子。我酒旨且芳。牀簟旣㓗齋。燈燭何煒煌。願言今夕樂。皓首無相忘。</text>
<title>次淸潭韻。呈蓮社諸君子。</title>,<text>新詩看作古圖經。湖上羣峰指掌靑。一枕仙遊容我卧。怪君無事覔山亭。雲物仙家近若何。淸詩傳詠洛中家。老僧往往來城市。投我瓊琚換木瓜。林居日日饒淸思。簾外靑山影陸離。山靑山白須臾事。惟看浮雲來去時。</text>
<title>雜詠。拈次杜律韻。寄蓮社諸君子六五律。</title>,<text>幽事差強意。因玆慰索居。敎兒折枯竹。樊圃護殘蔬。東市買名畵。西鄰借好書。僧來更佳絶。山瀑問何如。廢寺留柟氣。新茶點佛香。閒雲終日在。古木不風凉。妙處甘淪寂。危時合舍藏。山阿景將入。歸鳥隱空蒼。歎息復歎息。汝休論治安。蕭蘭換化際。袍帽是非端。君子觀時變。神交托歲寒。雲丘屬無競。容我一蒲團。境外知音少。閒中得日多。東南偏畏道。湖海一悲歌。小圃晴滋蕙。初衣潔返荷。芳華怨歲暮。將奈美人何。永言懷我美。乃在山之幽。箘桂紉爲佩。木蘭剡作舟。夜隨沙鶴宿。朝伴澤麋遊。歲晩誰華汝。中心集百憂。萋萋磵邊草。采采寄相思。宦業淹餘睡。閒魔遣一詩。留雲情可悅。倦鳥意何遲。搖落溪山興。回頭悵後期。</text>
<title>次蓮社諸君見寄之韻二首</title>,<text>春天百種卉。爭艶不多時。石竹開何晩。山丹落每遲。無人知雅趣。同我保幽期。野草偏生意。孤芳更對誰。小睡矇矓意。庭柯落雨時。境喧心靜寂。興逸句淹遲。歲月渾無賴。雲山自有期。風流惟我輩。勝處主人誰。</text>
<title>寂寥數語。厚被諸公稱引。心竊愧忸。更步原韻。追述在山時事。謝呈社中僉案。</title>,<text>故人斗酒相追尋。坐我翛然江閣陰。一笑浮榮如昨夢。百年歡會見眞心。崇厓繫馬白雲迥。幽徑逢僧蒼檜深。數曲瑤桐何限意。淸商忽變谷蘭吟。谷寺迢迢認磬尋。山樓依暎萬松陰。穿雲獨鶴那邊意。倚樹高僧自在心。遂有煙嵐今古秘。不緣徑路往來深。寥寥白社知音少。時對村姑發朗吟。閒居幽事日侵尋。坐處僧分方丈陰。已識雲山非熱物。故敎兒輩少爭心。荒簷宿鳥依人立。瞑壑浮嵐傍馬深。會向烟林修舊帖。帖中新有白蓮吟。物色禪家爛漫尋。凉簷把酒滴輕陰。幽泉暗引無窮意。啼鳥閒消盡日心。山閣唄沉羣衲靜。客床詩罷一燈深。相逢林下有吾輩。重謝千秋靈澈吟。</text>
<title>病中試筆。次吳永伯韻。</title>,<text>崢嶸瘦骨聳秋巒。夜卧虛簷白露團。何限山楓與籬菊。今年又向病中看。憶昨仙遊峰上行。磵霞初捲海潮生。歸來寂寂垂簾坐。秋意蕭騷滿洛城。吟前癯骨立霜天。簷際秋陰落晩筵。童子烹茶爇紅葉。濕烟綿羃鳥棲邊。蕭瑟秋雲曖古城。藥山嵐翠看分明。牕前窸窣梧桐雨。夢裏猶疑曳屧聲。</text>
<title>賀淸潭得子</title>,<text>桂屋何窈窕。庭木生淸香。主人作湯餠。歡然邀客嘗。我來試英物。莞簟聞喤喤。一日懸桑弧。二日浴蘭湯。百日成鬌角。咳手表嘉祥。開眼百步威。的爍飛電光。爾家詩書種。爾爺能文章。文章乃餘事。敎汝以義方。吾齒亦未暮。見汝昂霄長。</text>
<title>柳參議 憲章 丈挽 五首</title>,<text>先后崇明德。繁囿萃羣芳。君子愛㓗餙。繡襋香鞶囊。朱華與時隕。白露濕蘭房。沉沉蘂珠閣。寂寂留餘香。東臨鏡湖水。北上摩天嶺。天寒碧蕙死。木落湖光冷。君子感時物。徘徊踐落景。離離枳樹陰。閃忽孤鳳影。朋儕豈不嘉。獨與神明居。神明在西北。赫赫照襟裾。借問何所樂。案上有古書。書中有佳語。君子實若虛。哀音達九重。門外禮官至。朝廷寵卿月。按例亦恩賜。歸賻及君餘。營厝自官庀。官丁莫負土。負土有五子。仙輧翳霜雪。天路迷西東。巫陽將夕降。鈴珮響遠空。招招動哀些。君子爲鬼䧺。歸來鎭百厲。山右多妖叢。</text>
<title>憶西城弊廬</title>,<text>西城弊廬。薄有林園之趣。自念窮阨。爲他人愉。有時回想。感恨隨之。仍記壁上有吾愛吾廬四字。分占疊韻。遂成短篇八咏以識之。有屋三十間。有桑一百株。春蠶飮麥露。老榦靑欲扶。三年我不窺。我園日將蕪。飛來雙醉鳩。聲聲如喚吾。老圃秋有興。籬落多景槩。霜天一壺酒。我酌花相對。花間有零露。夕餐偏香藹。憐渠少知己。吾後復誰愛。東簷日影亂。墻角立靑梧。對汝不論瑟。君門多濫竽。爲汝好擡擧。夜來棲鵷雛。鵷雛竟何許。主人今非吾。三月花亂開。四月葉初舒。五月方食實。比鄰及吾餘。花與葉與實。三絶俱可居。居者復爲誰。人亦愛吾廬。晩飯咬菜根。滋味可養吾。吾圃日靑翠。吾形日淸臞。豪家肉魚臭。素食者非夫。看渠鼠壤中。亦有餘蔬無。我不和花賣。海棠我所愛。海棠本無香。無香有眞態。仲郢君子人。薰麝未曾珮。斯人誰得似。海棠與之配。燁燁當歸草。春來應笑吾。笑吾不如渠。曷月言歸乎。爾貴不直錢。我拙甚於鳩。連參價最高。爾肯爲我謀。殷勤杜鵑花。十年於弊廬。饞客欲和糕。醉客欲泛釃。我喜自然者。開落一任渠。無人知此意。花事日蕭踈。</text>
<title>送安東府伯李來初之任 二首</title>,<text>要華非雅好。孤淡卽平生。久厭承明直。常懷落日情。遺風太師遠。新化使君淸。京國春將晩。依依送子行。老谷雲霞古。春來物色宜。休官他日計。憶我盛年時。昨夢靑山在。新盟白鳥知。多憐累安邑。贏得草堂資。</text>
<title>挽權進士 敦○二首</title>,<text>蕭瑟終南暮。乾坤霜雪新。吾今廢相士。天亦不勝人。急景催脩夜。空花占一春。猶堪少把玩。何乃遽沉淪。顚倒世間事。飛沉無定期。同時人物論。他日廟堂姿。一柱東南重。孤根雨露遲。空名但司馬。遺憾屬癡兒。</text>
<title>挽李司成 咸卿○二首</title>,<text>步步披榛棘。蘭香陣陣聞。孤危向斯道。倚仗得如君。朝有便旋地。時多變化雲。昇平那可再。宦業止修文。惻惻憑前夢。宮花御柳陰。評君半壁畵。和我四仙吟。談笑平生事。幽明一片心。覺來梁月在。流照九原深。</text>
<title>松都感古 此下至棄官歸。壬寅安陵時。</title>,<text>空臺缺月吊山河。哀怨千秋玉樹歌。圃老英靈猶在否。鱗孫伯業竟如何。寒雲廢堞啼孤鳥。流木荒橋記槖駝。前代興亡那可問。穆淸佳氣至今多。</text>
<title>葱秀山</title>,<text>山中物色猶堪賞。山下飛泉落晩瀧。伊昔皇華遊此地。當時天子眷吾邦。朝家不盡長江恨。天地空留志士腔。白板西來非我好。爲誰氷路促行幢。</text>
<title>曉行</title>,<text>酒力微微散。風威陣陣生。孤星天際沒。雙火馬前明。轉轉何峰出。依依遠樹迎。層崖忽高下。吹角不成聲。</text>
<title>立春題縣壁</title>,<text>松桂陰濃鴈踈。訟庭牙散日華舒。村氓抱牒翻回去。爭道使君方讀書。</text>
<title>行春詞</title>,<text>太守行春。頒詩令三條。其一曰登望京樓。捴爲浮雲能蔽日。長安不見使人愁。其二曰登百祥樓。樓㙜晩映靑山郭。羅綺晴嬌綠樹洲。其三曰泛晴川江。木蘭之枻沙棠舟。玉簫金管坐兩頭。</text>
