<title>正陽寺</title>,<text>月隱靑蓮外。雲生古㙮西。淸簫擬一弄。秪恐鶴驚栖。</text>
<title>過堂洞李仙丈舊居。有感。</title>,<text>騎鯨人去歲頻遷。丹竈烟寒月獨懸。却憶昔年床下拜。淸塘碧柳夢依然。</text>
<title>記曾遊山川</title>,<text>晩泊龍津江上宿。水鍾 寺名 淸磬度烟波。閑尋神勒東㙜月。更向淸心 樓名 聽棹歌。白馬長江入海流。臯蘭寺下繫蘭舟。龍亡花落俱無迹。千古興亡問白𩿨。</text>
<title>次湖西伯李君遊四郡韻</title>,<text>十洲三島瑞烟渾。鶴唳猿啼月下聞。更有仙娥鳴玉軫。風流疑是卓文君。</text>
<title>丹陽二樂樓</title>,<text>塵中曾見季雲文。二樂風烟入夢魂。白首來凭千尺檻。水風蕭颯月黃昏。濯纓金君。字季雲。有記文。</text>
<title>記楓嶽舊遊 二首</title>,<text>千峯競拔海雲開。亂壑爭流吼萬雷。碧檜重重人不到。香爐巢鶴獨歸來。香爐。峯名。萬二千峯百八庵。珠潭銀壁眩東南。吟筇逈倚風松下。目奪神忙興不堪。</text>
<title>寄仁叔福汝</title>,<text>懷君淸夢日悠悠。咫尺相思白盡頭。窮巷寥寥門獨掩。滿庭凉雨菊花秋。</text>
<title>病擁衾裯。牢掩柴荊。雪壓松篁。淸致可掬。洒然有雪。舟雲壑之趣。聊綴荒詞。奉呈諸君子。求和。</title>,<text>脩篁千挺屋西東。門掩三冬一病翁。風雪擁爐幽興動。淸吟要與數君同。</text>
<title>山舍偶吟</title>,<text>烟雨渾山不辨峯。百花齊發屋西東。年來漸省經營力。陋巷簞瓢屢告空。</text>
<title>山齋四時</title>,<text>衆峰環擁一川奔。山杏花邊晝掩門。碧靄滿林春寂寂。子䂓來叫月黃昏。春萬松陰裏一茅茨。活畫池㙜淑景遅。午枕初醒猿鶴夢。綠槐高處囀黃鸝。夏南陌稻香不怕飢。松蕈紫蠏滿筐肥。每逢韻釋談山水。不向人間說是非。秋避世雲林深復深。雪邊茅屋斷來尋。日携經卷山窓下。餘外紛紛不掛心。冬</text>
<title>挹灝亭 二首</title>,<text>汀洲月落淡烟生。蘆荻風高鴈陣驚。幾處漁梁收綠網。夜深篝火散如螢。高岡斗立白雲傍。千挺蒼松産晩凉。人散月明山更靜。半空淸籟奏笙簧。</text>
<title>壬戌秋七月旣望。聖兪，述甫，景始，信伯諸公。作塔山泛舟之遊。余病未赴會。仍成二絶句。</title>,<text>赤壁蘇仙壬戌秋。滄丘今日亦風流。殷勤爲問東山月。勝事看看似舊不。新秋蘇爽月仍圓。百仞滄丘碧水邊。桂棹蘭槳凌萬頃。傍人呼我後蘇仙。</text>
<title>次聖兪韻</title>,<text>天涯消息隔春堂。何事經年未返鄕。日暮倚閭君似我。一般懷抱鬂俱霜。聖兪之胤憬。與希進。俱往海西。久滯未還。</text>
<title>次邑守沈君韻</title>,<text>微凉鏖暑雨新晴。百尺危樓片月明。珍重玉人期不至。眼穿官路有餘情。</text>
<title>奉贈李子淵行史 二首○以湖南伯。遞任還朝。</title>,<text>湖外三年宣聖化。樽前一夜捿芳襟。向來哀樂渾如夢。泥雪鴻蹤底處尋。微凉鏖暑月黃昏。暫駐襜帷水竹村。擔酒遠來勤問訊。世間風義孰如君。</text>
<title>披雲庵八景</title>,<text>烟暝千峯淡復濃。宿禽無數集深松。斜陽一抹明新畫。花外歸僧趁暮鍾。道峯淡照半峯斜日已西沉。向夕池㙜生暝陰。誰送食藏山上月。晴光先射倚床琴。藏岳金波碧松千挺白雲邊。手植今經七十年。靜愛寒濤喧萬壑。焚香徹曙澹無眠。萬松寒濤冷霞初散碧嶙峋。分外山光雨後新。誰把吳門千尺練。縈林絡石白於銀。一壑晴嵐棲息新移水石鄕。籬邊藥草滿筐香。殘年嘗盡和雲液。童頂還抽綠髮長。穿雲採藥斑鳩啼罷雨昏林。繞宅春流沒岸深。灌向淸潭添數尺。彩鳧無數恣浮沉。引泉注潭楓溪終日坐苔磯。潑潑遊鱗健欲飛。故故近人猶不怕。想應知我已忘機。楓溪觀魚碧柳千章小澗濱。滿林新綠護鶯身。山花落盡子䂓歇。出谷淸聲殿晩春。柳市聞鶯</text>
<title>重陽日。獨坐口占。</title>,<text>柴門孤掩碧溪頭。落帽佳辰負勝遊。望斷白衣林欲暝。黃花無賴一番秋。</text>
<title>題沈公立新軒</title>,<text>繞檻山如畫。浮嵐襯董帷。琴書堆凈案。松菊間踈籬。學道多眞率。干時自鈍遅。閑來全省事。唯伴一枰棋。</text>
<title>苗湖龍塘寺</title>,<text>斗屋臨無地。高簷近紫微。長波素練展。列峀錦屛圍。林月隨吟杖。江雲濕羽衣。方知蘧伯玉。四十九年非。</text>
<title>御院訪閔應聖。往湖南已數日。悵然以題。</title>,<text>有客懷良友。遙遙到海汀。黃昏尋五角。綠樹掩踈欞。南路君先發。西州我獨經。干戈何忍說。瞻望淚空零。</text>
<title>舟巖滯雨 二首</title>,<text>經旬雨未霽。羇思復如何。歲月辭山久。炎風入夜多。思家勞遠夢。憶弟動悲歌。擬向天西去。脩程接海波。壽木蒼陰下。蕭然一草家。嬰簾雲似墨。漏屋雨如麻。西塞愁龍馭。南州尙虜歌。千愁仍不寐。添却鬂邊華。</text>
<title>贈敏仲</title>,<text>海內軒昂友。南中老病姿。蓬飄萬死後。萍合一樽時。接地雲初散。流天月未。翻思他日會。安得易爲期。</text>
<title>贈栽甫</title>,<text>積雨收前夕。長林濕翠烟。柴扉關寂寞。藜榻卧蕭然。雲駁初看月。松深晝叫鵑。思君猶未見。夜夜夢長牽。</text>
