<title>往拜枕澗亭壺谷先生。拈韻命賦。己巳</title>,<text>雨霽梧桐葉。風輕楊柳枝。此間有眞趣。只應知道知。</text>
<title>壬午四月十三日。復寢後三日泣書。</title>,<text>其淚其淚。淚亦眊只。心之悲矣。于誰告矣。養生送終。亦旣有缺。慕之號之。將何徹矣。乃陟于壠。松栢萋萋。鳥獸叫啼。草沒其蹊。彷徨顧懷。不忍歸兮。日旣曛矣。言返于堂。有詩有書。有机有牀。若有明靈。昭昭臨余。昭昭臨余。余不見諸。乃寢于室。寢寐見之。依依心目。顧之睠之。猶不覺悲。猶不覺喜。驚起無睹。怛焉中痞。乃拓其戶。月出皎兮。淸夜窈兮。心悄悄兮。東有明星。羣鷄相叫。乃衣乃冠。言拜于廟。庭除肅肅。草樹如幪。一氣孔昭。有感必通。春秋祀享。敢有不誠。不誠不敬。靡余歆聆。祖考有訓。擇義愼言。維孝維友。維儉維勤。弗飾于面。弗役于文。眇余小子。恐不祗行。庶幾夙夜。無忝所生。力所不堪。其寧忍捐。戰戰兢兢。如臨于淵。</text>
<title>偶吟</title>,<text>襟懷霽月光風凈。心事靑天白日明。勸爾休勞閒企想。須從暗室著工程。</text>
<title>寓棲月谷。次再從叔南棲翁 聖文 寄韻。</title>,<text>秋思蕭條日轉多。空齋閒坐面陂陀。堪嗟咫尺違談讌。柰此寒宵皓月何。</text>
<title>秋懷書澗石</title>,<text>僦屋久淹留。山月三成弦。西風政搖落。雲飛孤鴈旋。杳杳日頹西。凄凄霜滿天。松響動寒磎。楓林搖素烟。隔世空悵望。眞心炯千年。世故日紛軋。人情漭推遷。而我獨何心。不願蓬萊仙。羡此秋水淸。愛此秋月圓。懷人不可見。拊躬還自憐。感歎長吟處。幽咽瀉巖泉。</text>
<title>偶咏澗中</title>,<text>獨坐三秋色。高咏百年情。飛泉如解意。激激動寒聲。</text>
<title>八月卄三日。自月谷遊南溪。</title>,<text>散遊南溪曲。風物宛成昔。閒弄澗下泚。暫坐崖邊石。黃雲迷遠坰。赤葉覆層壁。日月曾幾何。久矣阻咫尺。徘徊澹忘歸。依依松日夕。</text>
<title>歸路坐溪邊盤石。用前韻。</title>,<text>千古不轉傾。賢咏傳往昔。拙尙喜淸邃。我且得此石。寒玉觸淸湍。畫屛倚秋壁。淸湍日千里。秋壁高幾尺。翛然出塵宂。於此聊永夕。</text>
<title>陶淵瀑㳍上。次李慕亭 蓍秀 韻。</title>,<text>豪興崢嶸到壑湫。塵間回首失千愁。驚瀾直倒䨓霆勢。噴沫橫飛風雨秋。縞鶴憐聲依嶺轉。金鱗耽靜向潭浮。玆行頓覺塵襟灑。何况追遊盡勝流。</text>
<title>東京懷古 三首</title>,<text>徐伐千年國。秋風遠客來。烟沉江水去。日暮衆山迴。訪古星壇立。牽愁玉笛哀。夕陽衰草外。長嘯獨登臺。背日譙樓出。迎人遠樹來。鷄林殘雨過。鰲峀片雲迴。暮看城烏集。宵聞蜀鳥哀。平原遙極目。壞塚與荒臺。宮址草沒遍。殿甓水漂來。陵樹愁逾碧。蚊川去莫迴。風光非不好。登眺自生哀。落日飢鳶叫。枯松倚鳳臺。</text>
<title>玉笛 二首</title>,<text>千年碧玉笛。一曲倚秋晴。寥落荒城暮。凄凉故國情。登高寒月撼。吹逈暝雲平。未了三盃興。愀然百感生。一聲羅代笛。城外水溶溶。缺月留虛寢。飛霜滿碧空。淸調同海竹。幽恨和更鍾。吹向荒陵裏。悲風號古松。</text>
<title>冬夜偶吟</title>,<text>冷室懸燈獨坐深。悠悠斯世孰知音。風簸響訝波飜屋。雪積寒疑水潑衾。黃卷久看多悅味。靜眠初覺忽眞心。叵耐中宵興感慨。百年回首費孤吟。</text>
<title>臘月二十日夜</title>,<text>感慨當殘臘。遙宵靜伴燈。梅含獨樹蘂。雪合半庭冰。妄有千年想。慚無一事能。寒牕書滿案。聊自對顔曾。</text>
<title>春日小酌。杏花爛開。癸未</title>,<text>嬌杏迎春吐嫰紅。淸香浮動透簾櫳。遙想天津風日麗。看花車馬滿城東。杏花開盡滿庭紅。起對韶光思不竆。惆悵淸罇誰共飮。良宵月上短墻東。</text>
<title>過立巖洞口</title>,<text>綠浪平浸第二橋。奇巖矗矗出雲霄。讀易遺亭何處在。不堪回首送睇遙。</text>
<title>暮春遊溪舍</title>,<text>傍澗淸齋日日來。憑欄眺望意悠哉。畫屛初展山當戶。明鏡新磨水映臺。閒裏可能安性氣。寰中何處不塵埃。叵堪杳杳思人遠。未是飛花撩興懷。</text>
<title>溪亭感吟</title>,<text>畸性常思百世前。功名從古只秋烟。閒中欲見同襟子。屈指如今幾歲年。岸木森森水影虛。百年心事一林廬。永日閒居無外雜。松風時卷案頭書。</text>
<title>六月十七日夜</title>,<text>臨空赫日火雲浮。偏愛蒼凉夜似秋。獨坐更邀明月伴。百年懷思自悠悠。</text>
<title>夜浴川。暫坐前亭。</title>,<text>舞雩千載興。瑤琴獨抱心。閒上孤亭坐。月圓松樹深。垂髫陪賞地。粧點幾年心。萬事桑瀛變。空令悵慕深。</text>
<title>甁梅 甲申</title>,<text>蕭灑牕前一樹梅。東風不動未須催。折將小朶甁中養。招得香魂月下回。皎皎粉團方自艶。輕輕雪片忽看開。畸人於此寄情趣。可是羣芳壓掃來。</text>
<title>梅花</title>,<text>除却空山一樹梅。名園紅白摠塵埃。飄零不忍聞羌笛。靘艶方看蘸月杯。休說太眞凝玉膚。長疑姑射佇瑤臺。愧無句法形容到。只襲淸香滿袖回。</text>
<title>壺谷先生輓</title>,<text>粹姿仍藉用工要。湖鉢傳來樂巷瓢。灑落光輝睟面背。端嚴節度貫冥昭。不差毫分吾家的。少試經綸海邑謠。一座春風難更襲。叵堪斯道日衰凋。力行師訣更家傳。偏仰眞工近裏專。托契深從三世舊。垂憐誤自十年前。長時襯德誠徒切。今日摧梁恨益纏。百載永違陪寂寞。講堂寥落鎖寒烟。</text>
<title>詠梅花十絶</title>,<text>冰魂玉骨雪中梅。冷艶衝寒不恡開。千載兩翁心事妙。騷人謾詠亦塵埃。靜向百花頭上笑。淸標惟有竹相依。幽人素厭紛華甚。捨爾何心玩綠緋。夜深庭院水晶寒。踏雪長吟百匝看。胷裏滓塵無一點。也應疎蘂作兄難。疎英爭與月華姸。休憶孤山有宿緣。可憐雲谷堂前樹。那忍風流墜杳然。暗香馥郁傳書幌。疎影橫斜入小樓。月上梢頭難盡妙。烟遮墻角乍含愁。月波遙夜化微霜。借與寒枝作淡粧。瓊姿雪蘂看逾好。靜艶何妨鐵石膓。逈出紅塵一萬重。天然絶世雪冰容。高人不作羅浮夢。千載長吟意思濃。丁寧寄向封姨道。莫使微風半片催。不遌玉仙淸伴我。何能塵慮一時灰。雪洗霜淸寒入骨。瓊姿玉萼更如何。方知苦節彌貞厲。絶歎長吟日百過。誰憐傍竹斜枝好。儂擬開園萬樹栽。逋仙死去寒花在。定有詩魂月下來。</text>
<title>暮行兄山江上</title>,<text>名鄕春物正繁菲。郊麥靑靑柳拂磯。落日浸江紅蕩漾。長雲橫海碧低迷。天下孰知吾道遠。寰中未覺此身微。不堪回首思歸處。千疊烟山片雨飛。</text>
<title>江路遇雨</title>,<text>溶溶江水流。漠漠江柳垂。晩雨洗沙石。碧玉鋪汀洲。</text>
<title>觀圍碁</title>,<text>人對紋楸在曲欄。子聲時出古松間。盡日蛛絲遊不定。枉將機思攪淸閒。</text>
<title>溪亭夜坐。次南棲叔韻。</title>,<text>虛堂中夜整冠襟。皓月窺牕松籟深。素尙只能傍蠧簡。遐懷長欲理瑤琴。光陰日夕難回歲。波浪東西不繫心。相對靜循髫齔志。緣何滅裂到如今。</text>
<title>又次雪夜之作</title>,<text>漠漠竆陰大雪飄。天敎夜月慰寥寥。聲憐折竹巖雲重。興發尋梅野色遙。獨坐吟詩開小室。誰來斫凍過前橋。箇中淸絶無人共。到曉冰輪掛曲寮。</text>
<title>白雲亭。次板上韻。</title>,<text>飛軒危俯碧岡頭。極浦平沙豁遠眸。滿地冰紈澄浪闊。連雲眉黛晩峯稠。遺風隔世芬猶襲。遊興漫空浩未休。徙倚湖山春暮景。愧無詩思壓曹劉。</text>
<title>又次金內舅 祖壽 韻</title>,<text>重修舊閣屬今年。綠浪玲瓏倒采椽。日暖潭魚金躍鏡。雨晴汀草碧鋪氊。軒楹逈絶疑超世。神骨森凉欲換仙。容易靈臺消外累。明牕長對卷中賢。</text>
<title>暮抵立巖</title>,<text>暮投立巖院。院在淸溪干。萬松森翠色。幾曲鳴寒湍。憶昔張夫子。避地居此間。卓立千丈石。獨留暝雲端。遺像寄丹靑。再拜興感歎。趨退坐空齋。默然對靑山。</text>
<title>夜坐溪堂</title>,<text>風生北澗底。月出東山上。隨意坐前軒。夜閣自淸敞。老松攲寒影。石瀨動淸響。欲把無絃弄。誰哉知音賞。永懷千載人。中宵勞夢想。</text>
<title>乙酉元日。從弟无悔 致復 呼韻。</title>,<text>忽逢新歲轉愁新。愧殺逢新卽舊人。靜對圖書還自樂。經冬梅柳已驚春。</text>
<title>簡寄金表弟士鍊 養範</title>,<text>遙知胷次洗塵氛。聞說三冬住白雲。孤坐水亭誰與語。新春強半是思君。</text>
<title>宿淸凉</title>,<text>夜宿香罏殿。淸夢遊玄圃。曉起拓幽牕。白雲滿庭戶。</text>
<title>春日偶吟</title>,<text>十年心病愛幽棲。孤坐淸軒看碧溪。春日鳥啼深樹裏。夕陽人語小橋西。田家隔水烟初起。嫰柳垂堤綠漸低。萬物靜觀皆自得。笑將詩筆信手題。</text>
<title>偶成</title>,<text>一區花木自成陰。春在靑山日日深。隨人最怕塵埃事。習靜還同造化心。苔階無客半花陰。最向林居春意深。等閒庭草如匀翠。誰識舂陵萬古心。</text>
<title>玩梨花。與南棲叔共賦。</title>,<text>濃雲朝捲亂峯靑。桃李迷魂柳拂城。樽添午酒吟春思。癡對東欄獨樹明。繁白紛紛間嫰靑。風吹香雪滿春城。虛簷睡起迷遐眺。亂蘂還欺薄暮明。</text>
<title>暮景</title>,<text>重重翠色亂峯陰。遠墅烟生野水深。翁立夕陽依社樹。僧歸疎雨到松林。</text>
<title>前楹小坐。次南棲叔韻。</title>,<text>跨壑臨溪屋數楹。一床書卷足平生。歌咏先王堪自樂。世間榮辱不須驚。</text>
<title>重午日</title>,<text>麥隴風過翠浪平。鞦韆樹動午陰輕。無情節物令人感。枝上寒蜩向夕鳴。</text>
<title>次南棲叔山村歷路口占</title>,<text>風簸堤柳枝枝長。雨裛村花樹樹香。斜陽沽酒臨溪岸。歷歷柴門短短墻。</text>
<title>秋日登南漢山城</title>,<text>南漢城門倚石開。秋風蕭瑟鴈羣來。行人㧖腕東坡石。義士悲吟西將臺。萬甲隔山謾化鬼。兩臣浮海苦非才。登臨不盡當年感。霜氣橫天畫角哀。</text>
<title>溪榭次信庵李丈 秉夏 韻</title>,<text>林烟澗氣翠成霏。盡日光華住石扉。海路輕驂秋雨返。寒崖幽鳥夕陽歸。陪隨有分欣攀翮。治養無工愧望眉。益歎閒居無事業。秪敎山水巧呈奇。</text>
<title>又呈李丈</title>,<text>東海歸驂訪碧山。晴牕譚讌萬松間。閒中聽說凝庵訣。願學延平靜坐看。</text>
<title>又次五言</title>,<text>向晩移淸簟。空樑水上亭。䧺觀已海色。憐聽又溪聲。語切虛心受。詩荒汗面呈。重臨知幾日。汀樹若爲情。</text>
<title>與李上舍季文至東江。憇濯淸榭。</title>,<text>重湖遙映畫樓寒。鳥哢空庭客夢閒。向晩漁舟歸別岸。夕陽多在水邊山。山勢凌空野似烟。東江波色滿樽筵。古人不見餘蹤在。歎息憑欄思百年。</text>
<title>萬松坊。期李賢民 在獻 不至。</title>,<text>有友期不來。空濛山雨夕。高居定何處。數峯靑欲滴。</text>
<title>蔣氏江閣卽景</title>,<text>疎簾半捲夕陽紅。蔣家江閣白雲中。登臨一望山川勢。野闊西南水瀉東。人坐空亭到日斜。當軒開遍紫薇花。橫望水村烟一枺。竹籬茅店半漁家。炎暑澄凉似九秋。鉤簾淸坐散塵愁。遙看衆壑奔滙處。百丈寒潭湛不流。</text>
<title>六月十六日</title>,<text>霪潦初捲海雲輕。日暮淸風到野亭。遙想故園楊柳岸。村朋攜卷坐溪聲。</text>
<title>宿玉山無邊樓</title>,<text>洞門邃夐白雲深。薄暮行穿萬木陰。宵卧聽泉秋一壑。晨興看峀碧千尋。思賢益切迷方恨。著靜須知有道心。最愛一樓臨水處。憑欄終日洗煩襟。</text>
<title>兄山江口</title>,<text>江鄕暮色發蒼璃。西日峯頭隱半窺。晩約漁人紅蓼岸。水平烟遠獨歸遲。</text>
<title>內延山</title>,<text>凌晨入洞門。亂山蒼翠滴。北觀雲住峯。巉巖露奇石。</text>
<title>大悲庵</title>,<text>三臺遙在白雲間。五瀑吼空噴雪寒。眞仙幾日飛吟去。悵望鸞驂暝不還。</text>
<title>宿長津</title>,<text>天光低水水浮天。日夜風濤拍岸前。孤帆略辨微茫裏。兩兩三三何處船。大浪奔騰不暫閒。館人聞慣鼾睡頑。遠客三更挑燭坐。依俙魂夢到三山。</text>
<title>宣城道中。送別金孟實 光壽。</title>,<text>客路逢故人。多謝情眷厚。匹馬度蘇嶺。君行不落後。何處問酒家。屋邊有垂柳。一盃送君去。靑山久回首。</text>
<title>往東臯。與羣童引泉爲小瀑。丙戌</title>,<text>呼兒鑿巖曲。引泉成小瀑。哀響落林間。琮琤瀉寒玉。新秋積雨霽。淸景更盈矚。閒居倦佔畢。時來憇岸木。引手弄飛沫。盡日看不足。巖上斲荒茨。方期置茅屋。一榻聽松風。衆壑凝寒綠。更擬灌諸泉。助與淸心目。</text>
<title>虎溪三松臺感吟 曾王考四益齋公。與權泗川思浩諸公築此臺。具載院中故事。</title>,<text>五峯東畔此高臺。前對淸江玉鏡開。歎息百年人不在。三松遺跡已荒苔。</text>
<title>輓族叔素隱公 炳文</title>,<text>先生六十葆幽貞。至樂濃深外累輕。圭角泯痕常暗晦。絲毛剖細更精明。凝看鼻白多時默。溢出衷丹到處誠。忍淚龍泉西去路。雲容峯色獨崝𡵓。無路重拜寂寞瀕。追惟往昔秪傷神。簞瓢竆巷淡中味。義理陳篇熟處新。誰識胷襟千古秘。爭薰貌氣一團春。百年遺像長留目。泥塑儀容太古眞。頑驕沮色望門閭。冷倚蒼峯素隱廬。學究天人聯萼唱。篇昭圖象大家餘。遯藏塵世竆无憫。謙退平生實若虛。從事此間端緖遠。十年硏案寫湖書。</text>
<title>戲作田夫詞</title>,<text>白露上稻葉。靑靑稻葉鮮。高隴種菽粟。四望鬱芊芊。日暮樵採歸。茅屋生白烟。溼雲捲西嶺。長影忽在前。山日未云暮。驅牛向東阡。决渠灌稻畦。草底行涓涓。南鄰有儕輩。互答歌康年。歌罷各相呼。疲饑且莫旋。甔底有餘麥。可以過苽田。箇箇苽瓣黃。層層苽葉碧。園人困睡卧。屢呼方起摘。苽甘最宜口。苽苦亦可惜。念爾鋤苽時。苽根汗珠滴。先將數顆食。快哉煩暑滌。家翁老無齒。最軟良可喫。揀取貯草網。催返循溪磧。暝色不辨村。驅牛且吹笛。新秋風露淸。數曲聲感激。玆焉亦可樂。莫歎唐虞逖。</text>
<title>溪舍志感</title>,<text>結屋繼先志。淸齋俯荒涯。百年寄遐慕。陪遊復何時。感泣逮明發。灘聲助余悲。冉冉秋霜晩。忽復春華滋。晴牕有書卷。朗讀慰愁思。世事日迴薄。浮雲遊太虛。人生豈長在。百年如轉樞。而我喜淸逸。丈室閒有餘。達士時來訪。世人笑愚迂。曠然遺百慮。遂與塵事疎。前簷有孤松。風吹鳴笙竽。靜聽忘飢渴。日夕聊自娛。澗壑頗窈窕。徘徊或移晡。斯世亦云季。不勞任擎扶。幽感忽纏物。攬之還虛無。聖喆不我待。牀頭有遺書。不知時世遠。持用砭昏愚。玆焉竆歲月。不樂復何如。白雲卷天末。明月照高堂。披衣坐書室。穆然迎微凉。所愛隔千里。迢遞關河長。音容如可接。夙昔耿難忘。感歎獨不寐。長嘯弄淸光。忽聞林中鳥。驚叫恣搖翔。萬物迷幻境。含生競奔忙。明日訪雲臺。欲問煉丹方。夏日困溽暑。水閣獨蕭然。凉軒布淸簟。復此終夕眠。依俙殘夢中。庭樹已悲蟬。萬事若東流。飄忽歲華遷。有志何所成。起坐思纏綿。羡此寒澗水。日夕瀉涓涓。葳蕤澗中草。蕭瑟原上樹。感玆時序遒。悽愴履霜露。林居湛自適。沈默多佳趣。瑤琴有餘韻。千載誰與晤。仰看天宇高。嘹嘎歸鴻度。撫己增遠懷。不暇歎遲暮。</text>
<title>臨臯歸路紀行</title>,<text>午歇孤驂碧嶺前。鄕山歸事已寒天。村庄過處多穿樹。亭閣登時每瞰川。南國淸遊五百里。古人芳躅一千年。吾生晩矣逢衰季。回首乾坤獨悵然。</text>
<title>行到涑水。日暮寒甚口呼。</title>,<text>策馬駸駸度遠山。西風驅雪撲征鞍。空峽雲生紅日沒。野橋冰合碧溪寒。人生有志無時了。浮世多憂底處閒。十年慕道猶冥。擊劒長歌行路難。</text>
<title>丁亥立春。敬次退陶先生韻。</title>,<text>園裏梅花正耐寒。初聞冰壑響琮潺。油卜屠醪謾俗事。晨牕閒頮日新盤。</text>
<title>與川前諸友。泛舟龜潭。</title>,<text>脩塗涉千里。良朋攜數輩。暮來孤店宿。已與奇峯對。淸晨發幽興。水石搜勝槩。買舟泛淸潭。如入玉壺內。拙性厭塵囂。山水久所愛。鑑流徹底淸。雲壁揷天大。偶玆行役裏。境與意俱會。倚櫂看遊魚。搖泳逐荇帶。忽見玄鶴飛。回翔入烟靄。微風起崖口。極目波紋碎。惆悵去我久。夫子邈千載。</text>
<title>登蒼霞亭。用前韻。</title>,<text>古人邈難見。遊興屬吾輩。誰搆此高亭。巧與絶壁對。縈回山與水。玆地領勝槩。京洛千丈塵。不到靑山內。十洲杳竆海。曠蕩非可愛。窈窕此雲壑。孤秀一拳大。湛綠重淵回。𡺚崒衆峯會。危巖松偃蓋。絶巘雲拖帶。不羡驂雲螭。聊且竆烟靄。長吟千歲間。響答巖泉碎。日暮向歸路。還借漁舟載。</text>
<title>復用前韻。寄金泰叟 岱鎭。</title>,<text>我愛金泰叟。逸興超等輩。昨日登鳥嶺。淸詞有佳對。與我不謀同。决意竆勝槩。登舟迭笑語。響答穹巖內。雄絶眼已壯。峭巧情彌愛。疊嶺互隱見。奇狀迭小大。層翠彩雲起。縹緲五老會。百年有芳蹟。中流整冠帶。幽人不可見。石門掩蒼靄。苔磯已蕪沒。樹影寒瑣碎。何當玉雪姿。共此蘭舟載。</text>
<title>宿八公山百興庵。贈別雲岳禪師。</title>,<text>拙尙喜淸邃。淸夢久幽境。日暮到古寺。借宿西庵靜。白雲障幽戶。明月印寒井。淅瀝響松水。時時聞淸磬。老僧年八十。於此習繕性。翛然物外形。寂默根塵凈。一燈照虛龕。誦梵秋夜永。我來自塵中。澄然發深省。在爾已無用。在我挈要領。秋山碧滿目。遂欲卧高頂。但恐絶人事。離別魂耿耿。</text>
<title>登八公山</title>,<text>步出中巖上。連天鳥道斜。人間多俗累。此地有仙家。烟霧南溟闊。河山北望賖。茫茫千里目。萬古一高歌。</text>
<title>雲浮寺</title>,<text>探勝入深谷。巖頭細徑分。輕烟籠密樹。危石倚歸雲。澗急飛流爽。林深唄響聞。重來巖底寺。幽壑日將曛。</text>
<title>夜登慶山鎭玉樓</title>,<text>閒拖淸光客上樓。八公山色滿南州。烟嵐碧合松陰暮。雲月澄涵野水秋。萬古蒼茫心獨遠。百年奔走跡如浮。他鄕忽見淸霜節。無限長天鴈響流。</text>
<title>宗人大英 頀 因事南遷見訪</title>,<text>敏識淸文秀輩行。相逢雖晩喜難量。亭臯樹老雲侵閣。書館燈寒雨撲墻。閒說古今多感慨。兼將詩酒慰凄凉。期兄勉力崇明德。不負家聲百世長。虛室從容數墨行。奇文疑義亦商量。要看博識書抽帙。閒罷高吟睡倚墻。談笑慇懃親誼密。關河迢遞客情凉。秋風擬共遊觀興。雲樹迷茫洛水長。</text>
<title>次漱石亭二九曲韻</title>,<text>陶山九曲造設賢居地效靈。千峯排碧一川淸。百年夢見滄洲老。櫂唱要賡九曲聲。一曲雲巖繫小船。閒開靜室瞰長川。古人芳躅今何處。層岳藏形草沒烟。雲巖寺曲二曲芙蓉化碧峯。東江風月自前容。蘭橈更向淸潭溯。回首淵臺翠幾重。月川曲三曲潭鰲戴客船。淸風嘉遯憶千年。波聲若溯龍門韻。入眼山光更可憐。鰲潭曲四曲江聲帶綠巖。梧桐摵摵澗花𣯶。老仙一去蓬瀛裏。空有華堂俯碧潭。汾川曲五曲山高潭水深。齋堂蕭灑隱寒林。恭惟百聖相傳法。朗月秋深印鏡心。濯纓潭曲六曲林墟帶玉灣。靈蹤無跡但雲關。山奇水麗渾依舊。西望霞臯景色閒。川沙曲七曲漁舟上石灘。桃源花發畫中看。眞訣欲聞高世士。砂壁雲深碧嶂寒。丹砂曲八曲高亭面水開。萬尋堅壁玉灣迴。仙家日月明千古。遊客穿雲摠上來。孤山曲九曲仙山更卓然。高標玉立俯寒川。白雲深處竆幽眺。方信人間有別天。淸凉曲退溪九曲武夷迢遞隔仙靈。東海眞派退水淸。試向瑤琴聞一曲。誰知千載只同聲。初從一曲辦漁船。明月淸風滿碧川。絲欲白時須百練。古津輕浪碧如烟。絲練津曲回看二曲擁城峯。巖壑烟雲別樣容。遙見明霞籠一壑。知遮眞境不多重。養眞庵曲當時三曲屋如船。靑竹亭亭閱幾年。一自幽居吟賞後。嵐光隨處摠堪憐。竹洞曲溪流四曲對層巖。芳草晴雲映翠𣯶。水樂𤨿𤨿聲不盡。交鳴金玉注淸潭。𤨿鳴瀨曲山回五曲更淸深。吾道千年寄藪林。萬古蒼巖顔不變。坐思當日考槃心。古藤巖曲雲深六曲澗成灣。茅屋誰家向水關。笑對狗衣看世態。林間日月始知閒。林富洞曲閒尋七曲溯高灘。烟樹孤村活畫看。不見仙童來叱石。屨筇遺跡碧苔寒。羊坪曲寒巖八曲翠屛開。巨石陂陀一水迴。沂上當年與點意。步隨春景獨吟來。淸吟石曲行竆九曲興悠然。瑤液淸溫合一川。妙境不須尋別界。風光無限箇中天。雙溪曲</text>
<title>西行到鳥嶺。主屹爲朝霧所遮。</title>,<text>崇岳當空勢踔騰。危標欺著霧頑凝。莫恨暫遮眞面目。待他晴日露千層。</text>
<title>華城紀行</title>,<text>禿城松栢曉依微。行殿春深瑞靄輝。晩出長安城北路。落花垂柳漾晴暉。華原佳氣顯園山。蹕路遙通萬柳間。最是遲遲臺下路。臣民攀慕淚沾顔。</text>
<title>彈琴臺。次族姪殷老 衡鎭 韻。</title>,<text>江磧陰雲晝不開。千年遺恨此高臺。如今海內昇平久。巖畔春深燕子回。</text>
<title>奉寄金幼徵 九壽</title>,<text>舊遊忽經歲。相思夢幽長。遙知園裏樹。花發已飄香。</text>
<title>遊南江雜題</title>,<text>玄同山外碧瑤流。春滿羣芳晩釣洲。近得一邱臨水處。遠心還被白雲留。萬仞蒼峯玉溆長。白雲深處是吾鄕。回首人寰晴景少。朔風吹雨正茫茫。南江春水碧悠悠。桂棹蘭槳一葉舟。莫向西風輕解纜。留看晴日放中流。</text>
<title>示舍弟子純 致碻</title>,<text>夜色澄澄逈照襟。寒厓冰雪衆山深。靜中遐思探玄鑰。海內孤情撫素琴。夢覺淸風生屋角。詩成明月到天心。百年難見人如玉。寥落乾坤有古今。</text>
<title>書齋夏日 己丑</title>,<text>蒼松五月蔭東岡。林院翛然逗晩凉。坐倚晴牕書卷靜。紅棠花發映寒塘。</text>
<title>伏次五老臺韻</title>,<text>今古茫茫閱逝波。空餘寂寞舊山阿。平臨鳥背危巖逈。遙擁螺寰亂峀多。勝集至今懷盛事。睟容如復見團和。幸玆百載傳遺緖。聊把陳篇日講磨。</text>
<title>次魯川亭韻</title>,<text>一區雲物娛淸幽。千軸詩書積小樓。歲暮松筠藏絶壑。春晴花柳滿芳洲。居鄰白鹿傳餘敎。吟逼靑蓮賦感秋。最愛山川名以魯。聖人心事此中求。</text>
<title>常變通攷刊時。與族弟仲敎 致敎 宿凈水庵。共賦老檜及巖後泉各二首。庚寅</title>,<text>白雲蕭寺靜。蒼檜亂峯中。翠著烟霞駐。高撐寰宇空。九泉根絡石。千歲榦成銅。坐想栽培意。應緣障壑風。昂然壑底樹。高出衆山中。漠漠依香霧。亭亭倚太空。僧言無歲月。吾愛戰霜風。一榦當支廈。蟠奇更孰容。右檜靈嶽貯淸美。乳泉滿腹中。出時寒瀉雪。停處凈涵空。客暍呑瓊液。僧閒聽壑淙。偏憐三夏熱。巖竇噴凉風。高僧曾卓錫。寒溜自巖中。欲試茶甌味。來尋蕭寺空。照眸渟碧玉。濯水盪靑銅。待曉漱盥罷。颯然雙鬢風。右泉</text>
