<title>偶吟感懷</title>,<text>丹心懸日月。白髮際風塵。欲報君恩重。腰間有劒神。</text>
<title>贈達川金琂 三首</title>,<text>馹騎廻松壤。慇懃故舊尋。相逢傷別久。共酌討情深。才劣時宜棄。蹤孤衆所侵。羡君衙罷後。僊閣對山岑。共是遊關外。如何久未尋。風塵遼海遠。雲樹楚山深。兩地魚書斷。千莖鬢雪侵。仙樓幸此會。醉倒望遙岑。早聞靈境勝。今日幸來尋。天柱朝雲散。陽臺暮雪深。將期道骨幻。寧受俗情侵。樓外山形拱。人傳十二岑。</text>
<title>題永保亭</title>,<text>地勝山河壯。淵深物有神。安眠遙作眼。鐵島近成鄰。畫角催登路。樓船早艤津。中流更勸酌。摠是慰征人。</text>
<title>忠州彈琴臺</title>,<text>客自東湖至。烟汀繫小船。春風古道柳。踈雨暮江天。灘咽臺前月。琴隨鶴上僊。誰憑問往事。寂寞舊山川。</text>
<title>蘂城呼韻</title>,<text>山擁長江轉。城臨大野孤。行雲斷復續。落日出還無。古柏自春色。嬌鶯若夢呼。客來追往事。且嘯且長吁。</text>
<title>登藥山寺</title>,<text>試訪招提境。飄然遠向東。水流蓬海接。山與武陵通。鶴背千秋月。鵬程萬里風。開窓香暗聞。知是野棠紅。</text>
<title>觀音佛</title>,<text>如日在中天。寶光萬億年。慈悲惟是念。導引不須仙。殃禍將懲後。禎祥可驗前。世人趨勸善。財産摠浮烟。</text>
<title>贈山人</title>,<text>僧自關東來。言言說景淸。山容春更麗。水色夜猶明。獨鶴歸栖晩。孤雲渡海輕。却慙蝸角上。白首尙功名。</text>
<title>贈友</title>,<text>世事君知否。囂囂不足傷。名塲偏物色。交道逐炎凉。吹覓人無備。談鋒孰敢當。莫言天地大。難得一身藏。</text>
<title>贈朴觀察</title>,<text>長城推國輔。保障宜邊陲。山割鴈門壁。江環漢水池。智謀廉范火。鎭定謝安棊。請有長纓在。同君係叛夷。</text>
<title>和贈閔上舍</title>,<text>相逢卄載後。面目始依微。夜坐宜挑火。樽空可典衣。題詩君擅妙。處世我知非。早有江湖約。終當返石扉。</text>
<title>贈睡雨</title>,<text>詩名傾一世。人不謂專門。中歲分江渭。今宵共酒樽。書懷重握筆。論舊更留軒。離合皆緣數。憑君慰客魂。</text>
<title>寄諸兒</title>,<text>趨庭聞古訓。勉汝十年功。養志曾能孝。衣斑老尙童。名揚是子職。魁捷乃家風。莫念吾衰病。猶支逆旅中。</text>
<title>次翠厓冬雨韻</title>,<text>冬雨如春雨。天際霧亦仍。村姑愁汲井。行客怯臨氷。節候何相失。時憂更覺增。會看勤爕理。灾轉卽祥徵。</text>
<title>正月雨</title>,<text>春元三夜雨。七十見無多。川咽潦成漲。田膏麥吐芽。山經新沐碧。竹倚古墻斜。梅柳爭何事。東風本不阿。</text>
<title>苦雨</title>,<text>虛閣坐無睡。簷溜達五更。川奔萬馬勢。河覆九天聲。石亂人述路。沙頹野失靑。春乾仍夏水。何日得休禎。</text>
<title>詠雪</title>,<text>一夜乾坤老。千山盡白頭。吳塩堆亂壑。楚練鋪空洲。竹壓栖鴉散。松摧睡鶴愁。騎驪橋上客。無影日中遊。</text>
<title>悶旱</title>,<text>大亂纔經後。何愆曰雨時。春耕各早晩。苗長有參差。隴麥猶知節。田翁不耐飢。擲鋤休樹下。相對攢愁眉。</text>
<title>種菊</title>,<text>世人論植物。更道好花王。誰識三秋暮。方看數朶黃。臨風香滿座。開酌色侵觴。衰落羣芳盡。籬邊獨傲霜。</text>
<title>芍藥</title>,<text>客窓誰作友。惟爾日相親。爛漫雖當夏。芽萌最早春。迎風晩馥遠。浥露曉粧新。物我情何間。缺 吾視俗人。</text>
<title>偶吟 四首</title>,<text>世變物隨變。時移事亦移。吏多新面目。風異舊淳煕。郭外人蹤斷。門前雀網垂。邇來無樂土。還切故國思。自我來東邑。無憑可緩愁。身閒仍懶拙。巷陋絶交遊。命信有窮達。行難决去留。葵忱尙耿耿。歸夢逐西流。地僻誰來訪。山僧獨有期。荷鋤宜學圃。垂釣正逢時。老早緣貧苦。眠閑得日遲。覊懷何所遣。自詠古人詩。世遠羲皇世。人非太古人。論交無漆契。卜宅鮮仁鄰。面背心同異。親踈計富貧。傷心多少事。一一向誰陳。</text>
<title>感懷</title>,<text>江上數間廬。來尋喪亂餘。盤無三月味。床但一篇書。破壁風聲徹。空庭樹影踈。窮愁成白首。誰恤病相如。</text>
<title>客寓</title>,<text>僻寓南川上。穿林一徑開。窓虛透雨露。簟破積塵埃。世亂宜歸數。覊愁可付杯。迹孤無所賴。何處故人來。</text>
<title>有感</title>,<text>帝王之御夷。不伐則和講。月暈久孤城。沙禽啄老蚌。帥臣竟甲投。士卒誰弦控。鶴駕遠遼陽。傷心九渡港。</text>
<title>入椵島。次勅建寺壁上韻。</title>,<text>蘭若在孤島。高僧居上方。窓前兩虎解。床下一龍藏。業自彌陀念。禮成奉請塲。儒門雖異路。同趣水雲鄕。</text>
<title>坡平館</title>,<text>催馹投山館。嚴程漸遠家。愁添薄暮雨。腸斷毁垣花。摠是思親切。元非作客嗟。行行誰逐我。明月共天涯。</text>
<title>松京</title>,<text>落葉風光妒。羈愁鬢易知。朝窓慙照鏡。夜燭強携巵。月送遺墟恨。鍾添故國悲。行人不早發。回首更躕踟。</text>
<title>慶州六宜堂 二首</title>,<text>慳秘千年久。幽居待子開。山形飛鳳舞。水勢卧龍回。石老松宜古。沙明鷺亦來。忘歸更把酒。休道日西頹。羣巒重坼處。一壑抱村開。鄰近詩仙築。庭無俗駕廻。透簾雲影落。侵幔水光來。只有林泉興。何知世道頹。</text>
<title>再入椵島。次杜律八韻。</title>,<text>拜命丹墀日。東風已暮春。誰憐衰病客。今作遠征人。馹騎催西塞。覊魂返北辰。心因憂國赤。鬢爲戀君銀。何恨鵷行阻。惟嗟虎穴鄰。鯨波險渤海。鰲島壯咸秦。不到三圓月。那知再渡津。商飈一夕起。歸思夜來新。</text>
<title>又次杜韻</title>,<text>客裏有何得。三千白髮長。風光猶故國。水土惡殊方。對食惟彈鋏。沉疴任委床。人多隴斷業。誰識壯元郞。談道尋仙老。寬心把酒觴。家書將欲作。萬重寫行行。</text>
<title>渡淸川江</title>,<text>秋霖彌半旬。淸川變濁河。歧路合一勢。浩浩奔驚波。孤舟疾若飛。未暇發棹歌。日晏軍半渡。其險如滹沱。弓㫌催遠征。何處是朝那。龍灣尙杳杳。燕山望嵯峨。連城積枯骨。田原蕪沒多。鄰好信使通。從此戢金戈。</text>
<title>宿定州</title>,<text>玆城古雄州。金侯來節制。魚失白龍神。被射號天帝。鼙鼓動地軸。誰恃金湯勢。全城落虎口。萬命爲呑噬。保障委拙儒。廟謨吾未諦。</text>
<title>過凌漢城</title>,<text>誰謂險可恃。卒怯無勇賈。重修役萬夫。到今皆虛苦。可憐宣城節。荒原骨已土。遺氓說年前。哀哀淚如雨。冤魂化作水。嗚咽達海滸。君看凌漢山。慘色橫千古。</text>
<title>思南陽田舍</title>,<text>新卜在南陽。隣近卧龍臺。竹爲垣籬栽。門臨浦口開。居閒未彌年。承綸鳳城回。專對非所堪。黽勉出關來。故人慰遠征。處處勸離杯。離杯未慰懷。一日腸九廻。倚閭有鶴髮。幾多愁徘徊。王事縱靡盬。絶裾心還摧。白雲長入望。觸物皆成哀。何以供甘旨。家貧無寸財。室人又在病。亦念乳下孩。回頭望東路。漢山橫崔嵬。所經多舊館。蕩然皆燼灰。剃髮作同行。強語非偲偲。區區假外貌。可嗟還可咍。途中已半秋。還期安在哉。遼陽尙杳杳。羈愁不自裁。丹墀復命後。庶云効涓埃。定辭紫陌塵。將身歸海隈。烏情始可遂。萱闈得長陪。進退亦君恩。所樂無他灾。</text>
<title>梧木院</title>,<text>亭長拜津頭。謂已理輕楫。偶無石尤風。舟人爭掛席。其疾若飛電。千里在頃刻。吾兒候沙汀。相逢共喜極。主人李令公。邇來久阻隔。寒暄問纔畢。慰我遠行役。從容一塲叙。殷勤露心曲。中飯顧王程。薄暮投梧木。明府舊相知。滿盤羅珍錯。朝來又催旆。二兒臨歧惜。松岳行漸近。更覺離懷惡。悲歡凡幾何。百年如過隙。不如得美酒。世事醉不識。</text>
<title>宿鳳山</title>,<text>晩憇劒水館。暮投吏隱堂。主人舊比鄰。心期托峨洋。而來阻幾年。相思如十霜。入室共啓齒。握手披心腸。仍說亂離事。相看共悲傷。主人謂我言。不必辭酒觴。離懷何以慰。鄕思何由忘。呼童更挑燈。旅窓夜不長。慇懃強挽行。一日復連床。回瞻薊北路。山川何渺茫。王程不可淹。遼陽歸思忙。臨分莫更惜。聚散本無常。當竢竣事還。共醉黃花香。</text>
<title>安興館。次杜律二十韻。</title>,<text>我性非作者。忠憤本自然。床頭萬軸書。袖裏一龍泉。富貴不能動。窮居知所便。淸班是機穽。奸兇釀禍延。南荒瘴厲地。禦魅何多年。天恩許蕩滌。葵忱老彌堅。否極泰循來。冠帶還秦川。西關忽把麾。却喚大同船。于時有邊警。何能安枕眠。賊臣據鐵甕。提兵謀逆天。安興遂空城。城中無望全。徘徊者誰子。執殳無敢先。顧惟魯鈍質。盡瘁期生前。質鬼亦無愧。魏闕心長懸。殊寵實踰分。感珮思身捐。今來十年後。人事誠堪憐。父老多識面。歎我霜滿顚。城南第一家。忍看蔓草纏。獨上百祥樓。猶餘舊風烟。憑欄一長嘯。默想心如燃。</text>
<title>肅寧館。次杜律十韻。</title>,<text>朱明受節晏。四月二月寒。馹行不暫駐。一日愁萬端。肅寧是舊莅。經亂尤凋殘。父老爭來集。慇懃問平安。平安不須問。世路如登竿。霜鬢亦何怪。白日忙奔湍。生涯尙未著。何處可考槃。賴君春酒美。覊懷方自寬。珍羞滿盤堆。煩君莫可餐。人事孰非數。幸此三日歡。</text>
<title>新安邑里</title>,<text>憶昔全盛時。千家連碧瓦。被山鋪平陸。魚鱗雜上下。高城抱地勢。城外長川瀉。龍灣一失險。關河腥血灑。萬落皆無主。一宿亦難假。垣頹積白骨。荒墟任牧馬。觸物摠成悲。哀淚空盈把。寒衾一半空。誰道風流者。</text>
<title>新安館</title>,<text>山形北而南。野勢杵當臼。逶迤互相抱。龍虎控谷口。壯搆起空中。重門復疊牖。畫欄繞雲日。飛甍出牛斗。虜騎入雲中。戍卒驚呼走。衣冠盡汚塵。萬姓竄林藪。垣頹不足說。棟宇皆將朽。一城盡荊棘。繁華不復有。重脩是何人。可笑誇功守。雖無禦敵策。執殳我不後。周星是天道。物極胡此久。斜陽獨佇立。噫噓堪白首。</text>
<title>鐵山舘</title>,<text>早發劒山城。驅馬出空谷。雲巖問遠近。及到日應夕。長浦去無極。郵卒走不得。山下八九家。指言是舊邑。官人駿奔迎。雙童兼畫角。橫坡有草堂。云是安使客。公廨盡灰燼。無主梨花白。論舊忽餘悲。相逢卽新識。淹留仍數日。津頭待過涉。不緣事靡盬。衰年何役役。悍吏休白眼。可不畏鞭扑。平朝指島路。主客皆快樂。</text>
<title>留都督府。詠懷五十九韻。</title>,<text>胡元穢中夏。文物變夷俗。皇天命眞主。大明統六合。梯航爭奉表。闕下趨匍匐。聖神世承承。逮于我萬曆。威靈益遠振。四夷咸慴伏。黑齒莫敢肆。捲兵歸日域。東藩賴再造。同仁感聖澤。太平五十年。邊城閒夜柝。如何建州虜。乃敢肆凶逆。豺牙密礪久。狺然吹虺毒。長驅十萬兵。巨鎭連波坼。豈是籌不良。否運會泰極。當時耕鑿地。戰骨如山積。雄斷自天啓。大畧駕古昔。拊髀赫斯怒。出將三十六。寧遠扼北吭。椵島成東腋。赳赳毛將軍。妙思傳黃石。開營鰈海中。形勢無敢敵。遼民萬千命。得保將軍德。軍容賴而壯。義聲振漠北。堂堂復井井。陣法何整肅。千家與萬井。被山彌溪谷。珍寶委市肆。登糧常接舳。藩邦亦供需。萬姓爭竭力。大樹更何人。策馬復難覿。奬典幾東下。便宜又賜勅。二聖忽遺弓。東民喪考哭。欽惟今我皇。英武繼前辟。宜雪西喪耻。更講平戎策。幄中籌無遺。強虜在吾目。督府喪其元。島中咸歎惜。劉俘竟釀禍。密謀相戕賊。凶徒亦膏斧。天道信不忒。安知隴斷上。有此百夫特。何關混魚魯。不必謾自惑。九重再降褒。威名更赫赫。踈慵乏誦詩。初非專對責。叨拜汝往命。頹顔任行役。所經多舊舘。年來殊物色。孤舟艤井津。乘潮高掛席。泊岸正衣冠。廵海何獰惡。過盡列肆前。觀者爭來集。衙門自此大。見官稽屢夕。四日始呈帖。禮數困衰骨。繼而設宴床。滿前堆珍錯。從容說話間。俳優頗浪謔。慇懃強勸酒。向晩許停酌。府下廝隷賤。亦來恣徵索。行裝淡如僧。將何應谿壑。呶呶日盈庭。拱手徒眉蹙。此時有誰者。爲公能救急。人心與世降。咄咄終何益。盤中饌日减。只自歎長鋏。偸閑一登樓。要得散愁寂。詔行邈無奇。望望空佇立。一自出都門。家信尙阻隔。茫茫雲海外。誰識孤臣愊。胸中戀君丹。鬢上憂時白。蓏期時屈指。歲季猶渺漠。天寵旣踰分。時也宜知足。早有鷗鳥約。林泉當卜築。</text>
<title>納淸亭較射未果</title>,<text>小亭洞虛朗。四山瞰窓紫。行倚老松扶。跬步澄芳沚。兒童指近麓。道是射夫壘。余所愛張弓。徵兵今奉使。亟呼决拾者。正鵠久亡矣。噓嗟震鄰國。武備云胡弛。豈將示不能。爰玆托櫜矢。</text>
<title>責人</title>,<text>仁門接寺洞。寺洞亦仁門。爾今繼前轍。一麾妄自尊。惟恃炙手熱。掛頤九天閽。不嫌薏苡謗。莫憚霜臺論。包苴得善策。任他生民冤。鼠腸實叵測。薄情非所言。天道信不冥。可驗爾後昆。山東有長者。掩口笑酸昏。</text>
<title>贈朴觀察幼子 二首。幷引。</title>,<text>東國人物之盛。聞於海內。朴觀察忠恭淸惠。爲國名臣。而道骨飄然。有靑蓮風致。一見傾倒。若生平出。其子鳳毛夙慧。四歲能二尺大書。遒勁可觀。不覺愛翫。因自忘拙陋。漫吟以贈。英物生成氣食牛。銀鉤斗大蛇龍遒。寧馨若對明堂問。不讓談棊李鄴侯。七歲屬文古所奇。四齡今更擅臨池。德星獨聚江山秀。吾道東來識在玆。</text>
<title>箕子墓 二首</title>,<text>敷陳洪範闡斯文。遠作東偏海外君。黍稷殷墟何處是。只今人過拜箕墳。三仁翊運未云終。留得人文化海東。聲敎五常存聖澤。車書萬載共華風。</text>
<title>舟中聽琶琵</title>,<text>不敎簫鼓閙樓船。一曲琵琶撥玉絃。衫濕江州司馬淚。憂懷幾欲問倉天。</text>
<title>葱秀嶺 二首</title>,<text>烟樹懸崖逈絶塵。溪流雲掩武陵津。輞川巧思詩能畫。摹寫天工亦苦辛。蔥翠當窓列錦屛。澹濃誰與繪丹靑。認爲圖畫還多韻。鳥語泉聲近可聽。</text>
<title>遊八仙臺滯雨</title>,<text>八仙去後五僊遊。臺下淸川今古流。山靈亦會春風興。留各要令雨不收。</text>
<title>平壤風月樓蓮堂</title>,<text>君子堂前君子花。波中綠葉間紅葩。淸風正値高秋月。香滿箕城數萬家。</text>
<title>莅慈山。贈肅川府民。</title>,<text>慈州館裏眼初開。挑盡靑燈意未裁。別袖悤悤留不得。問民西去幾時廻。</text>
<title>次翠厓獵歸</title>,<text>走狗如飛上下山。蒼鷹掣翮雪花斑。獵火連江明十里。鞘橫馬後劒腰間。</text>
<title>有懷口占</title>,<text>人間毁譽聽何偏。一口成訛十口傳。若使據情論實跡。未應今世混愚賢。</text>
<title>警詩口占</title>,<text>外物來侵輒自寬。咈情須作愜心看。初似煩惱終快活。向來方寸自閒安。</text>
<title>到蜜城偶吟</title>,<text>淸川江上三淸閣。却倚朱欄十二危。七佛老僧如舊識。長洲孤鳥似前期。</text>
<title>偶吟</title>,<text>溪柳風驚落絮狂。探春便覺百憂忘。方知令節挑淸興。更欲將身醉裏藏。</text>
<title>次永保亭韻</title>,<text>兩岸桃花夾小溪。雲藏亂岫月埋西。獨有山窓沉睡客。仙禽何事數聲啼。</text>
<title>次林年兄壁上韻 四首</title>,<text>世醉何嫌子獨醒。郵官勇退出塵情。江山自是生豪傑。長卧松窓夢赤城。牢睡華仙不自醒。是知人世本無情。一生林下烟霞趣。應笑塵冠入市城。酒爲忘憂不願醒。殊方行樂豈牽情。頭邊忽覺添新雪。夜夜覊魂返洛城。知足年來俗慮醒。從玆世路不縈情。如何晩景承專對。自笑從戎白馬城。</text>
<title>述懷 四首</title>,<text>長浦潮平兩岸連。草堂孤客坐凄然。草堂景物增傷抱。寒雨如何更暮天。茅簷獨坐思何事。世亂將身無處歸。聞道桃源東海地。落花流水夢依依。江柳山花共媚春。賞來偏使客愁新。無心物色依前歲。人事如何異昔辰。原田雨足抽靑麥。江岸風多舞綠楊。莫道詩翁方得意。願將春酒慰愁腸。</text>
<title>次達川韻 三首</title>,<text>鴛衾宵半夢初驚。細語慇勤挽我行。不有三生緣早結。陽臺雲雨豈牽情。雪擁關河去路難。郵人催發日將殘。殷懃強把留行酒。別後相思萬重山。萬事人間底處難。情朋相對別離難。莫言寒日低西嶺。到手心杯不飮難。</text>
<title>觀漲</title>,<text>大風駕海捲天來。平陸成江絶四隈。田家憂樂殊前後。初道甘霖更道灾。</text>
<title>王京卽事</title>,<text>海東化國古朝鮮。百世箕封德澤緜。冠冕人人存禮俗。詩書戶戶聽歌絃。漢家文獻河間派。晉代風流江左傳。允武更今思魯頌。獲夷好共勒燕然。</text>
<title>有懷口占</title>,<text>堪嗟世故終難料。方驗人心各不同。一念兢兢如履薄。三春咄咄但書空。相他林鳥猶求友。聞彼池蛙似爲公。拍手仰天時大笑。還傷阮籍哭途窮。</text>
<title>感懷</title>,<text>嗟吾身世至於斯。萬事如今不耐悲。白髮蕭森無怪矣。靑雲豪放復何之。風塵疆域丁衰季。烟月康衢憶盛時。聖主恩深臣未死。孤忠終守向陽葵。</text>
<title>呼韻</title>,<text>山村日永閑無事。高枕明窓穩晝眠。喚客流鶯啼巷柳。送凉微雨滿江天。鄕心感物尤難慰。塗說多訛不願傳。自分衰年無處用。餘生只欲卧林泉。</text>
<title>次韓平韻題永保亭 三首</title>,<text>凌虛形勝有誰評。竹影松陰共送淸。簾近天心風易捲。窓涵鏡面月偏明。憑欄便覺多仙分。把酒休言慰客情。今古詩篇吟已遍。更將荒句次韓平。崢嶸粉堞戴高樓。今古仙人作勝遊。山勢北來圍大野。地形西坼引長流。潮生孤嶼侵沙岸。客倚危欄聘醉眸。更喜將軍擔國事。他時應飮月氏頭。輿地名區領畧多。山形水勢此無加。雙鬟小島分洲峙。十里延岡障海遐。畫棟飛空攀斗極。紋窓壓渚媚春霞。登臨終日灰塵念。誰識人間有九華。</text>
<title>次鷄林懷古韻</title>,<text>古國千年一鳥過。金城王氣但山河。鷄林有意今猶碧。蚊水無心只自波。鵠嶺松靑誰早見。殷墟麥秀更悲歌。石屛頹落將軍墓。徒想英靈可奈何。</text>
<title>次浮碧樓韻</title>,<text>登臨此日幸相同。共是關河萬里蹤。縹緲朱欄形壓水。逶迤粉堞勢蟠龍。侵篇素影川原雪。入戶靑光遠近峯。何處寒鍾來客耳。千年古寺倚孤墉。</text>
<title>書懷 三首○此下八首。戊辰使行。</title>,<text>將身甘寓海隅跧。何意承綸出玉關。萬里歸心雲岫外。百年豪氣酒杯間。吳山立馬常懷憤。瀚海無波庶格頑。會待丹墀還命後。白頭南隴得便閑。宸心恢示樂天仁。交臂新盟許北鄰。虞帝舞干緣化蠢。漢文馳价爲便民。瘡夷甫起猶如鬼。舘廨皆頹但掃塵。自此邊庭刁斗絶。九重應展彩眉嚬。王人必待誦詩能。專對元非小器稱。仲淹書成明逆順。賈生䟽奏諫金繒。辱深氈幕心徒碎。辭傲天驕憤不勝。縱愧終軍覊致計。庶令灣上絶憑陵。</text>
<title>過金郊驛</title>,<text>平原十里草連天。官道成林異昔年。山館荒凉頹石砌。郵村冷落斷人烟。行厨已絶飢將耐。候卒終無令不傳。更將一行催倦馬。晩風殘日共凄然。</text>
<title>平山 時副使在後。有留待之命。故末句及之。</title>,<text>㫌旆平明發故都。晩投空館促官厨。粉墻頹處新泥重。庭草長來舊路無。地是經兵誰忍淚。酒能寬抱客堪酤。主人莫厭停征駕。留待綸音降老夫。</text>
<title>葱秀</title>,<text>暫駐征驂碧澗瀕。水光山影共侵茵。崖陰松古留春色。石落矼欹逗路人。空館丹靑渾作土。民家三兩不成鄰。亂來何處非傷抱。暮雨寒烟恨更新。</text>
<title>龍泉館</title>,<text>邑里蕭條控一溪。空汀草沒小橋迷。公門烏集知人散。官樹烟濃覺日低。府吏同嗟離舊倅。村娥相賀結新樓。簷前飛燕如迎客。時近身邊故落花。</text>
<title>太虛樓</title>,<text>遠客來憑十二欄。城南咫尺聽風湍。長廊經雨無全土。殘日穿雲掛半竿。鬢上新添憂國雪。胸中獨抱戀君丹。忘身已許驅馳役。莫說燕山道路難。</text>
<title>弘濟院。次杜律韻。此下四十首。甲戌使行。</title>,<text>一別都門意更長。驛村官樹晩蒼蒼。葵忱耿耿懸螭陛。祖席寥寥奏鳳章。儐使何憚千里道。征衫猶惹九重香。將身已許驅馳役。白首惟知報聖王。</text>
<title>碧蹄館。又次杜韻。</title>,<text>東風旅館夜來雨。十分春光已着桃。路熱成酣眠未覺。山窓驚起日方高。將離阿姪重携手。欲作家書更握毫。長路驅馳經半世。頭邊何怪有霜毛。</text>
<title>坡平館</title>,<text>三月東風尙峭寒。西歸倦客睡回欄。何多州吏年前面。咸歎衰顔馬上官。曉雨催花紅欲綻。朝暾曝葉露初乾。情人珮酒來相勸。更把征衫作別難。</text>
<title>梧木院。次杜律退朝韻。</title>,<text>舟人早艤臨津口。水伯迎船風拂旗。樗葉空慙沾雨露。襪線又乏補毫絲。驅馳自任何辭苦。道路爲家問幾時。邑吏來迎皆白眼。官厨淡泊又遲遲。</text>
<title>松都 二首</title>,<text>橋號槖駞細柳垂。古都何處見官儀。山河不與時多變。人事空隨世屢移。師振鴨江眞有命。松摧鵠嶺始誰知。麗家赫業今安在。草蔓沙塡舊液池。自古王都似奕棊。年來五百事堪悲。繁華功業誰長在。文物衣冠只一時。城上寒鍾驚睡早。臺前明月策驢遲。行人莫唱殷禾黍。一曲聞來無限思。</text>
