<title>詠月 壬子</title>,<text>月出扶桑東。淸光四海同。長風吹不盡。頃刻到天中。</text>
<title>江上錄</title>,<text>仲夏慘慽之餘。仍得疾幾死。出寓江郊。經閱夏秋。閉門養痾。愁緖如麻。强開心懷。隨物吟哢。以爲消遣之資矣。入城後始披亂藁。得若干首。雖勉作閑漫之語。而槩不無楚騷悲怨之意。他日重覽。必將有感於斯。故得失工拙。不復刪正云。江閣奔浪拍宵枕。宿雲連曉扃。凭欄誦詩響。定有魚龍聽。江柳層岸壓江高。垂楊登岸長。玄蟬其上號。時學江波響。江船風急浪頭高。羣船寂上下。漁翁慣弄波。一葉如奔馬。江村村巷浸洪浪。生涯信小船。晩來收釣網。門掩蓼花天。江雨漠漠遙山暗。翛翛急雨喧。縠紋生水面。銀浪失前村。江漲濁浪添新黑。遙林沒晩靑。奔雷殷未已。留作夢中聽。江晴水落前汀濶。天淸遠峀生。波光盪斜日。贏得半牎明。江月澄明一上下。虗白互浮沉。莫是潛龍舞。閃鱗萬片金。江霧銀海茫無畔。江流何處尋。忽聞柔櫓響。知在蘆花深。江水平鎔月一片。直泛天萬里。日夕西流意。不到海不止。江居雜詠水氣昏如霧。虫聲冷逼秋。汀楊時自動。知是繫漁舟。其二天黑雲容怒。江空雨勢豪。秋禾渾打盡。村野訴嗷嗷。其三人說夕虹霽。今看頗不然。金霞纔暎地。銀竹忽橫天。其四天影落寒水。舟行明月上。幽人惜淸景。坐到隣鷄唱。其五野濶雲侵樹。江淸客在樓。閑牎上斜日。獨立數歸舟。其六樹影晴搖檻。江光綠滿庭。村人打魚返。一棹犯踈星。江居雜詠六曲危欄接水平。蕭蕭寒雨枕邊鳴。睡中忘却空江濶。認作芭蕉葉上聲。其二南北派分未混平。江流長與岸沙爭。波神似會騷人意。剗沒中間栗島橫。其三雨餘晴漲沒村墟。近日浦氓絶釣漁。坐對盤蔬成一笑。居臨江水食無魚。其四滄浪亭上夕照殘。風蹙羣檣集淺灘。斜掩篷牎人不見。一鴉飛上暮帆端。其五江月空明不受籠。謫仙當日浪翻躬。等閑汲婦偏神術。裝在甁中箇箇同。其六蘋洲初日凈暉暉。隔岸村家水打扉。偶立欄頭詩景好。柳陰人蕩一船歸。其七夕帆和鴈正浮浮。杜若香殘檻外洲。兩岸蘆花三浦月。隔江漁笛不勝秋。其八踈林不隱暮江淸。摵摵秋聲葉自鳴。遙認前村成夜食。數星燈火透波明。觀漲勢橫騰萬馬。聲急闘千霆。只許天爲大。渾無地與爭。島沉猶似礪。林沒直疑萍。坐看風帆快。空深破浪情。偶成帆影依山轉。林光倒水深。高樓萬里眼。孤客五更心。天地身如泛。江湖病更侵。寒衾不成夢。月白聽踈砧。其二水冷蒹葮曉。庭空蟋蟀秋。漁燈頻遠渚。凉月自高樓。健意慚黃犢。飄蹤伴白鷗。轉嗟吾道厄。眞欲付滄洲。寓居病子誰人記。江樓着處淹。天功看物變。秋意與愁添。野氣纔沉樹。山光不礙簾。機心凈已盡。鷗鷺莫相嫌。晩眺危樓供晩眺。遠色一茫蒼。日落波還白。秋深野漸黃。虫聲如有訴。鷗夢不勝凉。倚杖孤雲去。幽情共爾長。卽事悄悄無來客。茫茫對晩洲。乾坤容拙物。歲月費江樓。谷暗雲呑日。林鳴雨挾秋。黃昏更寥落。漁唱咽寒流。自遣景物無常主。湖山得此亭。烟艇依樹影。晴浣亂江聲。日暖魚鱗動。天空鴈背平。欄頭閑獨立。萬事若雲輕。有感浴浪鷗相學。喧庭鳥自來。峀雲無定態。江笛有餘哀。問道靈芝晏。論材散樗偕。登樓多少感。聊與月徘徊。自笑相親有藥物。久客信乾坤。實學荒田地。閑吟費月雲。謀身猶未未。濟世敢云云。囊劒不藏氣。淸宵射斗文。其二老鴈聲聲曉。踈燈點點秋。一身無長物。萬事入危樓。合受腐儒目。難爲敗局謀。黃昏天送月。似欲慰孤愁。漫吟水勢三叉濶。村烟一字橫。江山元勝地。憂樂自人情。夜久林移月。波寒網帶星。長吟岳樓記。曠感托千齡。江居無題處處樓㙜着旅蹤。飄蓬行色任西東。悲歡萬事江流外。寥落三山夕照中。身病無心看節物。道窮何處見英䧺。一聲漁笛千般感。始信檀溪羡牧童。其二病後形容瘦鶴如。起臨江閣欲凌虗。採菱洲濶禽魚樂。垂柳村深燈火踈。詩得斷雲橫嶺外。夢淸孤月入簾初。閑中偏有傷心處。塵暗床頭舊讀書。其三萬事渾驚逝水同。一身漂泛學鳧翁。詩中不着憂愁字。病裡要爲寬大工。風急波濤渾撼地。夜寒樓閣欲浮空。蘆洲日月偏欺客。纔聽林蟬又聽鴻。其四江上秋光染畫堂。一簾踈雨送新凉。侵雲暝岳如人屹。盡日寒流爲底忙。俗子不來孫嶼晩。高鴻欲沒遠烟蒼。半年贏作西湖客。慣聽滄浪歌短長。其五仰接浮雲俯大河。岳樓滕閣較誰多。牎明鳧鴈夢中月。檻拍魚龍背上波。天近燈光添列宿。夜深簾影亂平沙。終然形勝非吾有。不及東籬對菊花。其六昨夜秋風動客袍。卧聞天外一鴻號。蒹葭岸盡流初合。楊柳林踈月自高。事業違心惟有笑。江山助筆不禁豪。深波莫遣潛蛟舞。或恐腰間劒躍鞘。其七光陰忽忽莫推尋。料理圖書左右森。且置一應身外事。細究千聖卷中心。風烟歲暮牽覉恨。星月樓高照客襟。欲抱孤琹奏流水。滿江魚鳥少知音。其八逈出雲霞小閣危。數村如畫夕暉遅。滄江水落龍藏用。梧竹秋空鳳待誰。微雨讀書鳴櫓外。靑山得句捲簾時。蘋花欲盡柳枝老。獨立欄干無限思。其九江樓不覺歲崢嶸。霜落蘆洲客夢驚。村犢微黃林際牧。野菁新綠雨餘耕。身如漢水何時返。憂積南山未易平。剝栗前庭藏碩果。會看他日一陽生。其十八月秋容樹樹同。樓臺隱約暮烟中。踏泥赤脚前村女。買酒白頭那處翁。欲落還停催渡雨。不期自至送帆風。滄浪漁子亦何恨。嫋嫋菱歌愁遠空。</text>
<title>往沙川。省亡弟墓。歸卧故齋。悲感有作。</title>,<text>骨肉多新墓。乾坤獨此生。故山攖百感。孤燭泣三更。峽急風逾力。林空雪自聲。哀腸斷已盡。無淚濕巾纓。</text>
<title>閔進士 百兼 挽 丁卯</title>,<text>與才何富壽何廉。天意茫茫莫可占。恬謹自持繩墨合。身心無累玉氷兼。元賓縱死猶非夭。長吉眞仙豈久凡。病隔春江違相紼。遙將哀淚綠波添。其二芳年髦譽冠文垣。二百靑衿子壯元。才學需時方指日。英華如夢忽無痕。名門令裔今誰數。斯世端人遂不聞。眼看黃泉埋白璧。高堂情事若爲言。</text>
<title>暮春。與姜叔，美叔往拜道峯書院。歸路拈杜律韻同賦。</title>,<text>深深院宇白雲隈。歷盡幽溪更陟臺。壁立高風瞻岳屹。春溫和氣見花開。微忱幾作升堂夢。仙壑今非翫物來。俯仰庭除無限感。不知林外暮禽催。</text>
<title>除夕</title>,<text>寂寂深村歲律窮。數峯殘雪擁茅宮。十年哀樂孤燈外。二氣消長一夜中。村鼓纔停仍曙色。嶺梅初動已春風。陶樽濁酒還多力。解破愁顔發小紅。</text>
<title>早春道中 戊辰</title>,<text>雨過溪橋一半危。隔江雲樹影參差。林根點雪春猶淺。柳外晴絲晝正遅。山巿鴉喧人去後。野程驂倦客眠時。郊原物色催耕作。布糓聲聲也自知。</text>
<title>春晝</title>,<text>戶外無塵客。書中有古人。春陰花意態。晨雨麥精神。物理閑方見。天心靜更眞。居然濠濮想。魚鳥便相親。</text>
<title>夏景</title>,<text>芳園日上花先影。深院風微柳獨知。露重櫻桃時自墮。山禽含上牧丹枝。</text>
<title>奉贈外舅直菴先生赴金城任所 辛未</title>,<text>百里春光暎福星。花江新雨麥靑靑。仙岑遠影侵公牘。官柳淸陰帶六經。可乏神方蘇壑困。定將心法驗鍾聽。遙知琴閤秋來夢。半繞東岡半海瀛。</text>
<title>靖陵齋所直中</title>,<text>睡起推牎面面峯。上陵寒日欲高舂。騷人官况淸如水。一樹梅花萬樹松。</text>
<title>梅花</title>,<text>松韻茶香自作隣。月中踈影更精神。朝來數朶呈新笑。却報人間第一春。其二天女元從白玉臺。人間猶作百花魁。幽香苦節誰相賞。晴雪寒牎有月來。其三欲作梅詩詩未奇。苦無淸思與梅宜。翛然相對黃昏月。詩在無言靜坐時。</text>
<title>睡起偶吟 壬申</title>,<text>雲捲平林霽景和。晩來山色一樓多。池塘月上森千峀。簾幙春深擁萬花。夢裡壯心聊破浪。酒餘奇氣欲凌霞。前江知有東歸舶。風外聲聲聽棹歌。</text>
<title>竹西夜集。與金穉五 相定，申有道 大傳 拈杜韻同賦。甲戌</title>,<text>談笑仍佳會。琴書自道情。高樓方夜色。新句欲天成。雪壓茶烟重。寒侵酒暈輕。庭梅春意動。踈影伴人淸。</text>
<title>過達川懷古 丙子</title>,<text>一死男兒義。三京賊勢橫。關防空地險。籌策奈天亡。宇宙長餘恨。山河又夕陽。荒㙜留正氣。終古薄蒼蒼。</text>
<title>鳥嶺</title>,<text>立立峯相倚。登登路不窮。巖高不戀地。樹老欲凌空。設險觀天意。雕奇費化工。憑高發長嘯。壯氣自成虹。</text>
<title>達川訪林將軍 慶業 祠</title>,<text>寂寞將軍廟。蒼茫夕照中。今年又丙子。往事泣英䧺。尙帶皇明日。虗飄大樹風。登臨無限感。天濶暮江空。又萬里歸來尺劒存。關公忠烈岳王寃。當年志氣東韓窄。終古聲名北斗尊。遺廟向江楓葉落。鐵衣留壁雪花翻。英魂應識寧陵路。長逐東流夜夜奔。</text>
<title>阻風留達川店</title>,<text>元帥臺前江水綠。將軍廟外夕陽移。烈風終日逗征客。應是英靈索我詩。</text>
<title>有人傳北耗。蒙古作梗。虜中且亂云。有感于心。吟成數絶。丁丑</title>,<text>中原消息問如何。遼薊秋塵欲滿戈。大陸窮陰今已盡。陽春一脉屬誰家。其二願見眞人掃北胡。金陵重設帝王都。星軺萬里朝天路。看盡幽燕與杭蘇。其三幾日腥氛凈九州。山牎十載讀春秋。中華匡復今休說。半壁東南亦百憂。</text>
<title>滯南三載。歸思日催。夢遊一處。山水明麗。頗可人意。得一句云檣鳴秋水急。山入暮雲多。豈將賦歸之兆耶。因足首尾。以成一律。</title>,<text>嶺外凉飈動。天涯客夢賖。檣鳴秋水急。山入暮雲多。物色催鄕思。行裝問菊花。孤吟因不寐。明月半牎斜。</text>
<title>與竹林 省峴 丞李聖唯 一曾。約爲東海之行久而未就。竹林丞投詩要和。</title>,<text>公齋寥落似村家。山郭踈烟數點鴉。梅蘂伴人春欲動。竹林懷友日初斜。殊方客思風搖旆。小閤詩情雪煎茶。萊海淸遊終一辦。蹔時違約不須嗟。</text>
<title>歸路次金君君哲 景游 韻</title>,<text>幾日歸程夢裡求。一鞭渾失異鄕愁。江村曙色踈燈外。雪岸春容老樹頭。末路行裝無上策。百年心事付虗舟。故山茅屋應依舊。月笠烟簑早欲謀。</text>
<title>歸家後復次 戊寅</title>,<text>踈林宿鳥暝相求。牎外靑山欲慰愁。人靜梅香生枕上。月斜松影在簾頭。京華消息如風馬。湖海襟期有雪舟。淸夜詩朋遠來訪。桃花發後賞春謀。</text>
<title>暗行果川道中</title>,<text>橫秋意氣隱征袍。冠岳晴雲馬首高。數點踈燈明遠店。不知何處有淸醪。時以酒禁事廉探故云。</text>
<title>途中記見</title>,<text>村家兒女茜紅裙。步出踈籬笑語喧。陌上秋光猶未老。木綿花發白紛紛。其二安陽橋下小溪斜。極目蒹葭雪作花。騎犢村童向何許。暮烟生處兩三家。</text>
<title>淸心樓 己卯</title>,<text>烟雨空濛隔釣舟。滿江春色一樓浮。魚龍積水乘新氣。星月危欄欲倒流。古寺遙含孤棹影。暮雲長鎖九疑愁。緣堤垂柳眠沙鷺。留作他年夢裡遊。</text>
<title>次族弟定夫 鍾秀 贈別韻</title>,<text>山杏開時雨未休。春風三月過東州。相思何處堪惆悵。淸澗亭邊洛寺頭。其二悠悠征旆幾時休。驛路遙連古貊州。中夜君親俱北望。一輪明月小樓頭。</text>
<title>沈學士德器 履之 有書相問。寄一律以謝。</title>,<text>靑門烟柳別愁生。雉嶽春雲帶古城。小燭空齋孤客意。一封千里故人情。回瞻玉署如天逈。惟喜瑤岑入夢淸。旅枕起來還繞壁。梅㙜風雨寢猶驚。時聞洛耗。有諸㙜竄逐之命。故落句云。</text>
<title>滯原州</title>,<text>古峽風光異洛橋。子䂓聲裡雨連宵。簿書案閴詩酬日。鴈庭空鳥代朝。芳草不禁春欲暮。桃花似慰客無聊。茶烟乍歇琹娥睡。簾角斜陽上柳梢。其二東風關外故人稀。別院深深晝掩幃。京國始知爭日遠。客心空自伴春歸。睡餘山鳥窺簾語。詩罷庭花繞筆飛。遙憶故園今夜雨。蕨芽新長藥苗肥。</text>
<title>寄安峽宰金存吾 履獻</title>,<text>學士春來厭鳳池。仙鄕太守亦恩私。琴齋曉夢知多少。應逐東風繞玉墀。其二樓㙜隱約白雲邊。松桂林中火食仙。吏退公庭春晝靜。木蓮花下對書眠。</text>
<title>橫城道中</title>,<text>開合頻經峽。紆回屢渡溪。淸笳穿樹逈。飛旆隔花迷。夷險有王事。行藏信馬蹄。山村看似畫。雲外聽踈鷄。</text>
<title>早發</title>,<text>草際晨霞散。花梢落月低。迢迢前路逈。漠漠故山迷。危峽偏多石。春田半是泥。郵人暗相語。明日過橫溪。</text>
<title>大關嶺</title>,<text>拔地層巖立。摩空疊嶂䧺。棧懸頻鳥外。輿過忽雲中。宇宙聊長嘯。關山揔下風。蓬壺看咫尺。搔首喚仙翁。其二百折半腸險。層雲帝座通。罥衣從澗樹。滿袖得天風。積雪埋春白。重溟浴日紅。長安何處是。極目羡歸鴻。</text>
<title>行到江陵。夢見鄭令大受 存謙。呤成一律以寄。</title>,<text>關嶺迢迢客路脩。歸心渾逐水悠悠。夢中親友猶淸晤。覺後風烟又別愁。明月有情通遠思。綠楊無力繫征輈。何時細雨孤燈夜。共話蓬萊第一遊。</text>
<title>鏡浦臺</title>,<text>鏡水淸如明鏡懸。㙜前環作一奩圓。瓊沙細控初弦月。銀海遙粧淡抹烟。身逐輕舠疑出世。心隨孤鶴欲浮天。三山玉笛應來往。倘識人間有謫仙。</text>
<title>途中觀海</title>,<text>礧空吸盡百川流。萬古長涵碧落浮。九土微茫同泛梗。羣生起滅等泡漚。魚龍氣積渾驚矚。宇宙身孤莽欲愁。安得仙槎泛天外。羡門諸子與同遊。</text>
<title>洛山寺</title>,<text>高㙜吹角海茫茫。雪白梨花繞席香。百丈祥光冲梵宇。碧紗籠裡護宸章。其二飛樓直壓水精宮。極目驚波萬里通。落日漁舟天外返。一帆明滅似孤鴻。其三義相㙜前天似水。觀音窟裡波如雷。飛空白沫迷淸晝。知是長鯨噴雪來。其四百尺危欄獨坐遅。梨花亭外海氛迷。陽烏似欲藏眞面。却護波心湧出時。其五金輪初上氣玲瓏。天水方酣五彩中。尙憶春塘㙜下望。繡屛高處袞衣紅。其六龍神水伯簇紅綃。擁出羲輪上碧霄。風定海波三萬里。一時橫徹紫金橋。</text>
<title>檢田卽事</title>,<text>玉陛承明詔。水城 杆城別號 檢瘠田。登丘風欲颭。尋壑樹相牽。孤舘雖添病。窮廬欲解懸。貢蔘猶宿弊。無計息東沿。近來蔘價騰踴。嶺東蔘貢。爲莫大之弊。故落句及之。其二白地猶租稅。荒畬等沃膏。民憂不可緩。王事敢言勞。移席頻窮峽。停輿更遠臯。疲氓競手額。無復訴嗷嗷。</text>
<title>海</title>,<text>層波萬頃接鴻濛。落日平臨大海東。此界之間知最鉅。極天以外欲何窮。藏含百恠渾難測。吐納三光只自空。蓬島蒼茫如在眼。鸞笙何處月明中。其二若木東枝眼力窮。銀洲赤岸莽相通。平生不識江河小。今日方知宇宙洪。未有文章堪敵大。只餘奇氣欲凌空。雲鵬政近圖南日。倘借扶搖萬里風。</text>
<title>族兄伯高 鍾厚 氏次定夫韻以寄。奉酬。</title>,<text>茶鐺初熟藥爐休。病客孤愁滯遠州。淸興不禁中夜夢。春風飛上萬峯頭。</text>
<title>覆次定夫韻以寄</title>,<text>蓬嶽羣仙笑不休。九烟昏夢尙齊州。他時洛下如相見。應恠天香繞我頭。</text>
<title>次兒子和送韻</title>,<text>驥子春深戀未休。洛城迢遆隔東州。須知客榻懸懸望。詞學嶄然早知頭。</text>
<title>大受贈長序。作一律以謝。</title>,<text>古調無人識。峩洋欲斷絃。夫君得深意。吾道不孤懸。萬里猶襟照。三春有夢牽。靑眸開旅榻。銀燭耀花牋。</text>
<title>三日浦</title>,<text>鳴沙踏盡海棠天。路斷松林見彩船。緣水凈開塵外色。靑巒低作鏡中娟。平臨孤島三分畫。獨倚飛亭半日仙。休恠淸遊未終夕。却疑人世已經年。其二芳洲移棹水粼粼。古佛埋香跡已陳。楓岳雲迷琪樹影。蓬壺天入白蘋春。蒼松表跡終疑妄。丹壁題名亦豈眞。仙鶴不歸華表閴。千秋述永定何人。</text>
<title>入海觀海金剛</title>,<text>舟輕瀧急悔初來。纔到奇觀却忘回。壁立層波渾是骨。雕成列峀問誰才。尖尖玉笋千枝聳。立立霜鋒百恠猜。天作神山勞意匠。海中先試小蓬萊。</text>
<title>楓嶽山中。憶稚五。賦詩以寄。</title>,<text>點綴歸雲乍滅明。夕陽倒射衆香城。故人西望杳天末。桂樹淸陰生遠情。其二仙岑難畫亦難詩。特地精神立立奇。一任化工模白本。歇惺樓上日斜時。其三天然疊嶂遙含雪。半落孤峰欲化雲。廬山未借長杠筆。看到佳時每憶君。其四萬壑風光袖裡携。相思千里一詩題。開凾定被傍人恠。滿紙仙霞字字迷。</text>
<title>與稚五約會東都。遍訪故都遺蹟。臨別口號贈主倅鄭令大受。庚辰</title>,<text>野色浮荒郭。林光帶別茵。山河餘舊跡。天地又新春。勝賞宜騷客。風流有主人。龜亭更後約。聊待百花辰。</text>
<title>鳳凰㙜別席。得㙜字。與穉五共賦。</title>,<text>羅王宮闕遍靑苔。太守淸笳倚鳳㙜。野色自隨山共逈。天光欲與樹俱來。樓空老石如人立。寺古孤花爲客開。驛路垂楊牽別恨。月城駐馬更徘徊。</text>
<title>阿火店。與稚五同賦。</title>,<text>倦馬投孤店。柴門月上初。昏炊少婦慣。暝汲僕夫踈。欲雨山容改。迎風柳意舒。明燈相對語。半是故都餘。</text>
<title>和稚五贈別韻</title>,<text>漠漠庭花晩。迢迢嶺樹遙。他鄕隣客榻。春日惜征鑣。窮達君休卜。行藏我自饒。應知凈琴月。流影照聞韶。</text>
<title>與諸人登凌波亭。拈韻同賦。</title>,<text>懸崖飛閣欲凌霞。雲樹重重夕照遐。一曲淸溪生錦浪。扁舟疑入武陵花。</text>
<title>追憶鳳㙜之遊。奉寄東都尹。</title>,<text>雲水淸遊共異鄕。悠然主客兩相忘。平郊走馬花如雪。畫閣投壺月似霜。占勝因窮千里目。討春重發少年狂。琹齋一宿猶餘戀。別後風烟繞夢長。其二天敎我輩共南州。地濶東都並客輈。助筆江山干氣象。拂花談笑擅風流。那知太史占星聚。自有高㙜表鳳遊。取次韶城春事爛。可能同賞月中樓。</text>
<title>次李聖之 齊淵 留別韻</title>,<text>送友殊鄕歎索居。落花芳草伴歸車。長亭惜別無窮意。千尺深潭定不如。其二遊子春深戀故居。難將堤柳繫征車。相思他日猶堪慰。留篋詩篇錦不如。其三浮雲南國覆官居。落日長堤動客車。淸夜思君何處切。韶樓新月一鉤如。</text>
<title>偶吟</title>,<text>鄕愁遙寄暮雲東。吏退公庭樹影空。欲和淵明歸去賦。夜來秋意入踈桐。</text>
<title>聞韶樓</title>,<text>公堂暇日占閑遊。江漢風流有此樓。垂柳烟沉村似畫。遠山雲盡野如浮。塵埃地逈淸宜月。星斗簷空爽欲秋。獨卧欄頭還自笑。元龍豪氣未全休。</text>
<title>垂柳</title>,<text>嫰綠依依漾麴塵。半和烟雨拂墻新。悠揚紫陌停金勒。攀折粧㙜惱玉人。天借風流偏冶態。春深桃李自芳隣。㝡憐北牖羲皇枕。閑蔭先生漉酒巾。</text>
<title>霽景</title>,<text>纔喜甘霖又喜晴。三農歡意溢春城。靑開遠峀雲初散。綠暎芳洲水欲平。別院凉生孤樹影。暮鍾淸答衆禽聲。長空萬里無纖翳。只許氷輪盡意明。</text>
<title>暮烟</title>,<text>斜暉微暎暮山遙。野外靑烟滿目飄。半郭平沈村色靜。小塘閑鎖柳陰搖。蒼茫宿鷺迷芳渚。依約歸僧隔斷橋。一陣長風吹捲盡。化爲淸露滴花條。</text>
<title>冬夜</title>,<text>公舘沉沉夜色寒。燭花微落篆烟殘。靈芝暮歲仙方遠。老樹柴門客夢團。琴罷不知霜滿箔。酒闌猶待月昇欄。潛陽消息新梅動。護得孤芳枕上看。</text>
<title>冬至</title>,<text>錯莫寒雲蔽遠林。稚陽半夜劈窮陰。江湖日月催春動。梅柳精神透雪深。大樂正希看至象。善端初復驗天心。金華去歲趍朝地。尙憶香烟滿玉簪。</text>
<title>以北關御史。奉命出東城。宿李尙書亭。辛巳</title>,<text>的歷荷花露。蕭踈柳葉風。村深林影外。城閉月明中。驛路和烟濶。塵心暎水空。金門有何好。贏得鬢成蓬。</text>
<title>宿淮陽府</title>,<text>已失金城險。猶愁鐵嶺陰。秋聲酣曠野。霜意繡平林。櫪馬寒無睡。雲鴻遠有音。明朝是陵幸。宵雨倍關心。</text>
<title>發咸興。向深北。</title>,<text>驛馬寒嘶倚朔風。咸關一路塞門通。山連西北雲容黑。地缺東南海色空。皮服蒙茸氓似狗。戎裝結束妓乘騘。殊方物色渾驚眼。不奈鄕園入夢中。</text>
<title>廵相趙台和叔 明鼎。曾以冬至副价。赴燕留館時。賦詩屬余。歸後書寄。今以王事。同在一省。南北落落。無異燕越。聊次其韻。爲二首奉寄。以酬逋債。兼索俯和。</title>,<text>歲暮遼河館。淸詩萬里情。嶺雲將夢遠。關月照襟明。望重推華國。才踈愧擁城。那知共北塞。時節又陽生。其二寥落重關險。牢騷遠客情。懷親西景晏。望闕北辰明。歲月迷荒塞。行藏信列城。胡山看咫尺。撫劒壯心生。</text>
<title>鍾城除夕。覆次按使韻。</title>,<text>嶺路迢迢險。郵書欵欵情。殘年同絶塞。歸夢尙春明。霜雪侵衰鬢。星河落曉城。何時憑快閣。相對話平生。</text>
<title>又和按使韻 壬午</title>,<text>倦僕同新喜。窮邊失舊悲。雪消將去路。春動欲歸時。畫戟淸香晏。危樓落月遅。相思在棠閣。昔夢繞襜帷。</text>
<title>自北關發。向南關。</title>,<text>元帥㙜高杳靄間。隔年重度鬼門難。不妨雪覆崎嶇路。且喜雲藏慘惔山。萬里羇愁添北塞。一分春意動南關。今行不負桑蓬志。瀚海陰山領略還。</text>
