<title>曉坐次屛上韻 十四歲作○戊子</title>,<text>鷄聲處處起。曉色分遠樹。片月半銜城。春雲忽欲雨。</text>
<title>月溪舟中</title>,<text>八月秋風早。蘆花兩岸飛。衆山流不住。孤帆渺何歸。江水隨雲盡。村扉隔樹稀。泠泠一聲笛。使我却忘機。</text>
<title>蓬萊閣</title>,<text>方橋不有涉溟愁。驅石秦皇笑失籌。靑鳥疑傳王母字。翠蛾應逐徐君舟。水中怳惚虛樓影。林末繽紛落葉秋。莫說蓬萊眞假在。玄蟬蛻殼自須求。</text>
<title>泛波亭</title>,<text>小邑靑山裏。孤亭夕照邊。臨欄多古意。流水更茫然。</text>
<title>洛山寺</title>,<text>千里關東作壯遊。乾坤寥廓海山秋。滄溟直到天垂際。佛殿高開地盡頭。鯨鰐尋常當檻鬬。蟾烏咫尺近窓浮。洞簫曲裏仙風起。吹却塵寰一片愁。</text>
<title>五臺山中臺</title>,<text>環臺皆壯峀。地勢此高寬。木落山容瘦。堂空佛骨寒。寶花埋色界。秋雨繞龍壇。石逕隨僧去。靑藜興不闌。</text>
<title>雜咏</title>,<text>我尙古人友。古人知我不。寸心元有定。難與世沉浮。</text>
<title>次朴蔓詠雪韻</title>,<text>半日紛飛滿天雪。隨風相合更相離。草廬誰復尋賢士。丈席人無侍老師。皎潔不須勞濯曝。平鋪豈是費營爲。欲淸十丈紅塵暗。却恨天公散下遲。</text>
<title>拈賦詠懷 乙未</title>,<text>癯骨仙家不劃灰。淸緣何處捉深杯。溪山卜宅眞靈界。金紫纏身是鬼胎。許子獨醒掛瓢去。陶翁晩覺蕩舟廻。春來風雪猶寒虐。花柳長安幾日開。</text>
<title>夜會一架亭。別金仲則 彝行 還鄕。</title>,<text>池靜亭深秋意滿。相携佳客入松間。月明天上光生地。人語樓中響發山。心似白雲相會合。跡隨玄鳥共來還。燈前杯酒須爲樂。明日離懷且莫關。</text>
<title>漁火</title>,<text>日暮滄江黑。疎燈點小舲。湖山但孤影。天地獨分明。映浦河星白。懸空鬼火靑。遙知老漁子。對此一心淸。</text>
<title>中秋夜作。呈遠心軒 卽李叔 求和。三首</title>,<text>看月人幾處。天上月惟一。思君不相見。擧杯勸吳質。高士多淸興。此宵同幾年。月來人不至。翹首望靑天。中秋明月夜。浮雲亦每多。此理君應識。歎息復奈何。</text>
<title>送金仲則</title>,<text>庭樹秋風起。蕭蕭客意催。主人留未得。但問幾時回。</text>
<title>敬次御製墨龍圖韻</title>,<text>雲天萬里不回首。神德百年潛養厚。睡罷雷車一起來。甘霖均洽齊州九。</text>
<title>詠梅 二首</title>,<text>看得梅花幾箇人。梅花自發雪中春。紛紛庾嶺空傳夢。寂寂安窩好識眞。遠俗豈堪埋翠壑。近人應不染紅塵。傾樽欲酹靈根老。皎皎窓間月色新。雪宵坐作看花人。天地無春此獨春。萬樹瓊葩都是假。千園綵勝卽非眞。黃鍾催發含元氣。白玉雕成洗點塵。香國無雙高士汝。寧從桃李也爭新。</text>
<title>兪景集 成煥 輓</title>,<text>老槐庭畔折孫枝。蕭瑟寒陰客爲悲。萬事人寰雲影幻。六年交契夢塲疑。溪風幾誦潘郞句。樑月難禁子美思。一息相離猶灑淚。荒詞豈忍送靈輀。</text>
<title>蓮樓夜作。呈茄圃。卽李叔○丙申</title>,<text>枕席新凉動。星河漸看傾。樓高人語靜。庭曠樹陰生。明月中秋近。方塘半夜淸。有懷難獨坐。憑檻望西城。</text>
<title>次坡詩韻</title>,<text>蟾奔兎走任虧圓。流照人間幾萬年。光陰難駐乾坤老。誰攪瑤皇醉後眠。</text>
<title>次保卿韻 丁酉</title>,<text>駿馬輕裘意氣驕。紅塵十丈暗城橋。嬌鶯笙管聲隨節。老蜃樓臺影散潮。俗子幾遭狂籍眼。隣兒未折醉陶腰。我疎人棄無相問。始識桃源路不遙。</text>
<title>南漢西將臺。謹次壁上諸公韻。</title>,<text>萬丈西臺迥。秋風帶酒來。終軍徒抱志。諸葛暫施才。峻嶺千重極。長江百曲廻。難禁陸沉淚。倚堞獨徘徊。</text>
<title>顯節祠</title>,<text>南漢城中照日星。忠臣祠宇耀丹靑。秋山霜氣稜稜至。古樹風聲肅肅聽。節義千秋三學士。綱常萬世二先生。擎天隻手終無力。遙望胡塵感涕零。</text>
<title>夙夢亭呼韻</title>,<text>燈光點點釣魚舟。月色凄凄宿鷺洲。村翁里少爭來集。笑說田家早晩秋。</text>
<title>避暑淸風溪 時移寓隣舍。湫隘不堪。故作避暑之行。○戊戌</title>,<text>蝸屋爲逃暑。騎驢冒雨行。淸風六月洞。太古百年亭。犬吠山雲白。鸎啼夏木淸。境中無主客。臥聽澗流聲。</text>
<title>次李白韻</title>,<text>傲雪愛松樹。任風憎柳枝。龍寧呑馬餌。蟲自掛蛛絲。天下無奇觀。古來誰大知。行行須自到。莫道上山遲。</text>
<title>夜登挹淸樓</title>,<text>坐挹淸風滌暑煩。佳名始識古今尊。遠洲帆火疎星落。靜夜灘聲急雨喧。百尺樓虛憑羽化。九分湖闊入胷呑。冥冥萬象森羅外。欲喚氷輪出海門。</text>
<title>送金僉正宗仁赴瀋陽</title>,<text>落日胡風禹服吹。衣冠文物盡陵夷。可憐君學中原語。爲誦吾詩弔漢兒。</text>
<title>南湖別意。追寄一律。</title>,<text>今日同來馬。明朝獨去輪。頻年應慣別。隨地倍傷神。颯颯龍湖雨。迢迢鴨塞塵。欲將樓揷漢。萬里見征人。</text>
<title>初秋</title>,<text>一夜蟲聲秋意生。荷香馥馥使人淸。高閣眠醒凉雨後。滿天星斗五更明。</text>
<title>舟中</title>,<text>意氣翩翩物外遊。連天漢水泛孤舟。寒聲雨落蒼龍窟。遠景烟生白鷺洲。十里澄波窺璧鏡。九層危檻望仙樓。欲令擁篲陰雲掃。好看今宵月色秋。</text>
<title>游淸風溪 己亥</title>,<text>依依雲物繞三池。太古亭中二月時。山日欲斜丞相廟。王春不盡谷花枝。悲歌對酒情何極。幽興緣溪坐更移。百囀林禽飛故近。悠悠客思似相知。</text>
<title>出石郊。拜別止庵金公 亮行 還山之行。</title>,<text>杳杳秋雲去。昂昂野鶴飛。高風欣出世。落日悵征騑。鳳闕非無戀。驪江可樂饑。尺書爭日月。誰挽浩然歸。</text>
<title>秋思</title>,<text>黃菊丹楓九月秋。西園物色轉淸幽。庭虛木落山爭出。雲薄風高月急流。塵世已醒莊叟夢。丈夫寧作楚儒愁。驚霜鴈陣衝霄去。時送寒聲入曉樓。</text>
<title>閤梅 二首</title>,<text>百花斯在下。自愛最先開。神物元相護。寒威不敢猜。漢盤珠露轉。梵柱玉龍廻。滿室橫斜影。春光泛夜盃。世間那可此花無。一脉微陽一樹扶。不入玄冥羣物閉。先迎靑帝衆生蘇。愛如嘉客來周鎬。望若仙人隱藐姑。半綻全開皆妙象。活看還勝伏羲圖。</text>
<title>詠柳 庚子</title>,<text>爲看春容媚。辛勤浦柳栽。欲秋先變色。始識非良材。</text>
<title>敬次伯氏韻</title>,<text>機斡流不停。天翁亦好新。嬌囀得意鳥。豪躍久潛鱗。對境渾悠悠。誰知觀物人。眼向花柳迷。朝夕空紛繽。</text>
<title>雨中入楓溪。次金興之 蓍根 軸中韻。</title>,<text>悠然憑太古。山木雨聲繁。賓主忘池閣。仙塵限洞門。羣禽啼未了。雙壁屹無言。春意在溪壑。莫尋桃李園。</text>
<title>南行路中 辛丑</title>,<text>策外聞啼鳥。春光在道中。杜鵑紅映谷。野馬霽浮空。雲捲天無際。山回路不窮。家園知漸遠。懷緖任東風。</text>
<title>宿利川。曉枕偶題。</title>,<text>海月出東岡。羇窓夢不長。非關春夜短。迢遞憶家鄕。</text>
<title>山村</title>,<text>兩三茅屋淡生涯。門外蒼陰一樹槐。谷裏忽聽樵唱起。村童十歲慣挑柴。</text>
<title>禪飛花</title>,<text>君不見浮石寺中禪飛花。太白靈山鍾精華。託根百級石砌上。上有長簷下枯沙。寶樹元非凡草木。不枯不長千年楂。我曾聞之爲驚心。我今見之爲拭目。諸天佛靈暗中護。遠過旃檀與薝葍。靈氣暗通如來蓮。瑞色遙接觀音柳。樹傍高揭退陶詩。曹溪活水枝頭有。白衲尙說義相師。植杖寶刹初建時。無生無滅金粟身。此樹榮枯云可知。荒唐之說杳冥理。千古誰能解人疑。</text>
<title>入淸凉山</title>,<text>斜陽入山好。蒼翠起東西。石亂羸駒㥘。林深恠鳥啼。白雲繞層壁。丹䕽映幽蹊。六六峰如畫。金蓮影倒溪。</text>
<title>感興</title>,<text>明河橫遠天。凉風動西林。散步中庭月。淸輝滿我襟。一輪無終始。悠悠照古今。中有神仙侶。俯視塵沉沉。靑岱如蟻封。重溟似蹄涔。三代瞬目過。五季轉頭尋。關山凄凉色。曾照鳴鳳岑。滄桑不足笑。應爲嗟憐深。太白問何事。把酒徒淸吟。無語更無聞。相對此夜心。生憎一片雲。空然蔽作陰。</text>
<title>潭夜敬次板上韻</title>,<text>一洞廬山眞面同。思携千古謫仙翁。夜樓始信虛生白。秋水方知色本空。簫笛低揚蟲語外。雲烟舒卷鹿眠中。請看碧澗流無盡。正有深源發不窮。</text>
<title>詠十月菊</title>,<text>萬朶初開昨夜霜。深黃淺白映書床。幽人愛爾非香色。十月能存一線陽。</text>
<title>雜詠次老杜秋興八首 壬寅</title>,<text>寒風獵獵動西林。瑤斗銀河正肅森。素鶴一雙閑月影。黃花數朶傲霜陰。枕頭幾作靑山夢。醉後還長白髮心。羣物沉沉皆入靜。滿城惟聽五更砧。千林葉落暮風斜。霜氣初淸變露華。羣浴池鵝還泛泛。雙棲簷鵲故槎槎。南山每見平安火。北塞知無撩亂笳。客不扣門吾不出。床頭古易有生花。朝日初升射赤暉。雲陰天末漸看微。賓鴻晩帶寒霜去。幽鳥時挐落葉飛。一室琴書隨坐臥。百年身世任行違。胷中淨却無塵累。卜子何爲歎瘦肥。對局每圍坡老碁。逢秋不作宋生悲。悠然捲箔看山處。寂若焚香讀易時。曉郭星河寒欲動。霜天楓菊冷偏遲。渾忘家在紅塵裏。長嘯高歌出世思。蕭蕭雨響自南山。一炷疎燈照壁間。淨几圖書眠共和。小軒琴鶴樂相關。筆端興到成佳句。鏡裏塵空對好顔。快適莫如吾自在。玉京多事笑仙班。落木聲中倚檻頭。鳴濤遙憶漢江秋。無邊皓月來如意。不盡淸波逝莫愁。寒夢依依隨陣鴈。孤舟泛泛伴眠鷗。名區遯跡神仙近。何必桃源漏帝州。靜看乾坤造化功。還如邵老百源中。淸光梧帶千年月。爽籟松含太古風。望遠峰嵐濃夕翠。夢醒窓日射朝紅。平生誰與論同調。只有神交無極翁。眼前大道正逶迤。不踏人間路險陂。風動堦蕉飛鳳葉。雲棲園柏老龍枝。三秋佳興宵光永。一枕閑眠午景移。我屋蕭然如畫裏。終南滴翠入簾垂。</text>
<title>又次杜秋興韻 二十一首</title>,<text>雲歸古壑鳥投林。東麓斜陽萬態森。園蝶翻兼寒葉影。池魚躍入小樓陰。濟川素乏商巖手。採菊惟存栗里心。野服篋中藏妙製。荷衫蘿帶不須砧。城西書屋倚深林。入戶終南碧峀森。早晩秋光看草色。短長春晷記花陰。琴通元亮無絃曲。雲住希夷一片心。已笑鴟蹲嚇鼠腐。還憐猫走繞魚砧。靑梅疎影半簾斜。八十琴師兩鬢華。聲遏行雲閑繞峀。曲牽飄葉急歸槎。宛如驚世君山客。不讓通神董子笳。餘興明春期再會。新飜留待賞園花。此一首聽琴難掩龍光北斗斜。人間復恐有張華。蘭抽谷裏霜侵葉。松偃池邊水潤槎。思斷藝垣鳴鼓角。夢長燕塞奏鐃笳。靑霞欝欝乾坤窄。還向東籬種菊花。綠池風靜水紋斜。樓上衣裳濕月華。瑤島思將求藥草。星津望欲泛靈槎。蟲聲入夜如繁笛。鴈叫流空似遠笳。閒墜庭前紅葉影。龍堂彷彿散天花。晴空午日有祥暉。掃却人間螢爝微。出谷振林千樣響。搶楡徙海一般飛。天機滚滚閒中在。塵事紛紛靜裏違。歲晩物華多變態。靑山欲瘦白雲肥。大地山河一局碁。癡人浪作劫灰悲。千年水逝瞿塘處。萬事雲過碧落時。意靜蓬萊知不遠。心忙騏驥去還遲。秋深小院塵緣少。獨有金丹九轉思。境隨人靜似深山。渾忘我家城市間。睡比孔明秋亦足。門如元亮晝常關。座中有客皆靑眼。酒外何時不醉顔。坐看夕陽無限好。暝林歸鳥自成班。夸娥神力笑移山。忽見羅浮在此間。錯認雪花侵曲几。翻驚月浪透重關。塵中誰有堯夫眼。畫外猶傳君復顔。肯與羣芳爭上下。藐姑仙子弟兄班。此一首詠梅初日如鉦上駱山。此行今十三年間。敢言遯跡塵中混。不是浮名度內關。舊伴數來多赤芾。新交逢處摠朱顔。槐庭爭利眞開市。乘馬前時意馬班。桃花春色武陵山。長在茅廬几案間。謾道星郞留漢闕。誰從柱史出秦關。棲心書卷刪塵慮。映睫烟霞駐麗顔。萬事任眞皆自得。始知吾拙勝倕班。秋風欲響少文山。坐我依俙泰華間。偸果玄猿攀石磴。含芝白鹿入松關。晴嵐靄靄如沾袂。碧澗泠泠欲洗顔。且向此中仍大隱。鄭翁神妙虎頭班。寸雲平繞出蠶頭。行雨霏霏洗素秋。齊物莊生還苦癖。耽詩杜老謾深愁。櫪駒時看愚公犢。簷鵲相親海客鷗。塵下兒曹多妄想。空求乘鶴上揚州。黃花滿揷小兒頭。戲事閑居得意秋。入室每爲開口笑。出門寧作皺眉愁。凌空氣似蹁躚鶴。遠害心如浩蕩鷗。臨水登山思壯觀。神遊將遍禹分州。已戒雌黃掛舌頭。莫敎皮裏有春秋。蘧蘧枕上將無夢。磊磊胷中不着愁。學拙始知如刻鵠。化人誰謂似馴鷗。千年欲訪宣尼跡。岱岳浮天小九州。醉鄕之樂問無功。何似睡鄕仙界中。石室丹成千日枕。羲皇世返北窓風。庭前槐影迷離翠。物外桃花莽蒼紅。滋味此間誰解識。三分窺着漆園翁。歲暮螢窓欲考功。羲文一部卷舒中。絳霄斗轉沉寒水。紫陌鐘鳴度遠風。鳥夢疎枝斜月白。鷄聲半夜小燈紅。尋常得失何須問。達觀人間有塞翁。詩成三上課程功。淸晝良宵遣興中。軒檻先迎池水月。衣冠不灑陌塵風。香烟爐茗初凝碧。珠顆盤榴半綻紅。門外已無題鳳客。隣居將卜祝鷄翁。蔀屋鳴梭野女功。能令客馬駐聲中。已無趙市娉婷俗。更見豳郊煕皥風。杵響遠隨氷澗轉。炊烟橫映夕陽紅。酒盃知有東隣會。半醉扶還白髮翁。十里靑郊路邐迤。茅廬瀟灑占南陂。松杉落落新開徑。楡柳依依舊種枝。果馬衝泥乘曉至。籃輿臨水向暄移。調疴兼得看書好。翠幌深深竟日垂。星河秋影望中迤。蘋末寒風鴈鶩陂。階下鳥馴緱嶺翮。庭前樹種武陵枝。光陰難住水空逝。意氣未逢山可移。睡睫轉淸懷轉曠。虛明夜色五更垂。</text>
<title>人日。拈王右丞韻。癸卯</title>,<text>七日人爲號。相傳古俗長。天休承泰運。國瑞卜晴光。大塊宣昭朗。羣生得品章。傾盃柏酒淡。調鼎菜羹香。元氣春浮樹。佳辰客滿堂。綵花新作勝。金縷巧成妝。紙局經綸志。床書蒔種方。靑陽布仁化。聖德繼三王。</text>
<title>偶吟 時直思陵齋所</title>,<text>蒼蒼松柏夕陽斜。蛺蝶雙雙弄草花。鷄啄荒庭爭得食。馬嘶殘櫪亦思家。三時作夢高堂近。五日居官兩鬢華。懶性難爲塵下吏。莫將袍帽此身加。</text>
<title>七夕。疊用人日韻。</title>,<text>此宵牛女會。浪說古今長。細雨尋常響。明河莽蒼光。阮褌欺錦繡。郝腹曬文章。桐葉知秋氣。蓮花帶夏香。貼桃漢皇殿。擲米蔡君堂。宮女穿鍼戲。閨娥乞巧妝。蜘蛛網自結。烏鵲去何方。景貺傳奇遇。千秋想郭王。</text>
<title>蟬聲</title>,<text>蟬語破千籟。聲聲空外浮。爲因飮凉露。却自喚淸秋。偏向斜陽樹。時過驟雨樓。羣蟲空亂叫。夜暗愧啾啾。</text>
<title>立秋。疊用人日韻。</title>,<text>少昊初行令。西看斗柄長。金風流颯響。玉宇迥晶光。鍾律鳴夷則。皇居啓總章。池荷成碧實。野稻孕新香。細雨晴遙郭。寒聲動小堂。征夫已驚夢。懶婦亦催妝。天屆消長會。人迷損益方。從玆霜雪至。聊欲獻箴王。</text>
<title>善竹橋</title>,<text>善竹同孤竹。千年有石橋。綱常扶後世。忠烈在前朝。斑血今猶濕。英靈此不消。彷徨無限感。落木響蕭蕭。</text>
<title>贈安州妓佳姬。妓能卽席賦詩。</title>,<text>娃館詩燈伴鶴寒。人逢知己古今難。可笑癡男皆重色。多情誰解愛才看。伴鶴。卽佳姬樓名。</text>
<title>嘉山道中。次老族主簿 圭輔 韻。</title>,<text>淸川江外卽邊城。西塞天寒雪不晴。聊喜戎裝兼彩服。何妨勝觀且嚴程。送客笳傳落梅唱。停驂嶺記曉星名。鞭頭未了還家夢。勸馬聲聲起倦情。</text>
<title>定州道中</title>,<text>㺚川橋下起寒波。短堠長亭細數過。征馬意驕嘶廣陌。盤鵰翮勁下荒坡。黑雲漠漠胡山近。白雪紛紛朔氣多。日暮邊城風撲面。橫鞘壯志聽鐃歌。</text>
<title>宣川道中</title>,<text>至月如春暖。關西雪作泥。羇窓眠未足。征路夢猶迷。山入雲光轉。村依樹影齊。遙城動寒角。落日馬長嘶。</text>
<title>倚劒亭壁上。有曾王考曁王考詩。敬次其韻。</title>,<text>曾聞倚劒名。素志欲觀兵。今日空戎馬。行裝愧請纓。</text>
<title>向義州</title>,<text>男兒意氣此時豪。行盡西州箭嶺高。朔雪巑岏寒似鐵。胡風厭獵猛如刀。相隨玉節來龍塞。空負篝燈讀虎韜。金石山光初入眼。馬前笳角響牢騷。</text>
<title>寄贈吉兒 奭周小名甲吉○五首</title>,<text>撫頂門前別。居然到塞窮。每憶南窓下。琅琅誦國風。山川幾萬重。途道三千里。回首家鄕遠。那堪戀稚子。夜夜羇窓夢。迢迢到故鄕。炯如秋水眼。看書在母傍。努力每加餐。深居莫犯寒。重重遙寄語。侍側得平安。孜孜勤讀業。洞洞敬持身。春日候門處。靑眸更刮新。</text>
<title>渡江</title>,<text>戎衣過鴨綠。出塞似從軍。莫作思鄕語。男兒氣薄雲。</text>
<title>九連路中</title>,<text>一渡三江水。風光我土殊。凝蹄攢白雪。滿目亂黃蘆。孤日龍灣盡。寒雲鶻峀紆。茫茫荒野外。立馬問前途。</text>
<title>向連山關</title>,<text>斜陽漠漠向連山。白草嚴風古塞關。積雪偏凝溪水冷。孤烟直上野村閒。倚門漢女簪花立。走馬胡兒罷獵還。聞道前林多虎豹。始知行路劇辛艱。</text>
<title>大明村</title>,<text>民家窮峽裏。傳說大明村。三戶能同楚。百年又過元。居人情暗慰。行客涕潛捫。落木斜陽外。徊徨不敢言。</text>
<title>發十三山。路中遇風多塵沙。</title>,<text>風聲獵獵動遼燕。十丈塵埃蔽遠天。捲地縱能欺雨雪。飄空竟不作雲烟。山川迷入鴻濛界。車馬冥行混沌年。昔日凌河征戰處。胡沙滿目客悽然。</text>
<title>松山堡懷古</title>,<text>蕭瑟松山堡。蒼茫駐客鞭。黃沙猶未盡。靑海更無邊。古壘空啼鳥。荒塋但暮烟。那堪問往事。搔首仰寒天。</text>
<title>寧遠路中感懷</title>,<text>不恨吾生左海潯。中州憂辱犬羊深。衣冠華士皆胡制。言語胡兒亦華音。禮樂無徵長夜近。山河失色夕陽沉。燕南寂寞荊卿死。誰和詩中擊筑心。</text>
<title>路中</title>,<text>星軺西轉歲窮陰。遼水燕山次第尋。店裏晩飧兼五味。車中午睡抵千金。風吹曠漠殊方氣。日出扶桑故國心。北地天寒歸鴈盡。三旬不得接鄕音。</text>
<title>山海關</title>,<text>秦皇雄畧長城築。右駕滄溟左截山。飛狖莫攀千尺上。捷禽愁度八重還。人間有罪吳三桂。天下無聊第一關。古堞夕陽何限意。東來客子駐車看。</text>
<title>姜女廟</title>,<text>悲風吹古廟。落日遠山舂。巖穿留怨跡。峰老帶愁容。長城那可望。片石尙堪封。東海波如淺。姜娥恨亦瀜。</text>
<title>拜文丞相廟</title>,<text>古廟丹靑剝落多。神心今日恨如何。荒天偏愛驕胡種。奇渥纔亡又覺羅。</text>
<title>又次杜陵武侯廟韻</title>,<text>荒祠柴市最先尋。肅穆衣冠正氣森。簷桷雪愁侵北氣。庭柯風愛送南音。一生未了殲胡志。萬死猶存報國心。忍看腥塵汚丹雘。蒼天獨不照靈襟。</text>
<title>贈盧藥林 烜 字愛堂 浙江人○甲辰</title>,<text>忽逢南國士。意氣欲相傾。月照氷壺潔。風吹玉樹淸。襟懷纔半日。談笑若平生。後會惟憑夢。那堪此別情。</text>
<title>藕堂 方維翰字南屛 座上。主人出示小帖。卽春山欲雨圖。求題一詩。乃走筆書贈。</title>,<text>濃雲一片鎖千岑。春樹依微晝欲陰。應有神龍潭底臥。飛來早晩作祥霖。</text>
<title>通州。別金僉正宗仁。</title>,<text>潞陽館外柳初新。歸客情催識早春。何事臨歧遲不去。他鄕又別故鄕人。</text>
<title>榛子店。憶季文蘭村壁題詩事。</title>,<text>江南佳女嫩心腸。珠翠空留毳幕香。詩中怨恨深如許。何惜當時一死芳。</text>
<title>暮行</title>,<text>日落盧龍縣。烟生飮馬河。古時征戰處。今日人烟多。我是還鄕客。詩非出塞歌。春風千里路。一半夢中過。</text>
<title>金生宗建傳誦李僉正鎭復咏塵詩及所次韻。聞卽步韻口號。</title>,<text>暗飄從馬足。偏向撲人顔。散去能迷世。堆來可作山。空空看有色。細細入無間。鴨水淸宜濯。衣巾莫染還。</text>
<title>雙陽店。夜見新月。</title>,<text>碧天如水桂花香。不老姮娥半面妝。淸光遍照同心曲。却忘雙陽隔漢陽。</text>
<title>廣寧歸路口占</title>,<text>星軺珍重奉親回。晨夕殊方免客懷。戎服儒冠能倂用。龍韜鳳藻未全材。寒風酹酒荊卿市。落日吟詩樂毅臺。欝欝雄圖無處展。中州輸入錦囊裁。</text>
<title>宿白旗堡</title>,<text>塞天二月北風寒。坐到三更意不寬。忽憶故園春色早。空挑旅館燭花殘。野虛月浪茫茫海。村曠林烟點點巒。秖着歸心眠未穩。東方欲曙戒征鞍。</text>
<title>前驅歌。戲贈主簿老族。</title>,<text>君不見漢家將軍矍鑠翁。披甲據鞍生英風。又不見蜀將七十挽强弓。定軍山下樹奇功。白髮蕭蕭一書生。七尺寶刀腰間橫。騷壇虛老六十年。一朝換着戎衣輕。匹馬橫行三千里。飛渡燕山復遼水。執殳傑風老益壯。誰識人間奇男子。櫛風沐雨靡所憚。巧讒只恐三遺矢。時患泄症故及之。 軍令獨嚴催鳴角。胡女聞角出村屋。左顧右眄示可用。東施嫫母俱送目。且言兩杯乾燒酒。絶勝斗飯與斤肉。天生壯士終不棄。今日前驅成大志。莫恨無人勒燕然。一詩勝於杜碑二。</text>
<title>十里河。夜雪後作行。</title>,<text>瀋陽河外雪餘輝。窮塞春寒逼客衣。百里山圍雲杳杳。千重樹合靄依依。但聞荒野蒼鴉噪。不見殘城白鶴歸。故國行行知漸近。羸駒亦自踏泥飛。</text>
