<title>春日</title>,<text>草綠王孫恨。花紅杜宇悲。相逢宜大醉。不必怨芳菲。</text>
<title>寄李景顯 莘逸，南應和 慶薰，權景玉 璟。</title>,<text>聞說諸君子。匡山結勝遊。淸塵留紫府。眞訣訪丹丘。事業書三架。風流酒一甌。相思不相見。雲外路悠悠。</text>
<title>贈徐藥峯 渻○時徐相謫本府。別經卄載。今始相逢。白髮堪歎。奉贈詩律以慰懷。</title>,<text>嶺海參商久。相逢白髮生。孤燈今夜話。尊酒昔年情。叙別同垂淚。開懷強把觥。沉冥不須恨。人事有枯榮。</text>
<title>咏菊</title>,<text>稟得何精爽。逢秋獨有花。契深寒士榻。交絶俗人家。雅節經霜若。殘英冐雨華。尊前穩相對。不覺去沉痾。</text>
<title>立巖精舍。贈徐藥峯。謫本府時。築此亭于屬縣南石門內。</title>,<text>憐君新築意。身世付江臯。綠水無情去。靑山不語高。歸鴻催落日。微雨濕征袍。時事憑誰說。徘徊首共搔。</text>
<title>老梧吟</title>,<text>天地已衰歇。古氣猶在梧。幾歲任風霜。落日荒山隅。天和洩不得。石上空自枯。鳥散人不來。此時形益孤。幸有秋風至。隨分做唐虞。</text>
<title>題寒暄金先生小學詩後 壬寅</title>,<text>小學書中悟昨非。先生斯語有誰知。看花鏡面終何益。鞭辟要須近裏思。</text>
<title>次白惺軒 見龍 攬勝亭十景韻</title>,<text>巖腹晴嵐逐細風。輕羅奇態碧如蔥。時時化作西山雨。霡霂均沾百里農。右北巖晴嵐天闢幽慳設此亭。地輸奇勝擅佳名。曉看海日蒸紅暈。瑞氣飛騰萬里明。右東溟朝旭黛色遙橫碧海湄。粧樓新幻翠蛾眉。遊人只作尋常看。不覺天工繪畵奇。右㺚巖濃蛾天作芙蓉玉一支。倒江濃翠蘸金巵。醉餘卧看山含月。瓊窟銀屛影半欹。右漁臺矗玉平沙鋪雪海西涯。千樹蒼髯擁野禾。遙想夜深人去後。月分疎影露華多。右奉松晩翠東聳雙峯氣勢豪。落霞遙建赤城標。須臾變態成金柱。光射雲霄北斗杓。右鯨峯落照蘆岸風鳴葉下洲。濕雲征鴈一聲秋。布帆十里歸來晩。認得漁翁罷釣舟。右極浦風帆林外長江江外郊。空濛烟雨路迢迢。數聲蘆管歸雲裏。知有騎牛過石橋。右平郊牧笛渡口漁家石作扃。月明江路釣船停。夜深燈火遙明滅。看取秋天落曙星。右漁艇夜火一帶孤城展翠屛。遠連蒼海水雲腥。戍樓曉角時相聞。政是山人醉未醒。右城樓曉角</text>
<title>卜居 三首</title>,<text>卜地胡爲寂寞鄕。世間無處着吾狂。傍人不解幽人意。錯道同羣鳥獸塲。新築茅菴枕碧巒。考盤還愧碩人寬。百年至樂猶無限。山外從他世路難。雲岳南頭結草菴。茂林脩竹護瓊潭。採山釣水從今始。欲趁芳春理小籃。</text>
<title>題鄭參判 湛 忠烈錄後</title>,<text>烈士䧺名日月光。何須文墨賴揄揚。精忠二字銘人口。武穆英風萬古長。</text>
<title>次李晦叔韻 二首</title>,<text>同里同門弟與兄。風塵書劒十年情。龍鍾病物知無賴。竚見吾君萬里行。佳什吟來齒舌寒。怳如瓊屑落盤間。何緣共續仙山會。更索詩篇咏石壇。</text>
<title>寄朴仲植 檜茂</title>,<text>溪上茅廬結搆鮮。靜中風味浩無邊。何緣乞得壺天半。共把琴尊送暮年。</text>
<title>訪梅 三首</title>,<text>病裏初疑梅信遲。起看庭樹影參差。開簾試問春消息。已到牆南第一枝。抱病無緣訪雪姿。爲憐明月掛空枝。探芳早晩成佳會。莫怪廵簷索笑遲。梅邊詩料積如薪。覓句吟來句不塵。明月亦知淸意味。故敎花影自隨人。</text>
<title>次內從叔李雲岳 㴠 韻</title>,<text>花被狂風零落盡。殘紅猶有兩三枝。惜春不覺歸來晩。留待黃昏月上時。</text>
<title>次白虞侯 中立 韻 四首</title>,<text>早晩江城春信來。竚看牆角老梅開。隣缸待得葡萄綠。共趁淸宵把一杯。誰把瑤琴帶月來。愁邊無處病懷開。殷勤莫負城南約。興在絃聲引玉杯。十載江湖任去來。禽魚隨處眼長開。莫言病叟生涯苦。書滿牙床酒滿杯。詩朋去後酒朋來。梅影堆邊桂影開。琴一曲兼歌一曲。淸三杯又濁三杯。</text>
<title>次趙獻卿 廷珩</title>,<text>無端瓊什落柴扃。滿紙殷勤摠舊情。欲向芳園同一榻。柳梅何處白連靑。</text>
<title>寄尹子羣 儔○辛酉</title>,<text>都門曉發向誰家。落日孤舟愁恨多。却羡英州唐別駕。夕陽沽酒聽漁歌。</text>
<title>立春書懷</title>,<text>人言今日是新陽。雪霽風輕柳意忙。解道仁心泉始達。藹然看取善之長。</text>
<title>過丹陽棧道</title>,<text>積石巉巖不可攀。劒門休說道途難。誰知履薄臨深誡。便在斯須一步間。</text>
<title>次李景顯 三首</title>,<text>雨餘庭院苔痕凈。風落盆池水面齊。一枕蒲團無外事。卧看簾角燕含泥。雲捲海門天水一。日斜江路霞齊。杜陵自是吟哦富。山簡何須醉似泥。江山興致無今古。人事如何百不齊。得喪榮枯風過耳。莫將身世較雲泥。</text>
<title>有懷 二首</title>,<text>蓽門原憲能安命。陋巷顔淵亦樂貧。堪笑世間名利子。一生乾沒費精神。琴書未負陶彭澤。詩酒還慙李謫仙。抱病年來人事絶。不如高卧樂夫天。</text>
<title>自悼</title>,<text>林下棲遲五十春。不堪書劒困風塵。已知富貴非吾願。祇祝身爲聖世人。</text>
<title>過攬勝亭</title>,<text>人去亭空古砌傾。亂松叢竹沒柴荊。一聲鄰笛江村暮。似訴當年不盡情。</text>
<title>贈趙獻卿</title>,<text>石堦苔老茅簾靜。梅閣風輕竹日明。病裏題詩要自慰。一篇吟苦句難成。</text>
<title>贈別金 寧○時以鄭寒岡辨誣事。與之陪䟽而歸。臨別有贈。</title>,<text>風打踈簾月落時。葡萄滿酌不須辭。明朝別路相分手。朋酒無緣結後期。</text>
<title>山居書懷</title>,<text>辛苦移家爲碧山。隔簾朝暮對孱顔。何時種得梅兼竹。共把靑松一㨾看。</text>
<title>傷田家</title>,<text>稼穡艱難自古然。田家休戚有無年。姬公事業今寥寂。誰上豳風七月篇。</text>
<title>雪夜翫月 二首</title>,<text>雪虐風獰白屋寒。一尊誰與做團欒。多情只有東林月。分付淸光照肺肝。雪月爭輝十分淸。銀波流動惱詩情。渣兒凈盡無纖翳。看取靈臺一片明。</text>
<title>偶成</title>,<text>芙蓉裳又翠雲裘。終日憑軒對碧流。魚躍鳶飛眞潑潑。無形還假有形求。</text>
<title>別申掌令 悅道</title>,<text>長途瘦馬君傾盖。白首黃冠我拂纓。忽漫相逢還作別。不如行客本無情。</text>
<title>詠南正卿 佶 庭梅</title>,<text>此行何幸趁韶華。却喜庭梅政雪花。抱病無緣攀勝會。羞看明月映枯楂。</text>
<title>還山</title>,<text>經年作客歸來晩。隨處欣逢白鳥雙。最愛東林一片月。夜深依舊照山牕。</text>
<title>山居</title>,<text>毁譽紛紛世路崎。十年塵土政堪悲。山中獨愛淸溪響。舂破人間百是非。</text>
<title>次黃海月 汝一 解官道中韻 二首○時黃公棄永川歸</title>,<text>相逢盡道解官歸。林下何曾見此歸。古有淵明今有子。永陽彭澤一般歸。莫怪人言苦鑠金。歲寒能見後凋心。林泉自有恢恢地。合把金尊寄遠襟。元韻中有固知未免人疑信之句故及之。</text>
<title>謾興</title>,<text>萬事無心卧土床。呼童燃竹煑淸湘。莫言野老生涯苦。賴有簞瓢一咏長。</text>
<title>述懷</title>,<text>竆通有數誰能強。義理無涯自可尋。早晩收功歸一域。不須驚却歲華深。</text>
<title>聞西報 丙子</title>,<text>聞說關西虜騎馳。祈山誰出武侯師。綱常凜凜終難沒。迅掃妖氛竚此時。</text>
<title>聞瀋陽變。入山書懷。</title>,<text>吾東義士儘成仁。願採岡薇祭古人。獨坐山中無曆日。看花猶記大明春。</text>
<title>山寺贈李晦叔</title>,<text>抱病江湖白髮新。摧頹無復舊精神。頭邊歲月流何急。世上悲懽跡已陳。晩覺浮名歸幻境。始知淸福在閒人。年來笑却紅塵子。謾向東華縛卯申。</text>
<title>趙子重 任 江樓。次權平海 棨。</title>,<text>壺天身世接丹丘。一壑猶能辦壯遊。綠水靑山供計濶。玉杯瑤瑟笑風流。漁翁釣罷江鱗細。鄰婦携筐澗菜柔。林下百年無長物。主人心事也淸幽。</text>
<title>歎時事述懷 丁丑</title>,<text>如何世事入艱虞。慷慨竆山細罄壺。中國衣裳非夏制。東方玉帛屬夷奴。尊周大義千秋魯。杖漢貞操十載蘇。天地難能容我輩。謾將書劒老江湖。</text>
<title>別府伯兪 大逸</title>,<text>嶺路秋風動白衫。一鞭行色聳聆瞻。三年渤海治無愧。千里淮陽病有添。交趾還遭文犀謗。穎川誰識許丞廉。淸流酌罷相分處。多少離懷割似鎌。</text>
<title>贈權景玉權子貞 尙吉</title>,<text>末路相從臭味同。衰慵堪托少年叢。挺生蘭蕙諸君子。未死龍鍾一病翁。學道探源眞事業。樂天知命是英雄。人間得喪皆關數。莫謂齊門瑟不工。</text>
<title>寄朴掌令 二首</title>,<text>天涯佳節屬新陽。雨霽風輕柳意忙。對鏡自憐千丈髮。感時空斷九回腸。江梅綻雪芳菲足。澗菜登盤趣味長。想得君家尊有酒。直須乘月把深觴。落拓年來懶問津。肯將衰扝向風塵。錦城魏闕三千里。大醉狂歌五十春。老去却慙生計拙。病中偏覺鬢華新。浮雲世事何須較。得喪榮枯付一嚬。</text>
<title>寄崔御史季昇 晛○二首</title>,<text>風流香案舊儒仙。玉節星軺屬壯年。春日靑衫天北極。秋風驄馬斗南邊。遙知吟咏交珠玉。佇見謳歌入管絃。戲假霜威眞是樂。一尊何處接芳筵。按節南徼作勝遊。伽倻山盡又頭流。賢勞風績銘人口。璀璨瓊章照海樓。愧我萍蹤方失路。感君霜氣獨橫秋。歸來定草東征賦。早晩尊前試刮眸。</text>
<title>贈金都事子中</title>,<text>雪霽風輕竹日明。隔林啼鳥已春聲。園中軟菜供新味。牆角寒梅綻舊英。人到暮年多感慨。物隨佳節惱詩情。殷勤莫負庚申約。共趁淸宵把一觥。</text>
<title>贈徐藥峯</title>,<text>一陣秋風動碧梧。海南羇客雪盈鬚。秦臺夜月丹心苦。楚水楓林隻影孤。舊事談來頭欲白。病懷開處酒誰沽。天涯莫道君門隔。會見江湖雨露濡。附徐藥峯詩 二首嶺外相逢別有情。連鑣沙路馬蹄輕。湖邊籍草談僊境。臺上停杯聽海聲。水擊三千鱗化羽。風傳一曲鳳吹笙。與君要訪洪崖子。今夜聊眠故郡城。郵亭往復共三千。到處笙歌敞錦筵。作客聊爲開口笑。論心誰與對床眠。別時有若徒成障。好事如今喜得圓。大醉駄歸風雪裏。狂歌一曲意悠然。</text>
<title>贈李泰叔 時亨</title>,<text>物外相從臭味眞。淸遊同作畵中人。風塵末路吾蹉足。江海長年子戢鱗。半世襟期書劒裏。一尊行樂水雲濱。東溟會見鵬摶翼。莫道藍田玉不珍。</text>
<title>贈朴季獻 璿</title>,<text>爲謝行廚竹裏過。開尊相對碧嵯峨。盤中霜栗堆黃顆。杯上春醪灧綠波。玉樹淸風君氣槩。石田茅屋我生涯。一塲爾汝忘形處。醉岸烏巾看落花。</text>
<title>九月六日</title>,<text>節迫重陽三日纔。暮天微雨浥輕埃。尊傾竹葉愁顔罷。手把秋香笑口開。滿目江山俱是樂。忘機魚鳥不相猜。習池莫道風流盡。醉裏方知世味灰。</text>
<title>過退陶先生舊居 癸卯</title>,<text>先生故宅小溪濆。苔老空庭晝掩門。芳躅百年眞宰護。高風千古薄夫敦。碧雲舊榻書三架。白水遺磯月一痕。可惜瑤琴空寶匣。不堪惆悵帶西曛。</text>
<title>茅屋初成</title>,<text>竹屋經營閱幾春。誅茅今日菟裘新。靜中事業兼詩酒。醉裏吟哦動鬼神。綠水靑山仍作伴。光風霽月逈超塵。閒居亦是吾王賜。回首西天謝聖辰。</text>
<title>幽居有感 二首</title>,<text>秋深海國鴈初鳴。多少騷人感慨情。細雨燈前心萬里。亂蛩牕外夜三更。生涯酷似籠中鳥。身世渾如水上萍。最惜衰年營口腹。愧從山叟耦而耕。簾幕蕭蕭小雨鳴。靜中誰識老儒情。講闌破榻香薰壁。睡罷淸宵漏報更。半世螢牕堆白髮。十年塵匣吼靑萍。傍人莫道山翁拙。樂在西疇帶月耕。</text>
<title>逢秋</title>,<text>病床今日又逢秋。驚却光陰不少留。𤱶畝雖存莘叟樂。江湖更切仲淹憂。羞將短髮看明鏡。欲對芳尊卧小樓。林下百年無長物。綠萍身世伴沙鷗。</text>
<title>述懷</title>,<text>落拓年來故舊稀。杜門高卧病相隨。聰明自與光陰逝。事業還從漫浪隳。醉裏顚狂聊足樂。世間翻覆不須悲。春回始卜幽棲地。萬疊雲山護竹籬。</text>
<title>樂貧</title>,<text>江上茅齋遠市塵。渚禽爲友鹿爲鄰。靑箱開處尋眞訣。黃卷披時見古人。醉裏吟哦延歲月。靜中頤養長精神。世間榮辱何須較。高卧甘他憲也貧。</text>
<title>山房贈朴季獻</title>,<text>各抱離憂過一春。禪宮何幸接芳茵。尊前對竹心無累。松下題詩句不塵。謾有壯懷風烈烈。肯將身世足踆踆。醉餘拾盡溪山興。自詫吾非舊日人。</text>
<title>謾興 二首</title>,<text>睡覺東牕日已昇。却憐衰骨瘦稜稜。霜梨嚼罷煩襟豁。朮酒傾來世慮澄。松下杜門揮俗客。竹邊開席引山僧。一瓢顔巷無餘事。靜裏偏知趣味增。雨收虹散宿雲昇。一陣霜風政有稜。曉氣凄寒秋氣肅。山容明麗水容澄。行裝草草離羣鶴。生計蕭蕭絶粒僧。獨閉柴關人不問。暮年誰慰病痾增。</text>
<title>謝朴叔獻 玏 來訪</title>,<text>謾勞行旆駐江干。地僻林深竹日寒。酤得芳醪供夜酌。摘來新蕨薦春盤。尊前風雨從容處。象外溪山繪畵間。多病主人無長物。一塲何有罄交歡。</text>
<title>贈別申亨甫 達道</title>,<text>末路知音獨有君。玉壺氷彩逈離羣。金蘭臭味眞相似。雲雨交情豈足云。江渭幾年勞夢想。海山今日和篪塤。夜闌尊酒相酬處。一曲離歌不忍聞。</text>
<title>蔚陵島</title>,<text>海外瑤岑別作區。鯨濤呑吐幾千秋。祥輝蕩漾雲霞發。瑞氣飛騰日月浮。王母定應開貝闕。子喬何處倚瓊樓。秋風一葦非無計。却恨塵寰跡未收。天上曾聞十二樓。人間今見有瀛洲。波頭地逈鵬千里。鶴背雲收月萬秋。丹桂叢中祥霧合。碧桃花裏閬仙遊。憑虛悵望風生腋。興趁烟波一葉舟。</text>
<title>效李太白三五七言</title>,<text>山寂寂。夜沉沉。鴈打霜天翼。泉傳石竇音。一種趣味無人會。獨把淸尊撫短琴。</text>
<title>效樂府歌詞</title>,<text>惻惻愁多日。夜雨緣何事。梧桐滴碎聲。自知非利刀。如何復如何。斷盡思人腸。</text>
<title>輓白惺軒</title>,<text>溪上樞衣後。從遊長者前。爲儒慕君子。好禮尙先賢。處世非徒爾。持身豈偶然。蟾宮期折桂。蛇榜晩生蓮。唾玉才何試。屠龍志未宣。萊甑塵自暗。古匣劒空懸。竆達知關數。沉冥不怨天。枕書銷日月。安分卧林泉。養味閒中富。瓊辭筆下鮮。風流白居士。豪放杜樊川。詩酒成眞癖。琴歌樂幾年。竹村開小築。花塢簇羣姸。覽盡江山勝。收來海月邊。野翁同笑語。鄰叟共聯翩。消遣棊千局。吟哦句百篇。自稱三社老。人道五徵仙。顧我昏愚甚。多承奬詡專。茅庵聯酒席。梅閣展書筵。談論竆朝暮。追隨許後先。衆皆勞齒舌。吾獨挹蘭荃。佇見神明佑。如何造物傭。可惜雙全命。翻爲二竪纏。鄕班虛上座。魚鳥盡交緣。舊榻餘黃卷。孤齋鎖碧烟。斯文今已矣。儒雅亦終焉。泉路雖云隔。聲華久益傳。哀章那忍寫。垂淚灑仙輧。</text>
<title>輓權敬叔</title>,<text>結髮從遊久。中年意益親。黌樓聯榻日。山院把杯辰。已矣今何及。天乎太不仁。重泉無限淚。慈母鬢成銀。</text>
<title>輓柳岐峯 復起 夫人</title>,<text>六禮初成日。宜家婦道全。蘋蘩陳楚豆。琴瑟理周絃。兒化三遷敎。鸞分一鏡圓。蓂輝忽遲暮。喬木鎖寒烟。</text>
<title>輓李泰叔</title>,<text>長逝人何限。如君最可憐。弱齡天不憗。身後事無傳。蘭雪驚人貌。鏗鏘絶俗篇。相從今已矣。揮淚問蒼天。風神灑落逈超羣。蘭室相從幾襲薰。千里京華同作客。十年黌榻細論文。人間夙佇鵬程遠。地下那知玉樹焚。哭向溫泉亭畔路。夕陽鄰笛不堪聞。</text>
<title>輓白 夢彪</title>,<text>聲華早冠羽林郞。佇見雲霄步武長。塞上橫戈千里外。禁中承渥十年強。誰知人事歸蕭索。便把功名墮杳茫。最是重泉無限痛。旅魂何處泣殊方。</text>
<title>輓朴判書 毅長</title>,<text>山西稱甲此門庭。戰伐飛騰應地靈。半歲江湖專鎖鑰。十年勳業耀丹靑。佇看東海金梁固。豈料南天玉柱傾。欲識重泉無限痛。北堂無復慰頹齡。</text>
<title>輓南進士 慶薰</title>,<text>蘭室論交二十春。暮雲尊酒後相親。誰知昨日連床話。更作今朝隔世身。慘見重泉埋玉樹。不堪鄰篴愴同人。眼前孤寡攀呼地。涕淚無從落滿巾。</text>
