<title>晩晴</title>,<text>疎雨下山足。輕飈行磵林。鳥遷高樹囀。人倚小樓吟。</text>
<title>次韻</title>,<text>一雨山城過。園林露氣深。風行翻野色。雲簇散朝陰。竊幸承淸範。誠欣貺德音。何能和白雪。拙句僅形心。</text>
<title>謾吟 二首</title>,<text>茫茫天地間吾軀。利義交爭肥與癯。蘊玉自甘藏一壑。揚名何必長千夫。山童只解懷棃栗。荊婦惟知怨賦租。階有竹君罇有酒。等閒時序等閒偸。鼠肝蟲臂反三隅。成毁難逃大冶鑪。俯仰自憐蝸室在。寬閒方覺外膠無。囱臨濶野茫茫遠。簷宿歸雲片片孤。客至莫辭留取醉。樽空更與細君圖。</text>
<title>夜吟</title>,<text>人愛荒廬鳥愛栖。扶疎林木繞東西。空庭月上微風𥂖。露壓篁煙滴滴啼。</text>
<title>荷花</title>,<text>重花疊葉擁池生。日射搖波碎碎明。風繞客衣香滿袖。獨憑朱檻古今情。</text>
<title>客居</title>,<text>面野軒楹豁。迎風戶牖凉。寬愁無竹葉。蘇病有荷香。此地雖淸絶。吾身是異鄕。還嗟池岸柳。衰怯望秋黃。</text>
<title>盆中。種烏竹，黃菊。</title>,<text>瓦盆分種菊而筠。列在囱前近一身。雨洗風搔添耿介。煙含月照更精神。淸香不向霜威變。苦節期爲雪裏春。堪笑此生成性癖。開襟日夕費吟呻。</text>
<title>春日。與諸友賞景。</title>,<text>芳草如煙春淡淡。澗冰初解水潺潺。雙壺倒旣人皆醉。不怕神靈雨暗山。</text>
<title>偶吟</title>,<text>雨罷雲猶簇。餘絲箇箇斜。翛然成午夢。獨自摘園瓜。</text>
<title>郊居</title>,<text>野老荒居萬木森。柴關不設碧蘿陰。濁醪沽取淺深酌。詩句探來長短吟。卽遣世情付雲雨。還將吾興託園林。籬邊更植淵明菊。歲晩風霜獨自任。</text>
<title>次權同知 山起 龍鶴鼓韻</title>,<text>昨日憑几之前。幸得見龍，鶴鼓諸公酬唱詩若文。實皆南國文章。瑰麗手段。如某末學薄才。何足附贅於其間哉。然不敢虛負勤囑盛意。敬步厥韻以呈。而直舍本意。卽以流離多苦中。反覆感德者。謹具荒拙焉。飄零爲客苦難評。祇幸鄰居仰老成。鳥竄去年頭僅抱。魚勞今日尾猶赬。常加勤恤恩偏厚。每顧疎愚愧不輕。龍鶴酬唱吾豈敢。短篇惟有寫衷情。</text>
<title>早發 三首</title>,<text>東歸將覲聽鷄發。僕病馬疲殊不前。十里已驚朝日出。促鞭猶被後人先。休言三上偏多作。更覺途中足穩眠。安得御風追列子。片時行盡十洲天。日出扶桑轉碧空。晨光先析衆星東。漸分白屋依山處。時便牧童橫笛風。草結露珠淸泂泂。煙棲柳幕翠重重。可憐滿目皆佳景。驕傑難輸拙句中。從他殘暑苦相侵。卽望庭闈喜著深。縮地不須諸葛法。倒行堪笑伍員心。天隨列峀高低接。日受浮雲遠近陰。宇宙百年吾已老。幾時能得定園林。</text>
<title>自歎</title>,<text>微月輝輝夜欲深。荒庭處處苦蟲吟。六年逐客饒愁思。三尺孤琴供好音。北極正臨天似玉。西風乍起節歸陰。浮生荏䒣將焉薄。人事蹉跎愧夙心。</text>
<title>螢火</title>,<text>雲天月落夜沈沈。螢火縱橫太自淫。腐草化生元不貴。孟秋爲令亦從陰。輝輝莫點衣衾上。箇箇宜栖枳棘林。吾病眼昏塵止卷。盛囊肯借汝光臨。</text>
<title>吾窩</title>,<text>自愛吾窩靜。端居寤寐宜。百年虧日日。一劒撫時時。歲晩松逾碧。天秋柳但絲。無人載罇酒。有興託新詩。</text>
<title>愁來</title>,<text>愁來輟讀枕書箱。思入唐虞萬古長。五敎至今將掃地。一時其柰屬微陽。浮雲偏向斜光合。秋氣先侵病客凉。回首北天風色暗。洛江波浪想顚狂。</text>
<title>秋日 二首</title>,<text>秋日荒荒著古槐。孤齋悄悄夕囪開。吾行卻曲途難進。歲序遷渝老易來。壯志昔年期某某。摧膓今日自回回。長歌一曲淸風起。滿目山河絶點埃。白帝行秋斗柄廻。乾坤日夜衆陰催。神鷹未擊雲邊鳥。雄劒空鳴匣裏苔。塵世儻應虛我老。皇天其肯產吾才。茫茫滄海鯨波惡。且待便風上席桅。</text>
<title>詠物</title>,<text>穩睡初開斗屋空。扶桑日漲小囱紅。乾坤夜濕天仙淚。草木朝翻海上風。靜裏一生書籍裏。閒中雙眼古今中。可憐無限英雄輩。事業虧成過若鴻。</text>
<title>謾成 二首</title>,<text>吾非不解浮名貴。亦解浮名是禍機。從古林間多自得。由來功下幾人支。泥塗不改神龜樂。鐘鼓曾看海鳥悲。隱几嗒然如喪我。白生虛室獨心知。非僧非俗又非仙。生間乾坤獨浩然。過懶自難容世態。朱愚元不受人憐。嶺雲潭月輸供養。竹露松風灑几筵。一味淡然誰識了。吾師妙道孰能傳。</text>
<title>詠道邊古木</title>,<text>日暮將軍樹。秋枯立左田。無雲龍起陸。有意柱擎天。雨打寧辭泣。風排尙不顚。居然近人事。駐馬久其前。</text>
<title>落照</title>,<text>透雲斜赤腳。映雨墜銀絲。獨鶴來邊隱。孤煙生處窺。村催砧杵急。山送寺鐘微。更有平林外。騎牛弄笛歸。</text>
<title>登全州南樓</title>,<text>愁倚危樓夕。春城萬樹煙。家鄕空北望。消息隔南傳。地窄身常困。天高志自堅。荊州王粲日。懷抱得吾先。</text>
<title>客愁</title>,<text>窣窣風喧夜。煢煢客抱愁。短衾難護足。敧枕不承頭。處世迷中道。謀身闕上籌。飄零南又北。羸馬亦應羞。</text>
<title>月落</title>,<text>月落天空星漢橫。秋光悄悄襲虛堂。囪間獨客愁無寐。卻伴蟲音近竹牀。</text>
<title>蚊</title>,<text>嗟爾爲生太細微。備名三百亦能飛。中宵聚族殊無忌。當午逃形小有知。毒觜幾貽身上苦。貪心忘卻掌中危。蒼蠅蚤蝨同情性。傷害吾人類若斯。</text>
<title>悲秋 二首</title>,<text>玉露宵零庭草團。村舂處處月中寒。江山又見秋光著。天地將何年少歡。白髮有期摧壯志。玄雲無限雜愁端。若爲借得羅公杖。共服姮娥兎搗丹。淸秋白屋正蕭蕭。地僻村幽絶世囂。雛燕隨風飛故下。老蟬含冷語無調。探詩有味吟常細。沽酒無錢債每遙。天地卽今霜欲降。可憐蘭蕙抱香凋。</text>
<title>秋雨</title>,<text>秋雨山河日。燒香草屋人。卽斟罇裏酒。且王靜中神。露沐疎篁淨。煙含密菊嚬。悠然供一笑。天地有吾身。</text>
<title>醉臥</title>,<text>醉臥看天地。分明是我籠。身爲千病主。心作萬愁叢。冄冄行雲北。悠悠流水東。狂歌正激烈。蕭瑟起秋風。</text>
<title>閒囱</title>,<text>閒囱俯野壓秋光。四面羣山承小堂。散合浮雲本無意。澄明逝水亦何情。靑天紫極夜常仰。白膝玄琴朝每橫。自笑狂夫狂且拙。但知杯酌託平生。</text>
<title>寓懷 二首</title>,<text>白水靑山朝日生。乾坤肅氣正崢嶸。那知谷霧興如墨。便遮天光使失明。有目凡民誰不仰。爭栖羣鳥自相鳴。杖藜歎息亦何補。泱鬱亂雲縱復橫。寒雨洗江山。淸飈行曲灣。愁雲懷落日。獨樹帶秋顔。杖策人扶病。看天路覺難。何須泛滄海。寂寂掩柴關。</text>
<title>自吟</title>,<text>庭前庭後皆秋草。中夜厭聞蟲語饒。無眠卻憶十年事。得句將題明日朝。雨打疎篁聲淅淅。風吹落葉鳴蕭蕭。此時若有一罇酒。枕上牢愁其敢驕。</text>
<title>謝客</title>,<text>老夫素病性過懶。朝起常須日上高。垢面時從碧澗洗。短毛每向明囱搔。地僻一身禮久廢。客來再拜猶爲勞。深情不在修邊幅。且共瓦罇新熟醪。</text>
<title>馬上 二首</title>,<text>旭日開天地。江山一眼前。遲遲羸馬足。望望故園煙。此路行偏熟。何年釋倒懸。牢愁排不去。悶悶滿胷塡。聽鷄戴月著吾鞭。冷露霏霏浥曉天。世亂惟聞歌出塞。時危誰是賦歸田。千般苦思詩中遣。八尺孤身馬上眠。堪笑此生知幾許。電然虛負廿餘年。</text>
<title>登廣德山</title>,<text>獨立千峯上。風行天地秋。眼遊靑海外。心著白雲頭。</text>
<title>得馬上 三首</title>,<text>霜落前宵客意悲。地空天濶鴈飛遲。蹇驢齕草時顚石。童僕行歌或誤歧。野水夕陽羣鴨得。山庄小碓一人宜。年年每月常由此。亂樹疎林箇箇知。山谿踏石馬蹄鳴。斂策徐行鳥不驚。煙樹遠連秋水澤。亂峯多傍夕陽城。每憑雙眼收詩興。期立孤身動世名。休道此生時已晩。姜公八十始鷹揚。歇馬依豐草。弭鞍傍石川。村空唯樹木。野寂斷人煙。國本今焉著。燈膏柰自煎。悄然興一嘅。揮策暮山邊。</text>
<title>謝飮酒</title>,<text>六年遷謫愁何許。今日因君得好開。太白縱斟罇尙滿。主人已醉客將頹。丹棃落席宜風過。碧樹當頭可月來。世事念來憂擾擾。不如排卻與塵埃。</text>
<title>怪風</title>,<text>怪風號起海波翻。萬竅齊咬地爲掀。白日無光沈曀色。病身多怯杜蓬門。柰何茅屋三重卷。幸是香醪一斗罇。罏爇麝蘭方寸靜。可憐今日此窩存。</text>
<title>晨興</title>,<text>晨興無賴坐燒香。暗筭吾生卽可傷。多亂世中逾二十。少間愁裏度尋常。空壺倒地蛛爲室。塵卷頹牀蠧自當。開戶仰天天漠漠。曉星殘月共蒼茫。</text>
<title>日日</title>,<text>日日霜風喚客愁。滿庭林木共颼颼。黃花有意須重九。時序無情迫杪秋。亂世形容猶獨困。殘生衣食未能周。年年這裏常經過。料得悠悠至白頭。</text>
<title>劒吟</title>,<text>嗟吾非爾將焉託。託爾平生亦可憐。脫匣精光斜隙月。發硎神色定何年。指天天聳霜花著。照鬼鬼驚秋氣牽。橫海巨鯨休踴躍。斬龍曾是入吳淵。</text>
<title>竹吟</title>,<text>玉立雙竿移遠根。近囱封植卻塵氛。固知操節凌嚴雪。且願千霄掃黑雲。風過爽連琴韻合。露啼淸入枕邊分。伶倫造律烏無罪。爲作參差斬此君。</text>
<title>題金星伯 應龜 六隱窩 二首</title>,<text>浪沫衝天作冷霏。孤舟漁父著簑衣。狂風欲起浮雲亂。爲報收竿不暮歸。特地幽深特地淸。羨君多福得天成。門當吳楚乾坤濶。囱近蓬瀛日月明。洶洶卽今人不定。閒閒唯有子無營。藏身未必爲眞隱。爲報須知吏隱名。</text>
<title>次金星伯</title>,<text>已識金星伯。殊非俗子羣。襟期冰出壑。生業月中罇。半世勤求友。他鄕獨遇君。秋風送我去。雜佩贈蘭蓀。</text>
<title>湖南道中</title>,<text>去歲頻爲客。今年又此行。祇緣身計拙。誰恨道途長。殘雪車山下。東風錦水陽。揮鞭吟有得。詩興破愁膓。</text>
<title>次謝鄭子修 時羽 贈煙茶</title>,<text>憂食不辭苦。強顔爲此行。淸封洵美異。深感故人情。</text>
<title>客中述懷</title>,<text>忽忽去千里。悠悠留一旬。風霜正搖落。宇宙幾酸辛。默計前程濶。仍憐歸夢頻。平生多少意。卒卒困謀身。</text>
<title>任拙</title>,<text>任拙竆難諱。收蹤俗不關。逍遙唯意適。散漫卽身閒。童稺呼能對。茄苽食滿盤。平生夢已覺。誰復枕邯鄲。</text>
<title>謾吟</title>,<text>蝸室無塵事。柴門掩夕暉。階花石竹靜。園菜土蓮肥。眼霧看書懶。頭霜攬鏡稀。時危唯有淚。天地此生微。</text>
<title>贈吳肅羽 䎘</title>,<text>情親仍地近。同病闕相尋。邂逅終今夕。談諧是宿心。風塵西塞警。歲月白毛侵。不飮知何事。杯行莫厭深。</text>
<title>次吳肅羽</title>,<text>苦業何曾撥。愁顔此暫開。凉軒宜五月。淥酒薦雙罍。勝會難重做。輕杯縱數回。新詩追白雪。欲和愧非才。</text>
<title>贈鄭釋之 涑</title>,<text>平生心事卽今寒。尙有剛膓滿腹盤。豺虎夜咆天地窄。卻收雄劒佩腰間。</text>
<title>贈三從弟宇寧</title>,<text>男兒學業在勤斯。早豈皆能晩不遲。用意旣專應有得。做名修己任君期。</text>
<title>次蔡用九 聖龜 韻 二首</title>,<text>寒天獨鶴暮知還。斂翮深林意自閒。月冷影留千嶂裏。風淸聲徹九霄間。旣同雲鵠凌空擧。肯逐庭鷄啄粟班。歲暮形容吾與爾。不堪惆悵鬢先斑。地僻交遊絶往還。契深風月與雲閒。極知名利塵埃裏。且寄生涯林壑間。陶令酒杯遺世累。劉安丹鼎做仙班。淸狂自是游方外。只愧纔窺管豹斑。</text>
<title>石南寺。次地主韻。三首</title>,<text>卽超塵臼立天中。玄圃蓬萊有路通。回望片雲溟海外。是知鵬怒擊培風。路細橫山足。泉寒響石林。秋風少雨後。落日亂雲陰。韋帶追朱紱。淸談雜苦吟。羣行隨處坐。歸夜莫言深。靜夜悄然坐。寒聲來近林。風霜正搖落。宇宙入竆陰。世事只長嘯。余懷空短吟。如何奮大劒。一掃塞氛深。</text>
<title>禮安途中作</title>,<text>獨驅羸馬向安東。山日浮雲起夕風。身似轉蓬千里外。計疎謀食百年中。路回峽谷疑天小。江滿平郊訝地空。隨處卽通吟更望。阮公何苦哭途竆。</text>
<title>九日雨</title>,<text>九日蕭蕭雨。拘人小屋中。末由勞兩腳。那得爲雙瞳。籬菊金初點。巖楓血始叢。悄然無意緖。敧帽任霜蓬。</text>
<title>黃昏</title>,<text>黃昏高閣坐超然。廓落羇愁悄悄焉。霽月欲生雲外白。栖禽已定樹中眠。偸安節序從他去。避地生涯愧數遷。爐錘不辭蟲鼠化。阸竆行止且隨緣。</text>
<title>送李子淵 澥 之任公州</title>,<text>爲報公山牧。治繩不可急。周詳審後先。事功方有績。</text>
<title>次贈吳斗南 挺一○四首</title>,<text>寄投佳句慰還驚。綺語瓊辭非世情。賤陋豈能當盛譽。麤疎自足得狂名。百年期待心猶在。萬事浮沈鬢已明。歲暮他鄕霜雪重。孤齋寂寂對梅兄。吳氏妙年骨法老。風流儒雅粹而明。蓮開泥澤色逾淨。玉蘊藍田煙欲生。一見疎慵意氣懇。三投篇什文章成。蕭蕭草路臨江迥。恨不追隨杖屨行。半世悠悠費日居。著工深愧古人書。文章不必男兒事。勳業何關夢幻餘。避地浮蹤今得所。依林卜築此來胥。同聲幸接高庄近。濡沫毋忘共呴噓。筆法文章互發明。閒情豪氣更縱橫。竆途末契得君託。不是乾坤虛度生。</text>
<title>登克敵樓。次吳肅羽韻。</title>,<text>登樓一嘯起長風。往事依然在眼中。雲月滿天霜露重。秋懷多少酒無功。</text>
<title>黃昏</title>,<text>黃昏超忽坐高臺。客裏羇愁此暫開。煙樹滿城春夜靜。數聲歸鴈月中來。</text>
<title>詠梅。次韻 二首。</title>,<text>縱爾金盤薦。看來意轉哀。孤芳難自久。衆卉卽相催。祇合幽人伴。偏宜靜室開。微風時入戶。冷蘂點餘杯。玉立冰魂一小梅。明囱茅屋對人開。淸香自與羣芳異。不受遊蜂戲蝶來。</text>
<title>丹丘洞。訪兪丈家。二首</title>,<text>日月丹丘靜。乾坤洞府開。芙蓉山四面。瓊玉澗雙回。虎杏宜千種。秦桃合萬栽。只愁苔逕在。重引俗人來。洞裏春無俗。溪邊客有家。苔斑錦著石。日靜暖生花。藜杖須常理。烏巾自任斜。興來隨處得。行坐紫芝歌。</text>
<title>次沈叔韻。呈席上諸賢。</title>,<text>晉代風流輩。沈冥數七賢。偶然松下會。俱是飮中仙。細草初鋪地。叢花欲照天。須敎團物色。爛醉屬吾邊。</text>
<title>偶吟 二首</title>,<text>放杖坐溪石。支頤到夕陽。風塵饑此老。景色惱他鄕。谷鳥飛猶懶。巖雲去不忙。物微元自在。吾柰獨棲遑。疎懶吾爲性。尋常俗所嗤。况當兵動日。重見國危時。盡室逃生苦。經春臥病饑。無知羡隰草。三復昔人詩。</text>
<title>秋思 二首</title>,<text>山谷僑居生事微。一年蓬藋掩荊扉。流光不爲男兒惜。天意無端世事非。溪上雙楓空自麗。林間孤月已多輝。他鄕物色傷心切。飄泊霜風未授衣。文殊南麓洞門幽。霜露淒淒屬晩秋。風景不殊吾土遠。人寰多亂此生浮。老妻補綻雙眉蹙。稺子啼饑衆口咻。賴有賦詩時自遣。一罇誰向破深愁。</text>
<title>夢作 末句覺後續成</title>,<text>自許好男子。誰知逢此時。摧心天北極。痛哭地東陲。禮義吾曾學。綱常國已隳。如何孔聖語。歎世欲居夷。</text>
<title>詠水中花巖</title>,<text>似虎負山伏。如龜臨水傾。證頑還欲媚。簪得一花明。</text>
<title>化寧</title>,<text>建峙嶺湖界。盤根尙報間。天低階可及。日近手堪攀。峽束鳴川走。雲藏文豹閒。棲身應有地。那得謝塵寰。</text>
<title>次韻 二首</title>,<text>燕昭昔築黃金臺。雪恥大勳由此開。欲有遠行從近始。如將秋穫必春栽。區區未補千瘡漏。汲汲誰扶大廈頹。袖手試看今日事。豈徒緣木後無灾。曉起歸雲宿滿臺。平朝日出遠山開。幽居雖自主人占。白業已從先祖栽。阮籍林高排俗累。淵明花秀制齡頹。書籤藥靜無事。淸福不曾人反灾。</text>
<title>盆梅</title>,<text>地底微陽動。盆中老榦知。看看珠漸重。箇箇玉全垂。倚竹魂逾淨。鄰燈影更宜。吾能斗屋裏。辦得小春私。</text>
<title>挽權遠遊 尙遠</title>,<text>講讀羣仙陪玉皇。君曾一字誤黃庭。人間酒煖來遊暫。天上樓成召去忙。無復出郊攜竹杖。有誰穿壑扣柴扃。風霜十月存亡別。恨入高雲結不颺。</text>
<title>遣興</title>,<text>不必功名貴。全生亂世稀。空庭拄藜杖。秋日靜柴扉。對案常開易。閑邪正在微。乾坤極寥廓。魚躍又鳶飛。</text>
<title>看雨</title>,<text>山頭一片雲。化作長郊雨。旣失水邊村。又侵堤上路。</text>
<title>草蟲</title>,<text>本以微音受命秋。羣居到處競啾啾。機中可促投梭手。牀下何催欲白頭。騰躍未逃供鳥雀。衣裳不必羨蜉蝣。淸霜十月寒宵永。寂寞空庭草屋幽。</text>
<title>蒼蠅</title>,<text>蒼蠅今日莫營營。天地前宵霜已零。從此白圭誰點汙。自然淸曉穩鷄鳴。嗟吾所惡元非一。念爾爲生最不平。吟罷卻將成短律。數行濃墨紙中明。</text>
<title>孤燈</title>,<text>斗屋乾坤容膝安。孤燈悄悄澹光寒。當囱恐受斜風滅。向壁元嫌病目酸。看劒自然增歎息。細斟誰與倒心肝。書空怪事知多少。長夜漫漫不肯闌。</text>
<title>仲秋玩月</title>,<text>明月今宵自古稱。天淸霜冷桂華澄。林光忽作千叢玉。水面翻成一帶冰。幾處壺觴人共得。此時愁恨我徒增。西方別後無消息。獨倚瓊樓第一層。明一作八</text>
<title>醉贈崔從事</title>,<text>杯至不須卻。杯含愁可寬。相逢千里外。肯惜一塲歡。</text>
<title>次崔從事韻</title>,<text>道舊宵光冷。開罇月色深。共垂憂國淚。俱結戀君心。明日雲山北。秋風洛水陰。憑君寄我怨。悄悄費孤吟。</text>
<title>上華山道中 二首</title>,<text>秋日乾坤淨。霜風草木黃。馬遲吟裊裊。川逝意茫茫。佳節今相迫。浮生但自忙。揮鞭向何處。華嶽晩蒼蒼。步入秋山暮。縈回渡㵎頻。漸分塵世遠。稍與白雲親。</text>
<title>重陽日。與友期會。雨不果。</title>,<text>今日重陽是。佳辰最一年。爲期山上會。難戴雨中天。烏帽風無落。黃花色自鮮。開罇還獨酌。寂寂倚囱眠。</text>
<title>醉贈兪丈</title>,<text>秋郊月露冷淒淒。惱醉歸來斗欲低。塵世一歡殊未易。肯辭煙路共扶攜。</text>
<title>霰雪</title>,<text>霰雪黃昏後。乘風散若沙。色隨荒草損。聲向竹林多。冷氣凌寒士。淸香乏桂花。擁罏知幾處。燒肉酌醇醝。</text>
<title>冬至</title>,<text>此日日南至。晨興望日邊。家家烹豆粥。處處羃炊煙。陽道從來長。陰爻漸次蠲。假衣春自至。凍者最欣然。</text>
<title>曉日</title>,<text>曉日扶桑析。紅光先我囪。擁罏排宿火。釃酒命新缸。閒意自來適。頑寒稍可降。三杯聊把筆。高詠擢詩腔。</text>
<title>將行</title>,<text>犬吠知將曉。松吟覺有風。不眠仍隱几。排恨正書空。欲越山川濶。還疑歧路竆。呼兒整馬勒。且待日生東。</text>
<title>秋夜懷人 二首</title>,<text>冷月霜光不禁淸。透簾凌亂玉零星。閒愁逐睡枕邊苦。詩句隨吟口裏香。砧響遠村風斷續。鶴驚前浦曉蒼茫。佳人自是無情者。更覺寒宵一倍長。般般梗塞事違心。冷夜寒衾一恨深。囪外細風猶有意。故驚殘葉學跫音。</text>
<title>夜雪</title>,<text>昨夕玄雲守坎精。曉來時聽折木聲。從知造物饒財貨。一夜山川遍玉成。</text>
<title>懷人</title>,<text>懷人枯恨最難支。正是晴囪月曉時。夢裏音容猶在目。覺來消息若爲知。關山雪暗鴈歸盡。江漢冰深魚報遲。塵世百年歡樂少。摧膓祗自有分離。</text>
<title>次景老韻</title>,<text>一放他鄕歲月深。弊居無復貴人尋。多君每帶閒中興。愧我唯陳病裏吟。雲雨本成翻覆態。漆膠元是結交心。今宵更做前宵樂。莫遣空罇月色臨。</text>
<title>復次前韻。贈景老。</title>,<text>至後乾寒一向深。驗豐無復雪盈尋。途竆每感高人意。才拙難酬郢客吟。異地剛膓摧別恨。故園梅蘂靳春心。分明片月中天色。亦照佳人枕上臨。</text>
<title>卽事</title>,<text>步出晴沙晩。孤吟倚石頭。天空山四立。郊迥水環流。魚鼈從容樂。鳧鷖自在游。時危人不若。對爾卻添愁。</text>
<title>義城途中</title>,<text>是石生應古。如吾坐歲多。頹然成小睡。欲去更摩挲。</text>
<title>至月南風</title>,<text>至月南風大怒來。勢掀山岳走傳䨓。長林古木紛紛倒。茅屋疎籬處處頹。冰釋野中行綠水。日斜天末蔽黃埃。扶藜獨立無誰語。卻向前除問臘梅。</text>
<title>無題</title>,<text>殘燈孤枕夜寒輕。不寐長吟到五更。堪恨東風來太晩。卽敎梅柳斂春情。</text>
<title>別</title>,<text>此日遠相別。他時逢未逢。離愁將白雪。撩亂匝回風。</text>
<title>遣懷 二首</title>,<text>庭有垂楊園有松。孤吟到處自從容。世間著足網羅密。林下收身麋鹿同。陶令一生修白業。謝公當日振淸風。至今埋沒終黃土。天地垂名空復空。風和日昭天地春。柳暗梅白溪山新。里巷遊兒騎竹木。原田臥犢披荊蓁。輕衣短巾合坐起。藜杖草履便逡廵。琴橫案上酒罇滿。莫閉柴門迎好賓。</text>
<title>雪行 二首</title>,<text>霜風吹日日西沈。路入山腰雪正深。正憶浩然驢背興。爲賡孤客郢中吟。分明禿樹寒鴉數。淸徹荒村夕杵音。齊主只誇宮室樂。豈諳遊興此中尋。漸漸經山雪。悠悠渡石川。寒威向暮酷。風力出郊偏。行役身常苦。艱危意不便。前途問短僕。尙指片雲邊。</text>
<title>次從弟韻</title>,<text>吾非仁者樂於山。自是風塵絶往還。明日一筇何處著。亂峯殘照水雲間。</text>
<title>普賢卽事</title>,<text>乾坤雪罷暮雲空。萬里江山入眼中。敧倚竹囱心悄悄。若爲雙袖御冷風。</text>
<title>次贈沈德祖 長世 宴席</title>,<text>笙歌迥起切秋空。玉斝金盤香霧籠。簪紱滿堂珠翠纈。風流應憶褐衣翁。</text>
<title>雪</title>,<text>漠漠頑雲重。浮浮亂蝶輕。隨風時入戶。見火或逃形。玉立千峯淨。花生萬樹明。歸僧知近遠。不辨但聞聲。</text>
<title>雪後</title>,<text>半夜盲風萬木驚。朝來雪色已崢嶸。峯巒總是陸郞立。松栢渾如秦士坑。獨鶴尋巢盤遠勢。雙童杖箒掃新晴。羣仙不必丹丘去。今日人間亦玉京。</text>
<title>夢仙</title>,<text>白玉重樓入望通。紫簫長短轉回風。茫茫歸路侵瓊海。天外彤雲鎖碧峯。</text>
<title>偶吟</title>,<text>屈腳聊盤坐。無言對老僧。山空松籟唱。燈暗月光承。物外宜疎放。人間有墨繩。煉丹頭已見。天路佇超登。</text>
<title>夢仙</title>,<text>半翳浮雲半碧空。羣仙冄冄出雲中。騎龍驂鶴各殊態。邀我共遊瓊海東。</text>
<title>夢龍</title>,<text>直立脩鱗可百尋。形如砥柱色如金。乘風驅電日邊去。唯見彩雲深復深。</text>
<title>夢虎</title>,<text>電目斑身色相雄。咆哮蹴踏嘯陰風。如何不向山林王。蜷跼安吾左袖中。</text>
<title>卽事 二首</title>,<text>松濤月色漲空山。半夜開囱體魄寒。不必煉丹勤苦做。居然身在玉京間。雪交明月正玲瓏。一眼乾坤萬里空。若爲輸此淸光去。負獻吾君紫殿中。</text>
