<title>山水吟</title>,<text>寒川流不休。蒼壁峙千秋。物性自無變。吾心如此不。</text>
<title>簡寄曺芝山</title>,<text>沉痾三月掩松關。款段來尋𢠢病顔。怊悵白雲千疊裡。離懷霜夜月同寒。</text>
<title>簡寄浩然</title>,<text>聞君往讀玉山齋。欽仰遺風意思佳。願見先生棲息處。無由撥病只增懷。</text>
<title>贈旅軒</title>,<text>南州高士旅軒來。病裡幽懷爲子開。欲看仙山眞骨相。九秋巖角更崔嵬。</text>
<title>贈芝山</title>,<text>炎天新墅遇閑人。不待佳期擬出塵。始覺病魔還有賴。秋深山水更精神。</text>
<title>復用贈旅軒韻。謝芝山問疾。</title>,<text>幾涉千山霜雪來。幽懷聊與病眸開。呂安命駕平時事。欽歎吾君信義嵬。</text>
<title>又奉芝山</title>,<text>沉吟頺卧古松天。蘿月娟娟幾度圓。夜靜山齋灘到耳。翻疑身在武陵烟。</text>
<title>次金內翰 大德 遊靑鶴洞</title>,<text>千巖競秀聳晴天。此地曾遊大遯仙。知有後身來化鶴。舊棲千載更蹁躚。</text>
<title>次金鶴峯過松生韻</title>,<text>偶入古松留逸跡。山增奇絶水增淸。看雲伴鶴眞吾分。休向瑤琴歎晩生。</text>
<title>蚊</title>,<text>黃昏暑雨鎖荊扉。蚊蚋驅群暗入帷。半夜始知尖舌苦。主人胡不愼防微。</text>
<title>秋日病吟</title>,<text>羸病淸秋獨掩關。故園雲隔幾重山。寂寥楓菊無人問。幽鳥數聲庭樹間。</text>
<title>此夜心</title>,<text>素志悠悠晩更深。擬將精進出儒林。居諸過逐優游裡。少壯那知此夜心。</text>
<title>路中二絶</title>,<text>行李間關曉雪天。細途氷滑馬難前。生涯白首何時定。南北春秋路半年。羸馬長途日欲殘。北風吹雪客衣寒。欝陵渺渺東溟外。皓首空吟行路難。</text>
<title>效退陶先生梅詩體𢠢槁梅</title>,<text>去歲長嗟菩蕾零。今春讒見一芽生。梅兄向我雖無憾。我向梅兄恨不輕。</text>
<title>槁梅答</title>,<text>開向東風又自零。荒村烟雨謾生生。相從節士眞吾願。榮悴由來一髮輕。</text>
<title>夢見郭存齋</title>,<text>訪我淹留久不回。宛如疇昔好懷開。故山無復平生友。應是精魂自往來。愔愔輕外一心開。和氣怡愉接應間。取義捨生君不憾。我思良友涕潛潛。</text>
<title>憶存齋</title>,<text>斯人逝去巷無人。美質和風久作塵。白首故山歸去日。滿江烟月一孤身。</text>
<title>憶日休堂琴應夾</title>,<text>奉養慈親要盡忠。怡怡和氣友子風。律身行事皆無愧。大筆宜書小學中。</text>
<title>梅月堂</title>,<text>七歲才華動邃旒。盛名還祟晦身謀。雖然行法循天命。何事沉迷到白頭。</text>
<title>在峴山擬遊楓岳。急於南還未果。</title>,<text>碧霄高揷玉芙蓉。雄秀淸奇甲海東。辜負靑鞵尋萬瀑。謾敎魂夢費春風。</text>
<title>擬見三日浦不果</title>,<text>四仙淸躅映千秋。寂寞湖山月獨留。自笑塵緣銷未得。烟霞全付大風流。</text>
<title>洛山寺望海</title>,<text>畫閣高臨大海頭。鯨波萬里接天浮。平生心眼甞嫌小。從此悠然上下流。</text>
<title>南淵</title>,<text>曾愛南山下碧流。三秋空費夢魂遊。偶乘霽景尋春過。依舊風光▣老眸。</text>
<title>夏夜偶吟</title>,<text>夜氣燻蒸暑不衰。老夫搖扇未眠時。哦詩欲散心中火。東嶺如何月上遲。</text>
<title>山居近大遯。寒倍他地。恐弱梅不耐寒。厚以蒿草。今朝開而見之。玉色依舊。喜而賦詩。</title>,<text>雪霜餘虐出山遲。芳信三冬苦未知。試拂孤梢生玉色。還如烈士脫艱危。</text>
<title>偶吟</title>,<text>蓬轉他鄕百事違。浹旬江雨苦霏霏。秋天欲暮微風起。雲鳥悠然各有歸。</text>
<title>偶吟</title>,<text>衰翁病卧氣如絲。瘦似天台老鶴姿。斥鷃不知心萬里。等閑猶作稻梁疑。</text>
<title>移檜</title>,<text>挺出窮崖抱苦心。嚴霜虐雪自能任。移根却害生生意。爭似初藏雲壑深。</text>
<title>移松</title>,<text>人言移植大偏傷。好大還移五尺強。欲速終敎生意少。方知助長害均忘。</text>
<title>移栢</title>,<text>一植堂前便有光。翻然緣葉轉凋黃。寸根無賴回生意。安得霜姿百尺長。</text>
<title>病梅</title>,<text>玉樹孤根自遠移。爭言芳信絶無期。幽人但解勤培植。此外榮枯造物知。</text>
<title>聞天兵不利</title>,<text>勇若熊貔盛若雲。東民方佇捷書聞。如何漢將無奇筭。不戒前車復喪軍。</text>
<title>憶兩舅</title>,<text>天質剛嚴制行高。和風習習溢冠袍。二難曾被陶翁許。士類均稱間世豪。</text>
<title>憶表從弟金達遠 垓</title>,<text>忠孝趍庭美習長。要將古禮潤文章。芝蘭欲茂香初動。誰道嚴霜早折傷。</text>
<title>憶亡友權定甫 宇</title>,<text>骨相偏宜草木衣。明眸玉面澹生輝。孤懷耿介超塵俗。白雪陽春和者稀。</text>
<title>皷巖松</title>,<text>千年翠壁托孤根。高壓淸潭地位尊。憐爾苦心同畏友。靈源却怕一塵存。</text>
<title>聽鵑</title>,<text>淸痾睡覺五更闌。聲入西窓落月寒。無限幽愁亂如醉。不知丘壑一窩安。</text>
<title>盆菊</title>,<text>平生愛爾如元亮。瓊蘂凋傷不忍餐。苦摻猶安盆裡土。任他山雨北風寒。</text>
<title>憶舊菊</title>,<text>窓外瓊葩爛熳開。霜天黃白映池臺。芳根已逐寒灰盡。小砌無人長綠苔。</text>
<title>憶舊梅</title>,<text>曾種寒梢竹外長。花開政好嗅淸香。如今幾樹能無恙。夢得羅浮隻影凉。</text>
<title>舊竹</title>,<text>千竿拂雪壓玄冥。玉立令人醉夢醒。別後數叢餘幾在。風霜不改舊時靑。</text>
<title>舊松</title>,<text>淸曉空齋一睡餘。濤聲寒透竹窓虛。孤根抵死猶凌雪。肯向荊榛不自踈。</text>
<title>溪邊</title>,<text>無限覊愁病着身。今朝開眼碧溪濱。盤陀白石明如雪。數頃玻瓈瑩絶塵。</text>
<title>偶吟</title>,<text>拋書獨卧古松棲。晝靜柴扉聽午鷄。一日偸閑眞一蠧。提撕誰覺此昏迷。</text>
<title>病未赴命</title>,<text>南警初收北闕憂。三韓氣脉始周流。况蒙雨露沾枯草。瞻望鵷行愧滯留。</text>
<title>登草堂</title>,<text>楊柳迎春始向姸。綠溪氷解水涓涓。回看百物含生意。𩿨鷺翛然過暮烟。</text>
<title>夜聆石灘</title>,<text>山齋淸晝未曾聞。入夜寒聲撥宿雲。主靜微言方自省。眞源瑩徹絶塵紛。</text>
<title>伴鶴吟</title>,<text>窮山千疊卧幽人。萬事悠悠一點塵。吟罷唐詩更蕭散。白雲靑鶴自相親。</text>
<title>偶吟</title>,<text>霽空森列玉峯巒。借問瀛洲第幾仙。泥竈鍊丹多費力。爭如高卧白雲閑。</text>
<title>松生述懷</title>,<text>漂寄煢煢獨離群。繽紛世事寂無聞。鷄能報曉鳴殘月。鵑爲思歸叫白雲。木落窮山松自秀。霜嚴空谷蕙猶薰。橫渠尙有淸朝戀。况際干戈敢忘君。</text>
<title>次李浩然草堂吟</title>,<text>十數奇峯競秀南。依山俯水架茅菴。雲栖翠栢濃如畫。雨過深潭色奪藍。靜夜高吟出林月。淸晨不厭入簷嵐。只應默會幽貞味。覽物題詩亦費談。又芷渚蘭臯作一藩。幾重雲水隔塵喧。龍潭宿霧連虛榻。遯麓飛泉過小園。十載沉痾猶閱簡。一生眞樂獨關門。欲知二樂精深趣。只在吾心不在言。</text>
<title>昔余甞遊雙溪書院。見寒暄先生古屛。其一幅畫雲山千疊。茅屋數間。中有幅巾端坐手閱芸篇者最愛翫。久而不忘。今適避兵入古松生。一日朝開卷闢窓。山中景物。與昔畫裡所見。宛然相似。遂吟成四韻以遣興焉。</title>,<text>曾見寒暄畫屛裡。雲山蒼翠幾重深。千巖凈界三間屋。一軸遺篇萬古心。當日摩挲常愛翫。今朝彷彿此登臨。老來喜得林泉勝。竟夕開窓對碧岑。</text>
<title>病中簡寄寒岡老兄</title>,<text>漂泊風塵白首迴。政如遼鶴獨俳佪。溪山寥落猶依舊。親故凋零邈不回。收斂靜中應畢業。頺衰病裡愧無才。豎兒尙未移初志。路脉要須爲我開。又鴻洞兵塵隔十年。鬢絲垂白眼花玄。嶺東作客腸回九。漢北憂君路幾千。無用腐儒何補國。有懷先哲莫齊肩。沉綿未暇尋凾丈。獨立西風倍悵然。</text>
<title>贈旅軒</title>,<text>懷君蘭佩渺冥冥。秋月愁看三缺盈。衰病空催雙鬂白。逢迎忽覺兩眸靑。韞荊素璞人難識。在序大鏞誰會聽。涵揉偏心方入道。直將嘉誨肺肝銘。</text>
<title>次淸遠亭主人韻</title>,<text>羈懷長向此中開。一日寧辭十百回。雲捲四山晴露䯻。壇浮千頃瑩無苔。身閑頓覺幽貞味。境勝時醺野老盃。更擬空明看夜景。等閑要與月同來。</text>
<title>甲辰二月十七日夜夢。見亡友郭養靜。歡若平生。養靜詠詩云靜養天眞水石間。相與吟哦。及覺餘悲悽然。涕流枕上矣。</title>,<text>氣味相同臭若蘭。源源團聚自歡顔。吟向綠荷爲勝賞。行逢流水發長嘆。雲山卧病頭催白。樑月思人骨已寒。七字纔成春夢覺。空餘涕淚枕邊斑。</text>
<title>挽金東岡 宇顒</title>,<text>獨抱天香不自鞱。仙禽初奮九霄毛。司圖夢罷關河遠。杜甫征餘虜祲高。短髮丹心陸奏議。感時危涕屈離騷。可堪遺直云亡後。國是綿綿細若毫。</text>
<title>挽鄭相國 琢</title>,<text>溫溫天分德之基。凾丈曾薰晩隱師。臺省猶存蔬屩志。友僚能取講磨資。䆠成台鼎恩榮重。歸老田園歲月遲。非是偶然兼壽福。云亡空使我心悲。</text>
<title>讀梅月堂集有感</title>,<text>美珠藏櫝老禪林。便是西山叩馬心。一世風塵爲別界。萬山松月卽知音。自能守義甘薇蕨。不獨成仁在弁簪。最惜六歌詞政苦。悄然寒夜更悲吟。</text>
<title>病起登草堂。吟寄芝山。</title>,<text>一身生意共春還。魚鳥風烟識舊顔。氷解鶴巖添玉澗。雪留松壑潤靑山。偶逢雲衲談楓岳。剩起高情出世間。衰暮方知山水趣。悠然勝似少年閑。</text>
<title>奉趙月川</title>,<text>遙憶先生卧月川。陶山之下易東邊。堂臨秋水凉生榻。松護柴扃露滴篇。匣裡瑤琴含太古。櫝中良玉付皇天。幽貞道義人爭仰。只願神明假百年。</text>
<title>詠懷</title>,<text>多年危疾業逾踈。况又干戈萬死餘。回首初心恒惕若。流光白髮尙紛如。硏經東海甘咬菜。病暑窮山獨閉廬。道遠何須愁日暮。要將舊習十分除。</text>
<title>病裡敬次退陶先生韻</title>,<text>心期其奈白頭何。數月捐書擁舊痾。寶鑑去塵方出彩。淸泉遇石亦生波。年光荏苒來無幾。義理精微索愈多。肯分衰慵弛此志。坐令功業竟蹉跎。</text>
<title>憶舊遊。奉寒岡老兄。</title>,<text>洛水縈迴倻嶽盤。從遊麗澤善相觀。一生懷抱金蘭契。千古風流洛社歡。勝餞已空江月在。佳朋半逝隴雲寒。孤鴻獨叫東溟岸。回首當年鼻欲酸。</text>
<title>溪堂漫興</title>,<text>殘年高卧樂飢時。勝賞悠然秪自知。鳥不知名山更靜。魚非縮項分相宜。雨經碧澗寒聲遠。雲入遙岑變態奇。凝斂精神勝妙劑。除痾何必覔秦醫。</text>
<title>次鳳臨臺盧蘇齋韻 臺卽晦齋先生所築</title>,<text>聞道梧桐臺上老。昔年威鳳此棲遲。覽輝盛世初呈瑞。斂翮虞淵不偶時。影斷朝陽餘韻格。月涵秋水照心期。泣獜東魯無窮意。靜夜空山默契之。</text>
<title>醉奉守愚堂 崔永慶</title>,<text>偏荒獨立謾搔頭。恢廓秋空百尺樓。浩浩風雲閑裡捲。茫茫宇宙醉中收。一生肺肝能消吝。千古心期足解愁。半世悠悠今始覺。分明義理脫庸流。</text>
<title>憶南義仲</title>,<text>辛勤撥病讀朱書。振袂中年發憤初。陋巷簞瓢眞樂足。享衢名利點雲虛。倘令天假斯人壽。便見學臻先哲居。旣降美質還早折。那堪追憶淚沾裾。</text>
<title>挽鄭西川君 崑壽</title>,<text>譪然忠孝出中情。一體君親盡赤誠。名利塲頭知定分。風奔波裡守孤貞。淸貧任却家人困。踈坦從他世路輕。精意格天何所見。九重哀色動秦城。</text>
<title>憶亡友李晬然</title>,<text>衆卉逢春翠色同。方知堅脆雪霜中。孝親喪節危▣苦。友弟良心困益隆。寶樹生庭多善慶。芳隣接屋𢠢覊窮。茫茫神理終難詰。老淚漣如立晩風。</text>
<title>再次淸遠亭主人韵</title>,<text>風塵何處好懷開。不耐愁腸日九回。遺址有臺臨綠水。舊磯無席藉蒼苔。盤中霏雪凉生肺。林底傾醪爽入盃。濯盡機心同物我。任他鷗鷺去還來。</text>
<title>輓詞[旅軒張顯光]</title>,<text>吾人事業孰知眞。耿介惟公立得身。取舍胷中明玉石。是非天下判齊秦。行當果處泉三峽。守可貞時嶽八垠。生順死安公豈憾。只令孤友淚沾巾。又人于季世子有古人風。世難其人兮我於公得。禀受之厚兮氣質本美學。問之正兮討做益篤。俗業之外兮知有大業。日用之間兮見夫天則。自珍其身兮禮義廉耻。高尙其志兮關閩濂洛。行敦孝友兮人無間言。名著遠近兮己常謙屈。善人之善兮蘭蕙襟帶。惡人之惡兮芒刺背脇。論議氷霜兮懦夫竦肩。操守鐵石兮賁育難奪。黑綬金章兮寧得我縛。山冠野服兮雲畔自逸。惠不及民兮愛在朋友。躬遯一時兮令名無極。丈夫何必兮得時行志。生惟無愧兮死亦無怍。</text>
<title>輓詞[寒岡鄭逑]</title>,<text>與君小少同鄕井。識面從來五十春。漸入有如啖蔗境。同心政似斷金人。切磋愧我姿資鈍。直諒多君德義醇。隔濶還成泉壤別。朝天長途淚霑巾。周山聞道結精寮。此意知君遠世囂。靜裡想多深造妙。百年寥落恨難消。亂雲深處我誅茅。靜坐難堪憶舊交。一笑未成君逝去。從今誰復决疑爻。朋友俱零落。相觀事奈何。每思恭叔雅。長憶伯愉和。養靜忠難並。松菴義最多。東岡直誰似。季郁貞不磨。而子敦淸介。伊余賴切磋。胡爲今又逝。老淚獨懸河。</text>
<title>輓詞[芝山曺好益]</title>,<text>未必尊兒女。山林空寂寥。徒能鑽古紙。誰復着寒貂。已矣斯文重。嗟乎吾道交。從今流水耳。箏笛更相憭。</text>
<title>輓詞[延陵府院君李好閔]</title>,<text>志海堂中見德凝。當時司圃屬新徵。風神山野無他相。論議西南正得朋。避地靑陵生事薄。耽書玄晏道腴增。汝陰名士今誰在。欲奠鷄綿遠莫憑。</text>
<title>輓詞[前府使朴而章]</title>,<text>淸似氷焉溫似玉。驥之子也鳳之雛。靑年脫俗從吾好。白首潛心味道腴。正直忠言干北極。丁寧聖筆曰南𠍶。如何一疾神難測。痛哭斯人已矣乎。向來揮淚問君棲。山自周遭水自西。山水依然人不見。至今膓斷有餘悽。金玉佳君子。鷄中獨鶴鮮。淸標度白雪。高義薄靑天。嗜學功彌篤。持身德不愆。浮沉人易化。終始子能全。愷悌由天植。精誠出自然。剛膓還嫉惡。確論更無偏。庸暗慙吾劣。高明服弟賢。猶同分義密。何異漆膠堅。我住倻山下。君居洛水邊。每逢靑眼兀。時憶素書翩。亂世飄零久。危途性命延。別來曾幾日。筭了已多年。出守丹陽地。孤吟碧海堧。幽栖幸不遠。好會豈無緣。準擬尋新卜。相將話舊悁。那知朝露溘。忽入夜㙜玄。辜負平生契。難堪涕泗漣。森容今已矣。何處更逢旃。風雪關山遠。悲凉旅櫬還。題詩聊永訣。悽斷不成篇。</text>
<title>輓詞[琴應壎]</title>,<text>童穉來烏社。英姿出衆前。收心功已熟。養性德何全。守拙安吾分。無營樂彼天。怯寒難執紼。南望淚如泉。</text>
<title>輓詞[畏齋李厚慶]</title>,<text>苞岳峩峩儲淑奇。溫溫鍾此哲人姿。學由誠敬平如準。功造知行道似砥。憂世格言開晦塞。愛君章奏動丹墀。金蘭昔日論心契。已矣無從質我疑。</text>
<title>輓詞[任屹]</title>,<text>哀叫天無語。天心未可知。生賢元不數。降禍又何奇。絃絶琴空匣。鴻飛迹在湄。西風呂虢淚。今我亦頻垂。幽蘭在空谷。靑靑而郁郁。天賦唯馨德。絶無一點俗。荊棘芒刺多。觸來香愈酷。桃李媚雨露。蘭其羞自鬻。淸風一洒拂。閶闔遠蜚馥。人或謂不芳。鼻塞眼亦肉。藏之深復深。切磋彼淇綠。小草有遠志。誓欲永薰沐。摧折太無端。慟哭猗蘭曲。</text>
