<title>秋日。送人赴關西幕。</title>,<text>迢遞關山路。蒼茫樹色秋。河橋相送罷。擊劍有餘愁。</text>
<title>乙卯夏旱乾太甚。且邪論熾張。判府事金▣▣投箚見斥。口占一首。</title>,<text>渤海風濤怒不平。奈無舟楫濟蓬瀛。何當更激千層立。永洗中天大火明。</text>
<title>將向越中。聞禹卿遠來訪。留書而行。</title>,<text>秋風忽憶越江魚。兼愛霜楓錦繡如。今日怱怱深峽去。臨行聊寫故人書。</text>
<title>丁未秋夕。哭李無何墓。</title>,<text>無何身世寄泉臺。弟子情深酒一盃。哭罷空山秋色裏。晩天疎雨洒餘哀。</text>
<title>自茂長罷歸時。寄冬栢亭主人。</title>,<text>南來北去太怱怱。人事天時不語中。遙想海門相對處。滿山春栢笑東風。</text>
<title>驛亭秋思</title>,<text>秋盡溪山錦葉飛。驛亭疎雨灑霏微。遼憐故峽東籬菊。晩保淸香待我歸。</text>
<title>春日行</title>,<text>子䂓啼裂空山色。處處花明春寂寂。摘花兒女傷春心。鬂揷山花歌一曲。</text>
<title>罷茂長。謫廣陵時作。</title>,<text>三年春賞廣陵花。芳草天涯夢裏家。休說榮枯前後異。邑名元是古長沙。</text>
<title>次遯谷韻</title>,<text>唫筇來叩子眞家。夢罷松壇掃落花。山酒水魚留遠客。臥雲滋味亦云奢。</text>
<title>杜鵑次韻</title>,<text>西蜀音書絶鴈魚。南來歲月幾羊猪。空山到曉聲聲血。添洒前村雨一鋤。</text>
<title>關東客舍。留別鄭進士期遇。</title>,<text>相逢未遠卽相離。正是庭槐葉密時。怊悵關雲回望處。女娘爭唱鷓鴣辭。</text>
<title>村家卽事</title>,<text>白蝶飛飛黃蝶隨。菜花蔬葉暎疎籬。禿頭老叟閑無事。笑坐簷陰弄小兒。</text>
<title>在密城時。聞暗行睦 林一 過去。戲作。</title>,<text>昨夜深林一虎過。來從何處去從何。行行不解藏蹤跡。報道今朝北渡河。</text>
<title>麗朝鄭知常大同江詩。爲西京吟咏之最。其後客與平壤倅有素者。還京時。餞別江滸。酒薄如水。又不攜妓。客戲笑曰。主有添酒之水。客無添波之淚。大同江水將不日盡矣。仍作西京絶倒話本。余聞而戱次鄭韻。</title>,<text>漢陽歸客別懷多。地主風流厭醉歌。乾盡浿江知不日。淚無添水酒添波。</text>
<title>早春。訪徐國益不遇。戲題盆梅。</title>,<text>客來問汝寒梅樹。素質如何尙未開。知得主人無好意。却將春色故遲回。</text>
<title>次趙無爲韻</title>,<text>蒼茫曉日初窺海。回首乾坤擧世眠。可笑東西南北客。不知天外更無天。</text>
<title>客中</title>,<text>寒風號木雪紛紛。山郭烟沈日欲昏。立馬斷橋西畔路。偶逢樵子問前村。</text>
<title>燈火呼韻</title>,<text>烱如明月挂天彭。看釰挑時擬斬鯨。只恐破牕風易滅。更將爐火疊灰坑。</text>
<title>博奕呼韻</title>,<text>兩將相分部伍三。六師頗似戰于甘。誰知爭道春官戲。禍起吳王煮海塩。</text>
<title>與諸益遊林湖呼韻</title>,<text>客來問汝林湖水。千古騷人閱幾何。今日文星相聚地。却添形勝十分多。</text>
<title>戲和唐詩瑤池之作</title>,<text>瑤池一罷白雲歌。八駿廵遊問幾何。千載周王來不再。十洲佳景也應多。</text>
<title>乙亥冬十月庚戌夜。魂交而見周公乘巨艑。來自荊楊。泊於合江處。面尺所。皓鬚長而茂。體甚魁偉。氣像雄渾。說道享年今千有八百。偃蹇正坐以接余。余乃以金，銀，玉各三片及文錦一段，粟米一箕。敬跪而陳于前。慇懃致意而形開。想其彷彿。心事惝怳。因口占一詩以記之。</title>,<text>分明昨夜夢周公。老髮魁顔氣像雄。瞻望停舟將幣寶。片誠千古暗相通。</text>
<title>淸虛樓。次韻。</title>,<text>翠壁依依擁廢樓。石泉靈釀斷春流。舊時征鴈驚新月。影落澄江作釣鉤。板上。有新月鴈驚彎之句。故云。</text>
<title>次蔡子雨拾橡韻 乙亥</title>,<text>空山橡栗隨狙拾。爲是西疇未穫秋。聞說上林收二斛。彩眉猶帶萬靈愁。是歲。上閔生靈。拾上林橡栗二斛。下賑廳。</text>
<title>訪李一卿</title>,<text>龍峰晴曉白雲飛。一片寒光逈襲衣。聊慰茂陵多病客。却尋來路著鞭歸。</text>
<title>暮春見盤松釣魚</title>,<text>松湖春盡綠生波。卷葉參差出水荷。垂釣夕陽非取適。就中惟喜得魚多。</text>
<title>贈鄭秀才 鍵</title>,<text>柴門秋後閉荒凉。不見黃花晩節香。適有村朋攜酒至。始知今日是重陽。</text>
<title>暮春偶吟</title>,<text>雨打殘紅散作泥。惜春仍賦送春詩。多情最是南園蝶。尙戀餘香護晩枝。</text>
<title>南山寺。雨後次韻。二首</title>,<text>臥聽山僧報曉更。夢回幽鳥喚春聲。開牕知有前宵雨。澗草庭苔翠欲生。僧語依依覺五更。壑風吹送雨餘聲。朝來試看靑山色。春意分明一夜生。</text>
<title>次徐大諫韻</title>,<text>新居幽寂逕開樵。門對靑蕪雨後郊。巾幘日高慵不著。客來休向子雲嘲。</text>
<title>咏庭梅</title>,<text>雪中香信杳無因。憔悴年來怨主人。可惜托根非爾所。杏花開後始爭春。</text>
<title>贈徐進士</title>,<text>靑衫司馬達城人。傳得家聲第一新。看取魁星添四處。卯年長占杏園春。徐家十世。四魁司馬。皆占卯年云。</text>
<title>麗末。全成安爲水州守。作蓮榭。牧隱爲記曰。異日穡也功成乞退。過斯邑。若値荷花開時。必停車上亭。以續吾比記而後去。大明天順癸未。閔孝悅爲此守。重修其樓。命名雲錦。申叔舟作記。又其後甲午春。權踶與趙克寬，權克和，金墩。俱下第南遊。到此亭。踶極言亭之佳趣曰。後之日細雨濛濛。飛雪霏霏。明月入簾。荷香滿座。當此之時。與二三子。嘯詠於斯亭之上。亦足以償今日之行矣。諸公笑曰。雨旣濛濛。雪不當霏霏。雨雪交作。月不當明。荷花又豈雪中得乎。踶無以應。其後諸公俱擢嵬科。敭歷中外。而趙克寬爲玆州府使。踶爲方伯廵到曰。荷花盛開。仍與之話夙昔而笑破。踶作序以誇之。不佞乃於甲寅夏。以史官奉命南行。留宿水縣之客舘。後五年戊午夏。又私過此地。路遇大雨。暫避于客舘之門。沾濕行裝。頓異前後。未知何時。更遂牧隱之志。而以繼權踶誇張之序耶。因次壁上薛文遇詩韻。聊遣其懷。</title>,<text>前度遊人今又至。兩邊荷柳半欹風。何時雪月重遊此。笑話池塘夙昔翁。原韻荷葉亂鳴欹枕雨。柳條輕颺捲簾風。謫來到處江山好。萬事皆從失馬翁。</text>
<title>大駕親臨。弔寅平公主。</title>,<text>花殘沁水有樓臺。玉座高臨素幙開。日暮東風龍淚落。化添疎雨洒餘哀。是日雨未故云。</text>
<title>懷友人</title>,<text>硏朱頻點伏羲書。始見心源是太虛。聊想城南岑寂處。茂陵秋雨臥相如。</text>
<title>次李一卿廣陵述懷韻</title>,<text>百濟城荒秋色來。不堪詩思客中裁。笑佗身世還多事。黃菊開時眼未開。原韵。有可料重陽逢馬上。菊花今歲莫須開之句。故云。</text>
<title>次洪南原叔範韻</title>,<text>郵亭春晩雨沾衣。送別歸來獨掩扉。遙想令公南到後。一竿間坐舊苔磯。</text>
<title>題香山</title>,<text>行裝新自妙香還。又逐春風住藥山。詩到烟霞猶滿紙。此身如在杳茫中。</text>
<title>次申堤川 孟慶 㫌閭韻</title>,<text>孝感何異蝟與魚。王申行蹟古今如。後人欲知當時事。請看雲溪壁上書。</text>
<title>次櫻桃韻</title>,<text>海上珊瑚子。蓬仙獻月宮。姮娥笑戱擲。飄散桂秋風。</text>
<title>冬至</title>,<text>斗極中宵動。天心復見初。日躔南陸御。風化北溟魚。神戰陰陽陣。雷藏顓頊墟。箇中觀物理。從古有星書。</text>
<title>贈洪叔範</title>,<text>豆浦流爲漢。終南聳似廬。中藏萬古宅。坐閱百家書。麗日宜朝暮。閒雲任卷舒。須將故人酒。相好莫相疎。</text>
<title>次鏡雲亭板上韻</title>,<text>客上高亭上。亭閑雲鏡開。池平前夜雨。花發古人栽。落日琴三疊。春風酒一盃。有情錢島柳。烟外舞低徊。</text>
<title>花巖釣魚</title>,<text>愛此溪上磯。垂竿倚落暉。絲搖魚聚餌。人靜鷺忘機。倦擲時移坐。耽看久不歸。忽驚山雨至。顚倒覔簑衣。</text>
<title>次權友 揆 韻</title>,<text>獨坐掩柴門。渾忘塵世論。洞深人不到。樵返逕猶存。遣興仍長嘯。吟詩自永言。春來聞嗑嗑。好笑幷蛙尊。</text>
<title>癸亥初夏。閔愼自京來訪定原。因與同往箕城。送別還京。</title>,<text>相逢定遠城。相送西京道。楊柳蔭初齊。薔薇花已老。驛亭沽酒盡。遠客歸情惱。分袂各東西。馬蹄迷碧草。</text>
<title>次諸友遊香山韻</title>,<text>聞說仙人宅。今成釋子菴。神檀依舊蘖。淸露灑新甘。壁立懸長瀑。天高直翠杉。知君留物色。他日復吾參。</text>
<title>魚川驛舘 八詠</title>,<text>野水分雙碧。村童課捉魚。網隨輕浪閃。鱗映晩沙虛。亂逐靑蒲外。爭收白鷺餘。入厨屢腥俎。添味勝園蔬。右前川打魚雲霽空山色。鷹隨野雉飛。影高看杳杳。鈴遠響依依。快擊秋風疾。忙飜霜葉稀。喧呼不覺暮。林外夜深歸。右越林放鷹月出爐峰外。虛明生紫烟。新光連野濶。冷影入庭圓。雲破空山靜。天高素練懸。幽棲猶曙色。驚鳥不成眠。右爐峰新月迤邐靑山麓。層巖景最奇。苔斑雲錦落。松老畫屛移。偃蹇風霜古。岹嶢氣勢危。支頤看不厭。日暮閉牕遅。右蒼峴奇巖危峰松檜欝。蒼翠及天高。秀色晴猶濕。幽禽晝自號。月懸添爽氣。風落聽波濤。歲暮排寒節。誰加剪伐勞。右絶嶺松檜遠壑晴猶濕。烟嵐積翠低。樹深濃欲滴。山晩斂還迷。靄靄藏樵逕。依依失鳥棲。眼看朝暮色。半雜嶺雲齊。右遠壑烟嵐隔岸溪流急。雷喧觸石波。雨微風便穩。幽處夜聞多。斷續松聲合。高低人語和。不成沙鷺夢。驚起向山阿。右隔岸灘聲峽裏開平野。居民散作村。桑麻疑杜曲。雞犬似桃源。舂急風前響。煙沈日暮痕。疎籬明夜火。人語入厨喧。右曠野村落</text>
<title>次統軍亭金相 錫胄 韻</title>,<text>地盡人愁路。天寒酒滿甁。限南惟巨塹。雄北只高亭。去日燕山白。來時薊樹靑。前期知有定。春夢怳然醒。</text>
<title>寓楊江時。次隣友韻。</title>,<text>客住龍門下。東風二月時。興添村舍酒。愁遣友朋詩。可惜生涯拙。堪嗟賦命奇。分明佗日事。惟有彼蒼知。</text>
<title>聽篴次韻</title>,<text>玉笛聲幽咽。江樓入夜淸。初和孤鶴唳。更奏蟄龍鳴。石裂山俱響。雲開月轉明。仙區添勝趣。渾失去留情。</text>
<title>大雷雨。次杜韻。</title>,<text>大雨飜盆注。屯雲響疊雷。疾驚天宇裂。雄轉海門回。五岳掀空拔。三垣接地來。乾坤開霽後。安否問瑤臺。</text>
<title>乙亥九九。登于勒臺。</title>,<text>暇日仙臺上。憑虛瞰綠池。水深龍臥宅。松老鶴棲枝。白酒黃花節。空山落照時。良辰足可惜。歌月醉歸遲。</text>
<title>次李秀才崇鎭韻</title>,<text>室虛生白色。庭雪洒霏霏。境僻誰尋跡。天寒獨掩扉。壑風扣竹亂。山日入雲微。靜對幽簷影。耽看宿鳥依。</text>
<title>次李秀才恒鎭韻</title>,<text>無人常獨坐。多病抱閑愁。自阻靑雲路。難登白雪樓。虛心能照物。世事莫招憂。欲採仙山藥。歸程夢裏悠。</text>
<title>偶吟</title>,<text>睡起開窻看。炊烟已報朝。日高雲正散。春動雪初消。物理知亨泰。心源見寂寥。湖山幽興在。生計付漁樵。</text>
<title>次李一卿客中秋夜述懷韻</title>,<text>倍覺霜宵永。何曾客睡成。天荒溫祖宅。月苦廣陵城。葉落忙秋響。雞寒短曉聲。孤吟展轉思。直坐到天明。</text>
<title>廢寺次韻</title>,<text>野田有廢寺。年紀遠無徵。屋老金三像。庭荒塔數層。寒天吟過客。長路禮歸僧。莫問消沈事。相傳只一燈。</text>
<title>次李一卿杜陵村韻</title>,<text>江山重涉險。休馬問前村。境僻時迷路。人稀晝掩門。草靑燒後色。沙白雨餘痕。海客題名處。殷懃共石言。</text>
<title>洛中秋懷</title>,<text>判事與通禮。官銜無等差。屢遷頻肅謝。依舊滯京華。夜久唫邊月。秋深夢裏家。自然歸計誤。頭白愧烏紗。</text>
<title>贈別姜懷德叔久</title>,<text>彭澤休官計。蹉跎竟未成。板輿纔北返。鳧舃又南征。日暮風號木。天寒雪滿程。遲遲漢水渡。誰識此離情。</text>
<title>次姜叔久韻 二首</title>,<text>故人南去後。心事着吟哦。戶響風生竹。堦平雪滿莎。絶遊非謝世。多臥類沉痾。想望雲間舃。何時更北過。歲暮城南客。思君時一哦。亂風寒折竹。深雪凍埋莎。隱几獨看化。擁琴長臥痾。心源仍寂莫。不見有人過。</text>
<title>陪大駕及中宮殿。行廟見禮。</title>,<text>聖代欽周禮。儀陳太廟前。翟衣明曉日。龍盖下春天。拜跪雍容際。精靈陟降邊。宮闈增大慶。錫福享千年。</text>
<title>次金進士訪友不遇韻</title>,<text>偶然入城市。仍訪故人棲。白岳連天雪。三淸出洞溪。來時看宿鳥。坐久聽晨雞。漫帶山陰興。沈吟鳳字題。</text>
<title>贈姜叔久</title>,<text>彭澤歸來後。文園臥病初。情懷舒未得。消息問何如。月白城南夜。花紅漢北廬。只愁徒步去。休恠故人疎。</text>
<title>次朴一和韻</title>,<text>遠上風生腋。身如化蝶莊。花濃亭苑靜。雲破海天長。草坐尋春客。廛歸販寶翁。莫非爭歲月。猶自說閒忙。</text>
<title>又次一和韻述懷</title>,<text>莫問猶龍老。誰知化鶴丁。人生眞一夢。大藥豈千齡。世事頭空白。春風草又靑。眼看時序易。吾欲醉無醒。</text>
<title>登亭有懷</title>,<text>登亭雲景好。把酒對江山。遠望靑天盡。高吟白日閑。遲遲滯京國。杳杳隔鄕關。雨後春波濶。擬將一棹還。</text>
<title>次李友鳳齡韻</title>,<text>雨後城西岸。登臨漢水春。雲烟雙闕逈。花柳萬家新。客醉淸尊酒。人喧紫陌塵。夕陽歸興發。投杖步行頻。</text>
<title>新柳</title>,<text>春色初歸柳。雨餘日覺靑。嫩絲舒岸草。新葉近池萍。吹早關山篴。攀先灞水亭。佇看濃綠處。留著語流鶯。</text>
<title>落花</title>,<text>三月春將暮。紅飛處處花。紛紛雜風雨。片片委泥沙。蛛結粘枯蘂。蝶來戀舊査。非無明歲發。惜此送年華。</text>
<title>客中詠懷</title>,<text>可笑吾身世。三春不在家。無錢誰辦酒。有眼只看花。野外春陰濶。峰西落日斜。沉吟搔白首。獨自送年華。</text>
<title>春夜述懷寄無菴</title>,<text>虛舘人愁坐。淹留歎此生。春風三月暮。夜雨一燈明。城市營何事。鄕關夢遠程。文園病司馬。或者恕余情。</text>
<title>有懷</title>,<text>曉起開窻看。春天寒雨來。碧迷雙澗柳。靑濕一庭苔。隣訪因相阻。客懷鬱未開。遙憐病司馬。岑寂事扣推。</text>
<title>贈李友鳳齡 二首</title>,<text>學古生今世。濁河救寸膠。有誰知我意。唯幸與君交。守靜將師老。養生莫問庖。唐虞思不遠。只在一盃醪。峨洋有知己。篆刻讓還膠。騷壘降幡竪。談燈促膝交。子追河上丈。卬對易中庖。世事相忘久。三杯醉濁醪。</text>
<title>送崔相赴京</title>,<text>相門復出相。宗社屬安寧。地望同孫祖。天時亦丙丁。燕歌今易水。趙壁昔秦庭。獨任勞王事。丹心激暮齡。</text>
<title>寄隣友</title>,<text>宋玉逢秋日。相如臥病時。幽懷窮處見。淡味靜中知。天朗月輝白。夜深虫語悲。却將無限思。題寄有聲詩。</text>
<title>逢秋有懷</title>,<text>秋序旣云半。郊原非昔時。菊花開尙早。蕙草日蕭衰。可惜相如病。那堪宋玉悲。靑天明月在。分照是心期。</text>
<title>秋夜有懷</title>,<text>客窻破無紙。坐久露凄淸。碧峀孤雲盡。靑天片月明。荷摧秋後色。虫咽夜深聲。不見故人面。凄然傷我情。</text>
<title>思鄕</title>,<text>今秋看又半。愁殺未歸人。遊倦成病客。官閒不救貧。烟霞遙入夢。星月起看晨。想得江湖鷺。分明笑此身。</text>
<title>贈人</title>,<text>郭南常抱甕。君莫歎無廬。時序病相促。心源淡自如。山光回日薄。鴈影入雲疎。久厭囂塵市。漁樵憶孟諸。</text>
<title>懷友人</title>,<text>積雨報新晴。微凉向暮生。靑山當戶色。流水隔林聲。不見故人面。那堪遊客情。沉吟頻悵望。郊外翠烟橫。</text>
<title>挽婦人</title>,<text>故家有遺範。淑質誕閨門。早入王孫宅。咸稱婦德尊。年齡天報欠。蘭玉慶流存。河漢相逢日。那堪見叩盆。</text>
<title>次姜叔久韻</title>,<text>遠樹生秋色。晴烟淡夕暉。客愁山寂寂。鄕夢路依依。自慰相如病。誰憐范叔衣。漫添衰鬂雪。潦倒未言歸。</text>
<title>聽新鴈有懷</title>,<text>昨夜南來鴈。一聲天地秋。萬山迷舊路。孤客起新愁。日促黃花節。霜危碧柳柔。却憐茂陵病。肺渴欲蘇不。</text>
<title>九日有懷</title>,<text>西風撼庭樹。枯葉落秋聲。可惜重陽節。偏傷遠客情。黃花霜有色。白髮雪分明。麯味無人送。醒餐夕採英。</text>
<title>山中寓興</title>,<text>春盡空山裏。行尋石逕斜。有時聞鳥語。何處見人家。樹翳將消霧。巖餘欲落花。偶然逢釋子。雲衲帶袈裟。</text>
<title>花巖亭。有作。</title>,<text>古坪幽且僻。新宇朴而工。盤谷歌韓子。靑山憶謝公。閑無嫌客至。貧不歎尊空。南極晦星彩。千秋九鶴中。</text>
<title>癸卯初冬。上京卽還。</title>,<text>寒鍾催動曉天虛。十月行人軔發初。何事遠來何事去。有時長嘯有時歔。雪埋雉岳蹲豪隼。氷合龍津凍大魚。偶與友朋逢又別。平原立馬故躕躇。</text>
<title>戊申冬。拜呈尤齋函丈。</title>,<text>都門行色正遲遲。回首乾坤有所思。東海波濤今可蹈。中原消息杳難期。欷歔漫洒傷時淚。慷慨仍成惜別詩。日暮溪山氷雪盛。悠悠南北欲何之。</text>
<title>客中偶吟</title>,<text>城南遠客苦思歸。虛舘無人獨掩扉。三夜離懷愁黯黯。萬山鄕路夢依依。天高北極星辰影。人坐西菴雪月輝。心事卽今無著處。有時長嘯有時欷。</text>
<title>淸風鳳崗書院奉安時。呈席上。</title>,<text>石鳳低飛抱院基。覽輝留待幾多時。逢迎千里諸儒會。崇奉三賢一姓祠。水出丹丘添作醴。山明錦繡逈連岐。朝陽彩霧呈祥處。盛事仍看揖讓儀。</text>
<title>李士直溪堂宴後口占</title>,<text>宴罷池塘散醉賓。主人臨別更留人。天時正屬三三節。雲物因看日日新。芳草已生郊外色。好花將放澗邊春。深情暗發談諧外。却把離盃又一廵。</text>
<title>在廣陵時。次林兄 礬 韻。</title>,<text>家鄕消息到來稀。怊悵離居獨掩扉。春日廣陵雖信美。暮年湖水是歸依。非關紫陌將縈紱。有計靑山定拂衣。千里回看舊氷雪。採時猶早首陽薇。</text>
<title>甲寅秋。呈尤齋行軒。</title>,<text>西郊秋日動行㫌。不耐河橋未送情。自愧微官營薄祿。已多高義决歸程。天時有意黃花晩。世事無端白髮生。遠慰佳辰風雨夕。一壺聊表滿腔誠。</text>
<title>己未春。余在廣陵村舍。時閔相老峰兄弟。謫于兩南。前日所寓草堂。在十許里。無人看護。趙令公 世煥 適來其處。作七言律。以記所思。權友 揆 次其韻。來示余。因問計活。袖菜種若干以贈。余亦步韻答之。</title>,<text>山下孤村犬吠門。客來終日共談論。生涯問我家中有。心事看君句裏存。後圃初傅樊子學。西疇兼作許行言。仍懷湖嶺春天遠。夜夜分明夢至尊。</text>
<title>百祥樓有吟</title>,<text>轅門吹角動邊城。薩水寒風急暮聲。樓逈百祥關月近。境連三懸野雲平。靑春舊習渾如夢。白首新粧揔不情。公務屛餘淸嘯發。故園歸計恐難成。</text>
<title>淸霜閣。次李兵相世華韻。</title>,<text>新賀將軍武庫成。望中飛閣矗層楹。非關勝槩超塵界。爲是籌謨鎭塞城。霜拂釰花驚白髮。日高旗影照丹誠。回看殺氣連幽朔。欲挽長江淨洗兵。</text>
<title>望京樓。次李兵相韻。</title>,<text>望京臺上棨戟臨。望京臺下江千尋。美人姸姸隔雲末。長安杳杳愁人心。覊魂遠逐朝宗水。客夢長依戀越禽。向日誠兼淸塞志。首回幽朔對秋陰。</text>
<title>魯陵次韻</title>,<text>靑山隱隱水悠悠。客子初尋帝子洲。湘浦夜深瑤瑟怨。錦城春盡杜鵑愁。凄凉往事雲千載。寂莫荒陵土一丘。梅竹觀風何處是。馬嘶無跡洞天幽。</text>
<title>客堂秋思</title>,<text>萍蓬身世寄咸城。不耐窮秋病客情。風葉漸疎霜後色。雨林偏緊夜深聲。愁多直到靑燈盡。吟苦還驚白髮生。遙想義湖湖上月。影和松桂照分明。</text>
<title>上林早秋</title>,<text>閶闔秋聲起上林。斗邊華盖報西臨。蟬歌亂咽祥暉晩。螢焰繁飛禁漏深。雲表露盤初瀉玉。苑中仙橘欲添金。時當殿角新凉入。想望楓宸惕若心。</text>
<title>偶唫</title>,<text>謾將身世閱間忙。驚却靑銅兩鬂霜。富貴豈知他日事。歡娛空憶少年塲。日長碁局商山裏。風晩漁竿渭水陽。心膽不隨年貌變。紫芝歌罷說鷹揚。</text>
<title>南相赴京別章 時以採蔘罰金</title>,<text>驅馳王事又今年。相國勤勞任獨賢。邊邑爭桑終啓釁。間途懷璧孰歸全。欷歔每說看羊武。慷慨仍思蹈海連。專對必須無辱命。出疆惟在好周旋。</text>
<title>次丹陽鳳棲亭板上韻</title>,<text>遠想金天鳥紀官。楚狂歌罷客登欄。空庭秋老棲梧葉。古砌風侵啄玉竿。霞暎赤城山色晩。露添丹穴水聲寒。誰知彩羽回翔處。只見江鴻影漸干。</text>
<title>送別金秀才綸還嶺南</title>,<text>自從春府爲明府。慣見趍庭彩服新。雙袖風生成白首。羨君才格屬靑春。誰知湖外交遊客。遽作山南遠別人。可惜文園常抱病。戒之唯在太勞神。</text>
<title>西江月 辛未夏。與李一卿聚學徒較藝。以曾照吳王宮裏人爲題。仍戱作。</title>,<text>蘇臺行樂片時春。淮月千年一㨾新。追憶舞筵明艶態。更憐行襪閃香塵。鏡添淸瑩調粧穩。簾透玲瓏破夢頻。想得五湖流照影。姮娥應笑舊宮人。</text>
