<title>潮汐</title>,<text>來時元有信。去處杳難尋。欲知消長理。鷗鳥自無心。</text>
<title>醉後贈別丁子綏 二首</title>,<text>酒如無力雪如威。離思勞勞遠客歸。山村日暮多豺虎。須喚兒童早掩扉。傷虎煩懷說未能。一杯相屬酒如澠。逃秦不必桃花水。虐焰相阻是武陵。時余在海陽。子綏在鰲山。子綏去鄕之行。亦有意見於詩。</text>
<title>春日偶題</title>,<text>村巷蕭然似石壕。生民骨立肉無膏。春風吹長山中藿。戴勝催耕獨自勞。時軍興煩數。逃戶無煙。</text>
<title>次謝任壽村橘歎</title>,<text>玉心金面德馨香。擇地先須爲向陽。結子只期棊叟樂。縣官何事促新黃。元韻種爾初年愛嗅香。驗長常尺屋之陽。如今結子還成祟。箇箇官催未半黃。</text>
<title>謝贈權生 鐵命 來訪</title>,<text>傷虎餘生晝掩扉。水村潮落故交稀。籠鶴報來歸掉晩。一篷煙月趁蓑衣。</text>
<title>過汭川有感 癸卯秋。過長興汭川西溪。卽尹進士光沃字汝說家前水也。</title>,<text>西溪流入汭川來。立馬煙汀首幾回。十五年前雞黍跡。爲誰重訪廢庭苔。汝說同年友也。每於溪上遊詠。今汝說騎鯨。荒草廢垣而已。</text>
<title>蟹湯</title>,<text>團臍先劈折肥𩪋。手進椒鹽下紫膏。笙泣鼎中香霧起。急呼村婢問隣醪。</text>
<title>殿閣生微凉 韓方伯浚謙出題呼韻</title>,<text>玉節淸風引夏凉。棠花猶發去年香。窮廬解慍田收汗。賴得餘陰自一堂。</text>
<title>客思</title>,<text>杜鵑啼日愁爲客。鴻鴈來時夢憶家。羇旅本來無長物。只看雙鬢鑷生華。</text>
<title>感乳燕</title>,<text>春來燕燕日啣泥。故入堂中伴客棲。自擬養雛成羽翼。不知人事有悲悽。</text>
<title>與魏將軍 大器 同舟話舊</title>,<text>爲國忘身膽氣豪。十年南北已霜毛。抵掌舟中談舊事。百仇頭血一弓刀。</text>
<title>以竹根鞭及金橘。寄贈鄭子順 之良。</title>,<text>寒根尙染湘江淚。冷蘂猶含楚澤秋。好跨紫騮歸去日。須將黃鶴寫高樓。</text>
<title>掛橘</title>,<text>憔悴如今戀故林。形容還似客愁心。楚澤秋風三百里。暗香齎得半黃金。</text>
<title>城村月夜。與宋善甫 裕善 聞蝶歌福瑟。</title>,<text>玲玲切切聲相戛。塵繞空樑鶴別雲。寒夜欲闌樽不盡。竹林霜月白紛紛。</text>
<title>擬步虗詞</title>,<text>截玉參差作短笙。崑丘學得鳳凰鳴。風吹一曲空中去。遼鶴徘徊海月明。</text>
<title>竹村月夜聞杜鵑</title>,<text>杜鵑來哭殘更月。血灑林花山竹裂。牕前孤客苦無眠。一夜離愁添白髮。</text>
<title>浦庄夜雨</title>,<text>短簷終夜聽淋玲。漠漠輕寒透小屛。遙憶圓山山下宅。早梅疎竹護茅亭。</text>
<title>次謝寒泉子題曆寄贈韻 二首</title>,<text>漢北江南離夢多。孤舟明月少風波。看曆又驚新歲節。採薇將欲陟山阿。江上孤舟明月多。桃花處處錦生波。東華又有歸來約。更占新磯掃石阿。元韻華軺金帶苦顔多。何似煙蓑釣碧波。欲趁芳洲花柳節。歸鞭將拂故山阿。</text>
<title>甲寅上元。對雪飮酒。光海六年</title>,<text>雪月交輝曉未分。牕前地上更紛紛。家人莫勸治聾酒。是是非非不願聞。</text>
<title>夢中作</title>,<text>玉山頹卧月明中。醉夢冷然鶴背風。長笛一聲驚萬竹。碧城雲盡海天空。</text>
<title>曉踰城山</title>,<text>曙色依微落月高。松林寒氣透衣袍。雙袖裹頭過草徑。爲疑霜染鬢邊毛。</text>
<title>秋夜別許東崗 𡧰</title>,<text>小齋長夜夢難成。萬竹無聲曉月明。雲外鴈行中斷絶。人間如解別離情。</text>
<title>次謝柳竹潊 敬承</title>,<text>美人南國久離違。何日孤舟訪釣磯。鷗鷺定非遼海鶴。姓名休問舊令威。元韻不羇人與世相違。萬事年來付釣磯。我有孤舟何處掉。欲浮東海問令威。</text>
<title>奉別許使君 宲</title>,<text>去蜀行裝鶴與琴。二年仁化在謳吟。離亭截鐙嗟無及。酌盡鐘川流水深。</text>
<title>次謝林楓潭子立</title>,<text>黃花綠橘映疎籬。竹杖芒鞋脚不危。偶爾牀頭聞鬼泣。贈來瓊軸展看時。元韻編茅爲屋橘爲籬。徑仄山廻出世危。舟在蘆花風欲靜。作鉤還問水生時。</text>
<title>聞西師聲息有感 光海十一年己未深河之役。都元帥姜弘立降虜。宣川郡守金公應河獨不屈死之。○二首</title>,<text>聞說元戎捲甲行。虜營深處敢修盟。金弓玉矢終無用。虎老豼貅一萬兵。將軍夜渡古遼河。虜陣如雲殺氣多。枉人山下歸程遠。出塞無聞入塞歌。</text>
<title>病蝶</title>,<text>粉翅凋殘氣力微。謾思花樹舊芳菲。時看落蘂隨風過。撲撲空牀怨不飛。</text>
<title>遊大寺故墟</title>,<text>蕭寺風煙憶盛時。林間碧瓦政鱗差。春風一夢驚興廢。華表千年鶴唳悲。</text>
<title>客中贈別</title>,<text>人生逢別喜還悲。况此殊鄕去住時。欲斷江流頻拔劒。將舒離恨更題詩。</text>
<title>龍城路上</title>,<text>四十年前事可悲。逢迎盡是少年兒。歸來誰識遼陽鶴。惟有江山舊日知。</text>
<title>七夕雨</title>,<text>今宵天上有佳期。欲爲天孫挽雨師。銀河若似人間水。烏鵲橋沉未可知。</text>
<title>宿寶臺庵 金鰲岑宗海遊天燈山。期會此庵。因日暮宿元曉庵。故獨宿寄贈。</title>,<text>山南山北隔一雲。秋光不是各相分。通宵魂夢同琴酒。君是吾身吾是君。次韻 鰲岑曉風吹起海收雲。島嶼微茫點點分。露菊霜楓無限好。更將杯酒强留君。</text>
<title>過鐘川</title>,<text>葉脫空林露白沙。水禽飛起滿川霞。溪風似爲騎驢客。故放蘆花作雪花。</text>
<title>次白善鳴訪陳汝郁韻 汝郁名景文號剡湖。己丑同年。</title>,<text>故人高卧剡湖村。湖上三椽席作門。千里夢魂尋夜夜。雪山松竹暮江痕。善鳴名振南號松湖。柳友敬元傳陳白相和詩。因次寄。元韻 松湖訪剡湖。剡湖適出他。以馬上口占題壁投僧舍。剡湖俄還次之云。漁人歸盡水邊村。籬落家家半掩門。蕭寺隔江知不遠。一聲淸磬暮雲痕。次韻輕蓑帶雨背孤村。一路沿江到寺門。舟子說君行未遠。馬蹄新破碧苔痕。</text>
<title>籠鶴 十首○幷序</title>,<text>野鶴產海島中。秋冬時往來前郊。余有意得之。募舟人。莫能致者有年矣。甲子季夏。偶隨獵徒。抵其島獲之。縞衣玄裳丹頂長脛。實愜宿願。擬作暮年伴籠而養之。喜而玩之。先作十絶。籠爾千山萬水身。縞衣丹頂淨無塵。褰簾狎玩休驚訝。此老應非煮鶴人。令威華表換前身。三度千年海幾塵。白髮縞衣宜與伴。忘形亦是姓丁人。幾年求致海山身。今日籠看喜出塵。白髮莫疑新面目。孤舟曾是狎鷗人。入籠如悔未謀身。顧影偏愁玉羽塵。粱稻滿前皆不樂。野心何解息機人。雲水飛棲自在身。羇拘深竹一籠塵。驚心漸定歸心切。似是馴人亦畏人。獨立身同獨坐身。閒庭靜几兩無塵。竹林淸夜東臯月。鶴髮何分物與人。筠簾竹屋好安身。野老園亭靜絶塵。門外若來非俗客。海中須報駕舟人。冥冥幾憶在雲身。警露聲聞下界塵。求購一生多少意。忘機人是有機人。裳玄衣縞頂丹身。自在雲山脫俗塵。靜伴琴書時報客。能馴豈獨十洲人。年少皆欺老病身。雨雲交態笑風塵。杜門晩作仙禽契。人伴何妨物伴人。</text>
<title>又 五首○以寓不盡意</title>,<text>和靖仙翁是後身。少思調鶴出風塵。慇懃籠護前生癖。千載相逢有故人。籠中勤護九臯身。取甓爲床爲軼塵。好養羽毛時報客。西湖不獨有閒人。寡影如悲籠裏身。愁心懶刷滿衣塵。寒眠未穩頻驚夢。野性猜人不狎人。籠中非是穽中身。風刷霜毛雨洗塵。飢稻渴泉勤護意。晩年相伴亦恩人。擧翮時時欲逃身。刷羽疑涴世間塵。東臯深竹多幽靜。好好忘機好伴人。</text>
<title>改東臯號</title>,<text>千載令威同姓字。門前石笋又孤高。籠馴華表歸來鳥。故換東臯喚鶴臯。</text>
<title>遊天燈山。次李太易 明 韻。</title>,<text>天燈名勝冠湖州。乘興登臨盡日遊。玉笛一聲風外聞。眞仙知下廣寒樓。元韻歷盡湖南數十州。天燈山上又來遊。三花樹下忘歸去。貪看蓮經卧石樓。</text>
<title>挽宋僉知 應壁</title>,<text>小少彎弓二百斤。一麾將擬掃妖氛。男兒壯志成寥落。荒草空餘數尺墳。</text>
<title>別晉平正 承慶○二首</title>,<text>王孫昔日交衢泣。托契忘年作弟兄。鶴駕鸞驂留不得。五雲佳氣日邊橫。生別誰言悲莫悲。別離難易老方知。催行好慰門閭望。此後音容賴夢思。</text>
<title>謝朴使君 省吾 贈扇</title>,<text>湘竹無端七十枝。白雲當面月無虧。使君郤念村夫暍。一陣淸風兩鬢吹。</text>
<title>海門霽景</title>,<text>天連滄海海涵天。一葉歸帆縹緲邊。始信徐仙今不死。三山採藥郤回船。</text>
<title>題仙遊臺</title>,<text>鶴去臺空問幾秋。仙人何處不重遊。笙音縹緲無消息。海月松風今古愁。</text>
<title>丙寅元日。示朴龜巖而正。</title>,<text>丙寅生邁丙寅春。六十年光似隔晨。憂患是非頭盡白。不如終作酒仙人。</text>
<title>次謝林松里叔瞻</title>,<text>一夜長風收凍雨。半竿斜日漏江天。逢塲且盡終宵話。別席何須說後緣。元韻見說瀛洲饒勝槩。鳳凰山外海連天。多君早計全家隱。明月孤舟隔世緣。</text>
<title>聞新鴈</title>,<text>霜落秋天鴈叫哀。數聲隨月枕邊來。江南地暖多粱稻。綠水明沙又碧苔。</text>
<title>送權司諫 濤 承召之京</title>,<text>五馬催行一馬驄。嚴程未挽泣疲癃。遙知前席陳何事。海邑民情滿袖中。</text>
<title>次謝李葛坡退之</title>,<text>千古重聞道德經。靑牛紫氣動南星。晦跡流沙初遯世。尋眞海上竟登瀛。元韻自是遼東華表鶴。元精南極老人星。何年此日來寰海。郤到炎洲有八瀛。</text>
<title>挽宋康津 商甫有幸州大功</title>,<text>岳弩王槍血戰時。全城功在一褊裨。金陵褒賞君恩重。馬革應悲失裹屍。</text>
<title>空齋遇風雨</title>,<text>風雨昏冥地接天。坐看原陸卽平川。若借仙翁浮竹葉。乘流可到草堂前。</text>
<title>次任上舍子混雪中騎驢韻</title>,<text>雪後溪山別一天。蹇驢醉興更無邊。尋香自愛寒梅瘦。爲索新詩不促鞭。</text>
<title>別邊使君 復一。乙巳秋。以監試試官見罷。大令公曾莅此邑。</title>,<text>桐鄕三月罷排衙。父老無緣去路遮。他日趍庭應有問。海邊依舊一枯査。</text>
<title>次大芚寺僧宗敏軸中白善鳴韻</title>,<text>支撑老病卧窮村。眠覺幽禽噪竹樊。偶遇山僧相問答。大芚雲雨濕哤言。</text>
<title>謝竹川李老送酒</title>,<text>新釀淸眞勝玉漿。雪天春氣沃枯膓。鸚鵡洲邊水不渴。何人爲我送添觴。</text>
<title>午睡後書懷</title>,<text>松欞午睡更多思。覺後煩愁勝睡時。憂患一生無好事。人間何得枕龜玆。</text>
<title>江村遇雪。寄鄭醉默汝秀 碩儁。</title>,<text>一夜江村三尺雪。酒豪空復憶詩豪。騎驢欲向溪邊過。何處壚頭漲翠濤。</text>
<title>海上雜詠 八首</title>,<text>秋江夜冷秋月明。極浦潮生洲渚鳴。沙鷗穩作篷牕伴。驚起漁翁榔板聲。夢罷篷牕月已低。潮回極浦聽村雞。移舟欲向漁磯去。水驛微茫煙霧迷。煙霧迷江去櫓稀。一宵寒氣滿蓑衣。喚起隣船潮水早。羣鷗鳴處是漁磯。漁父行裝白鷗知。蓑衣篛笠不相疑。一帆西塞山前過。細雨斜風花落時。一船風露滿蓑衣。獨倚篷牕計釣磯。直待早潮移棹去。大星錯落小星稀。五更星月漾江波。風露生寒濕滿蓑。極浦潮生人語早。沙鷗驚起棹舟歌。蓑衣篛笠倚孤舟。漁父休爲發棹謳。明月今宵無與伴。不須驚起定棲鷗。年來不到舊漁磯。釣伴相尋太半非。惟有白鷗相識面。穩眠沙渚不驚飛。</text>
<title>野隱堂十景 林秀夫英扁其堂曰野隱。有十景題詠。</title>,<text>千戶侯方一畒陰。霜餘團殼萬黃金。林中欲問碁仙樂。香霧輕霏襲滿襟。右經霜黃橘琅玕肯許俗人看。傲雪閒園托歲寒。林下嘯吟常不厭。月華先擺㝡長竿。右傲雪翠竹寶珠嬌豔擅紅芳。笑出羅幃故向陽。帶雪萬林俱索莫。空園獨辦別春光。右笑日冬栢玉骨氷魂托冷葩。疎枝靜夜月舒華。孤山和靖今猶在。冐雪尋香更幾家。右帶月寒梅紅房浥露氣氳氤。靚態明粧自在新。花信四時長一貫。小園叢裏獨藏春。右浥露四季洲渚縈回斷復連。遠村江樹半沉煙。潮聲晩與風聲急。驚起驪龍水底眠。右別浦晩潮遠島依微望外平。歸帆影疾夕陽橫。呼兒急送漁村去。不問鮮鱗價重輕。右遠浦歸帆山日斜暉山雨初。小風輕靄晩疎疎。竹牕午夢驚寒緊。自起褰簾詠獨居。右山頭細雨冷魄初昇碧落空。嫦娥宮殿可相通。衰年要乞長生藥。夜夜鉤簾坐向東。右海門霽月山入南溟日夜浮。八峰齊峙六鼇頭。秋來洞壑皆紅錦。高下楓楠屬野樓。右八影深秋</text>
<title>螗蜋捕蟬圖</title>,<text>可笑螗蜋子。如何上樹顚。都忘跟後鵲。惟覘咽前蟬。未補微腸血。先添利啄涎。初非圖彼計。性命爾應全。</text>
<title>遊瑞石山</title>,<text>山上羣仙跡。留香幾處庵。空思傳寶訣。欲問契同參。壇靜鑪煙濕。松寒鶴夢酣。丹丘如得見。準擬聽天談。</text>
<title>客懷</title>,<text>暮歲催籠鳥。新霜着鬢毛。雲心陰釀雪。風力利藏刀。夜入寒衾永。愁尋少睡牢。山遮江海眼。歸鴈一聲高。</text>
<title>曉煙</title>,<text>竹裏人家在。淸晨起白煙。山腰橫一帶。洞口散新綿。黯淡溪橋樹。朦朧宿鳥眠。雖勞畫師筆。難可寫餘娟。</text>
<title>寒食有感 癸卯春。家戶不寧。廢闕省墓之禮。</title>,<text>落花寒食節。芳草艶陽天。感淚揮松栢。悲懷結紙錢。風光愁裏盡。時事夢中傳。搔首江村暝。臨風詠短篇。</text>
<title>沃州旅思</title>,<text>一棹津亭晩。蕭然古沃州。無端遠遊思。兼切暮年愁。城樹連鮫市。村煙接蜃樓。歸來長鋏歎。中夜謾悠悠。</text>
<title>盆菊</title>,<text>手斲凌霜質。移來小瓦盆。揷竹扶嫩蘂。培土護危根。小玉全淸韻。輕金漸醉痕。多情梧杪月。空照已傾樽。</text>
<title>有所思</title>,<text>悲歌宇宙內。孤劒竟誰依。湖外星河動。關中雨雪霏。無人思戮力。有賦詠同歸。已矣吾衰也。窮廬歎短衣。</text>
<title>雪</title>,<text>玉碎蟾宮斧。銀流漢水沙。飛空交月色。着葉妬梅花。詞客吟梁苑。行人問酒家。一時添物景。造物亦奢華。</text>
<title>挽金景信妻氏</title>,<text>地下愁長夜。人間怨別離。篋拋粧罷鏡。機散繡餘絲。已失宜家道。誰齊擧案眉。精靈不入土。應護夜啼兒。</text>
<title>夜坐</title>,<text>海月明新燭。江雲捲薄帷。長風千里度。孤夢五更遲。露重蛩吟草。棲驚鳥失枝。牕前人不寐。歌嘯更多思。</text>
<title>愁頭津次任上舍子混韻。寄朴兼善，宋善甫。</title>,<text>極浦茫茫遠。離魂黯黯驚。無心出沒鳥。如怪去留情。野渡行逾晩。沙汀望不明。堪憐人聚散。都是水浮萍。</text>
<title>長善齋用前韻示子混</title>,<text>長嘯雲天豁。狂歌水族驚。江山朝暮色。風月古今情。野渡回潮急。漁村落照明。休辭杯到手。浮世兩蓬萍。</text>
<title>海上卽事</title>,<text>海上無更漏。宵宵看斗杓。煙生楚竹火。風蕩木蘭橈。水鳥飛沙渚。江楓落石橋。蓑衣風露晩。獨自趁歸潮。</text>
<title>禹會村 弘文館月課題。愼素隱天翊屬余作。</title>,<text>千古吾魚歎。鍾離感古村。當年執圭璧。此地會車軒。草樹榮光滿。山川聖跡存。衣冠散風雨。空巷閉黃昏。</text>
<title>次贈尹上舍仲固 硈</title>,<text>獨坐茅簷雨。寒風颯鬢吹。酒村花發後。漁浦水生時。白髮空看劒。黃昏又負期。遙憐雪山客。愁緖亂如絲。</text>
<title>偶吟</title>,<text>小竹侵虗牖。寒燈照白頭。親朋千里夢。霜月五更愁。世事來吟嘯。年光入傳郵。穉兒未解意。問我有何求。</text>
<title>雪後騎驢口占</title>,<text>斷磵氷龍卧。千山寶樹開。崢嶸銀世界。逈豁玉樓臺。索句誰醻唱。跨驢獨去來。柴扉掩斜日。瘦盡一枝梅。</text>
<title>次謝林楓潭</title>,<text>石磴盤雲表。吟鞭帶夕吹。松篁仍暮歲。風雨是何時。雞黍尋前約。琴樽問後期。乘桴如肯許。分我釣魚絲。元韻靑蘂纔堪摘。龍山帽迫吹。蟻樽浮綠處。蟹箸劈黃時。碧海雲無跡。晴天月有期。孤舟仍憶子。散髮獨垂絲。</text>
<title>忠愍祠 李忠武公舜臣祠也。在全羅道左水營。賜額。</title>,<text>灑泣誓孤軍。殺身淸塞氛。凶門應不避。亡地豈圖存。陣磧開新廟。祁山像舊墳。精忠今不泯。香火兩朝恩。</text>
<title>宿大江崔仁夫 遠吉 家 壬戌以事往完山。路上所作。仁夫時年八十餘。</title>,<text>客帶城山雨。行行入古村。溪渠分麥壠。楡柳護柴門。卸馬靑芻至。留人黃髮存。雞鳴眠起看。殘月落花痕。</text>
<title>過洛水 在順天</title>,<text>三十年前客。重尋洛水橋。急雷催雨脚。長路繞山腰。嘖嘖驢行倦。蕭蕭鬢髮凋。行行帶夕照。村舍望中遙。</text>
<title>宿富有新村 在順天</title>,<text>暮入新村路。荒凉四五家。居人不喜客。土銼僅容鍋。夜氣侵寒簟。江聲出宿霞。殘芻更喂馬。獨坐聽晨鴉。</text>
<title>知申溪朝飯 在谷城</title>,<text>新村戴星起。驅馬到知申。山氣常迎雨。禽聲自弄人。採薇供野飯。沐髮濯行塵。更入三歧路。偏傷客恨新。</text>
<title>鶉津歇馬 在南原。王考曾判本府。故詩意如此。</title>,<text>客恨新仍舊。鶉江更問津。天低曠野樹。草接遠山春。往事悲前躅。行裝托路人。蛟龍城下過。物色入沾巾。</text>
<title>海浴卽事</title>,<text>載病蹇驢背。悠悠獨去來。潮回知有信。鷗狎自無猜。蘆岸雲初散。秋山錦欲堆。松亭邀海月。雨濕小磯苔。</text>
<title>仙遊臺次陳汝郁韻 㙜在天燈山。時與剡湖同遊。</title>,<text>千載仙遊跡。來尋雲水隈。蒼松自太古。白帝開雲臺。笙鶴下殘照。秋煙滋碧苔。題詩一長嘯。餘興何悠哉。元韻 剡湖客至白雲外。寺在蒼巖隈。鶴去幾千載。仙遊猶古臺。山空無白鹿。石老封靑苔。東望碧海濶。安期安在哉。</text>
<title>元曉庵次汝郁韻 㙜在天燈山。時與剡湖同遊。</title>,<text>騁目雲天外。三山東海東。靈槎今日泛。弱水幾時通。灝氣朝霞裏。秋光畵幛中。冷然跨鶴背。更覺赤松風。元韻 剡湖地勢東南盡。危岑俯日東。波舂三極坼。氣接九垓通。宇宙鴻濛外。魚龍汗漫中。君能乘鶴去。我亦駕長風。</text>
<title>聯句題石</title>,<text>蠟屐呼朋侶。行行到磵阿。東臯。 黃花嫌白髮。紅葉染靑娥。醉眼窮無地。神仙何處家。剡湖。 遙聞笙鶴韻。將與問丹砂。東臯。</text>
<title>贈別汝郁</title>,<text>鴈序中分斷。重逢歎暮齡。才名君藉藉。鬚髮我星星。野酌蒭新白。江楓赤舊靑。醉來相枕倒。橘竹映山屛。次韻 剡湖屈指分離處。于今三十齡。江山少信使。雲樹各晨星。此日杯重把。何時眼更靑。依然雙白髮。秋樹錦爲屛。</text>
<title>題林秀夫野隱堂</title>,<text>休官事已少。野隱趣方多。鳳岫流晴靄。鯨湖息晩波。橘中棊叟樂。花外酒仙過。白首幽居興。陶然問幾何。</text>
<title>族祖兵使公 傑 松亭 公不參錄勳故及之</title>,<text>孤松勿翦伐。老榦立零丁。鐵葉猶藏籟。龍鱗半化形。秋凉生水檻。夏雪映沙汀。人去名空在。惟傳大樹亭。</text>
<title>天燈曉景</title>,<text>鴻濛疑未判。不得辨西東。靜在無爲裏。閒全息念中。江山俄變色。林壑漸生風。日出雲霞盡。衣巾曬半空。</text>
<title>宿不思議庵 在八影山</title>,<text>斗室懸崖罅。居僧鶴共孤。天高上兜率。日照小香爐。境靜仙常住。心灰夢亦無。從知不思議。名跡冠南湖。次韻 鄭醉默緣壁登危頂。寥寥畵殿孤。香餘搗藥臼。灰死鍊丹爐。鯨海橫奔放。神仙杳有無。巖臺終日夕。何羡洞庭湖。</text>
<title>偶題</title>,<text>竹巷掩柴門。疎籬宿鳥喧。月盈當復魄。梅落欲招魂。節物無常住。親朋有幾存。村醪與野菜。隨分度寒暄。</text>
<title>挽宋豐川泂叔 弘淵</title>,<text>絶代無雙士。偏傷命矣夫。爲盲齎壯志。捲甲入荒蕪。地下無靑眼。人間有白鬚。平生多少意。涕淚滿江湖。</text>
<title>龍頭亭 丙寅閏夏。與柳仲遠，金士涵，鄭汝秀，崔鳳翔。同遊亭下。有妓沉渾。</title>,<text>乘興滄浪晩。長風一笛斜。龍驚疑作雨。潭古悼飛花。酒盡君休去。杯乾我欲賖。狂歌仍擊節。取醉便忘家。</text>
<title>暮春書懷</title>,<text>綠嫩王孫草。聲悲望帝魂。靑春門外過。白髮鏡中痕。好雨收山郭。斜陽映水村。呢喃樑上燕。如識主人存。</text>
<title>船遊丹幛浦</title>,<text>長笛煙波上。魚龍出迓船。雲開萬里海。山柱一邊天。若木危檣下。扶桑醉眼前。興來移棹晩。驚起白鷗眠。</text>
<title>石門用前韻</title>,<text>劈裂千層石。容通萬斛船。俯身無厚地。仰面有高天。練拖鮫機上。樓連蜃市前。如能摸勝景。惱盡百龍眠。</text>
<title>舟中 二首</title>,<text>別浦沉星月。無眠倚水牕。雨聲如挽夜。潮勢欲呑江。匣冷龍鳴隻。雲迷鴈叫雙。呼兒收釣具。蓑篛下前矼。浮家無定所。秋雨滿篷牕。漁榔聲驚夜。村燈影隔江。客愁何耐獨。鷗夢自成雙。移棹煙洲晩。寒潮浸石矼。</text>
<title>別李葛坡退之</title>,<text>爲送秦京客。催提野社壺。春風動梅柳。離恨滿江湖。關路靑牛遠。遼陽白鶴孤。人生多少別。到老轉堪吁。</text>
<title>傷籠鶴</title>,<text>病鶴思歸切。開籠定幾時。傷弓驚夜月。怨紲怯春絲。赤壁仙舟遠。西湖暮景遲。靑田如許樹。棲息豈無枝。</text>
<title>船上夜雨</title>,<text>聽雨篷牕底。愁吟獨不眠。迎潮知夜半。擊榜認隣船。天下兵常闘。江邊病未痊。無心是鷗鳥。隨汝送殘年。</text>
<title>盆蓮</title>,<text>根移穀雨前。盆取小溪泉。客土莖何蔓。微漣葉欲錢。鏡風龕不定。珠露貫無連。直待如船藕。何求玉井蓮。次韻 舍弟而會淨友小庭前。盆通竹下泉。柔莖生嫰粟。小葉作新錢。太華仙風接。濂溪道派連。花開吾可折。終是手中蓮。</text>
