<title>醉贈仲初</title>,<text>靑山逢故人。野店梅花發。相携勸一盃。莫報樽中渴。</text>
<title>關西僧戒明詩軸。次尹左相韻。</title>,<text>勞力床頭貝葉文。新茶攘睡奏奇勳。時燒香瓣空壇像。篲泛浮塵並白雲。瘦骨方瞳烏指爪。不因榮悴首曾搔。飄然心在烟霞外。却笑淳生困五勞。</text>
<title>次高而順三色桃花兼畫鸚鵡韻</title>,<text>白質彤紋燦不同。東皇裁綻用何風。枝邊有鳥能傳語。霧艶暾暉互射紅。一樹開花胡不同。三輝交暎動春風。梢頭慧質能言語。爲報晨霞帶日紅。</text>
<title>南原龍潭亭。次子順韻。</title>,<text>千尺巖邊敞畫欄。天風吹水玉聲寒。紫霞仙馭如相遇。方丈浮靑入醉看。</text>
<title>次安習之韻</title>,<text>霜侵羅幕洞房深。纖手仙娥弄玉琴。解佩西飛消息斷。夢驚梧葉動寒音。</text>
<title>次權應寅韻。贈輝上人。</title>,<text>壇飄花雨地鋪金。聞有高禪爲遠尋。說罷恒沙無盡界。回看江月半西林。</text>
<title>水林亭。次辛白麓韻。</title>,<text>西風吹起半簷寒。人在朱欄竹影間。一曲瑤琴彈別鶴。蟾光凌亂水漫漫。</text>
<title>次靑溪韻</title>,<text>烏紗巾岸對寒溪。風露更深月欲低。長笛一聲吹石裂。水禽驚起去來啼。波平溪面磨寒鏡。烟惹林腰曳白紳。獨倚危欄神骨冷。却疑身是馭風人。</text>
<title>次盧公彦客中聞鴈韻</title>,<text>客夢初回政子宵。斷鴻鳴向楚天遙。無端喚起鄕關思。催却霜華上鬢饒。</text>
<title>次辛白麓韻</title>,<text>蕭蕭征馬驛程秋。一曲纖歌勸小留。玉斝莫辭斟更進。夕陽離思渺難收。</text>
<title>次淨源詩軸韻</title>,<text>風卷歸雲海雨晴。天王峯聳半空靑。逢師細話山奇事。靜對鈴齋盡日聽。</text>
<title>次靑溪韻題水林亭</title>,<text>檻外靑羅一帶溪。溪邊山色翠▦▦。杜鵑亦解思歸意。故向林間半夜啼。</text>
<title>次尹季初韻</title>,<text>兩鬢霜毛種種生。延年空羡服黃精。秋風一夜還家夢。驚罷庭梧葉戰聲。</text>
<title>奉次海運判官韻</title>,<text>東風匹馬向江東。千里吟鞭拂翠嵐。客裡頻驚佳節過。烟花芳草値重三。</text>
<title>內藏山遊賞楓葉。次尹敬差官覃休伯亨韻。</title>,<text>行行山路轉無窮。一夜新霜萬木紅。蕭寺客窓驚忽起。數聲胡鴈帶西風。</text>
<title>上巳日。與客看花山下。權子由示南司評敬甫詩。醉次其韻。</title>,<text>松陰如盖草如筵。浩蕩東風上巳天。折得巖花簪醉帽。對君浮白碧峰前。</text>
<title>次景涵韻</title>,<text>衰遅無復曩心期。只愛名山水石奇。風月亦能知我意。短筇行處每相隨。</text>
<title>飮洞庭春。次李謫仙韻。</title>,<text>甕間春色洞庭香。白玉壺傾琥珀光。聽鳥看花終日飮。此身全以醉爲鄕。</text>
<title>禹陳巖</title>,<text>餐霞服玉兩仙人。巖竇藏踪絶世塵。數局圍來柯已爛。碧桃花落幾千春。千丈危巖聳翠巒。人傳仙跡有棊盤。何方一服靑囊藥。雲袂相携卧石壇。</text>
<title>偶吟</title>,<text>幽蘭孤秀亂榛荒。谷邃誰知有暗香。謾自容長寧免笑。殘英凋悴不禁霜。</text>
<title>金山寺僧沁輝詩軸。次鄭湖陰韻。</title>,<text>楊枝輕拂翠烟中。花雨飛空萬點紅。忽有山僧敲竹戶。睡魔驚散敗奇功。</text>
<title>馬耳山</title>,<text>雙立亭亭聳大虗。鏌鎁新淬發硎初。遙瞻峭拔超羣岫。直似夷齊叩馬餘。批竹靑尖馬耳山。雲霄雙聳碧琅玕。安能借取飛仙術。直上峯頭縱目還。</text>
<title>錦江道中</title>,<text>澄瀾一道碧於苔。上有靑山花政開。倒蘸玉波相照耀。江名爲錦豈虗哉。</text>
<title>祭於靖陵日。余以典祀官。泛舟於漢江向陵。</title>,<text>長江春水綠如油。和暖東風穩送舟。挾岸靑靑楊柳樹。萬枝輕拂動離愁。</text>
<title>寄曺察訪允祉 時在咸興</title>,<text>關樹湖雲兩杳然。三年一見鴈書傳。干戈萬死餘生在。旅食京塵雪滿巓。</text>
<title>過蘆嶺</title>,<text>長路橫穿石釰靑。馬前雲靄杳冥冥。黃花赤葉層層見。十里蒼崖展畫屛。</text>
<title>贈盧公彦</title>,<text>故人乘雪自西來。東閣相逢一笑開。十載交情誰會得。簷前微笑有寒梅。</text>
<title>寒風樓</title>,<text>山濃螺黛水挼藍。碧瓦朱欄鎖翠嵐。想得月明簷下席。羽仙應亦駐飛驂。</text>
<title>謾成</title>,<text>懶於爲學拙謀生。迹混愚氓作耦耕。苗盡荒蕪豆稀種。今年粥减去年烹。離奇擁腫道邊樗。保得根枝百歲餘。材散由來無用處。風烟閑帶老丘墟。</text>
<title>龍潭邠之峴</title>,<text>詰曲山腰百八盤。棧頭霜滑馬行難。方知世路多如此。爭似高眠一枕安。</text>
<title>柳枝詞</title>,<text>去年街柳颺金絲。白馬郞君折贈枝。今歲嫰條依舊綠。遠遊何處未言歸。</text>
<title>湛晶師佩酒來</title>,<text>無等山僧佩酒來。烏城太守共傾盃。三更月上梅花樹。大醉何嫌卧綠苔。</text>
<title>望靈巖鄕校舊基</title>,<text>昔陪先子杏壇邊。屈指如今四十年。廟貌已遷人事變。舊遊回首淚潸然。</text>
<title>過吉再先生故居</title>,<text>千年人去跡猶存。山擁園亭水繞村。凜凜英風如不死。至今能使薄夫敦。</text>
<title>戀終南山</title>,<text>華山木覔擁神都。佳氣彤雲正欝紆。南去難期重到此。臨行回首一長吁。</text>
<title>秣馬川原驛</title>,<text>江天漠漠鴈呼霜。驛路黃花弄晩香。歸興正催茅屋近。况逢佳節是重陽。</text>
<title>富安道中</title>,<text>小雨霏微濕馬鞭。吟邊芳草綠芊綿。回頭遙望楞伽色。藍翠千峰聳海天。</text>
<title>茂朱道中</title>,<text>輕衫快馬踏春山。長路遙穿翠靄間。識得東君眞面目。巖花紅紫鳥關關。</text>
<title>懸雲崖道中</title>,<text>花滿靑山草滿蹊。輕風吹柳綠絲齊。韶光如許身爲客。感彼提壺向我啼。</text>
<title>悲李大源 大源。丁亥二月二十一日。以鹿島萬戶。與倭賊遇於損竹島。大源掉戰船。先進。諸鎭船畏鐵丸。皆退走。大源力戰敗死。余哀其忠節。因爲賦詩以吊。</title>,<text>一舸橫衝怒冦羣。矢窮援絶首身分。英靈應不消磨盡。直作長虹貫海雲。</text>
<title>奉慰金嘆耳聾</title>,<text>人間先去一根塵。從此都忘喜與嗔。心地泰然機事絶。煕煕還似太初民。</text>
<title>次濟南亭韻</title>,<text>數疊靑山活畫奇。半邊飛雨落寒湄。殘霞孤添詩興。薄暮炊烟生遠思。</text>
<title>嗽階下小井</title>,<text>階下淸冷玉井寒。天光山影漾微瀾。嗽來習習風生齒。斗覺塵埃去肺肝。</text>
<title>瀛洲十八仙</title>,<text>日轉韶光上玉欄。東風吹細泛崇蘭。幽人獨自憐芳艶。手弄柔枝露未乾。右春蘭香花暖風輕柳色新。金爐香動醉和春。鴦衾睡罷閑愁重。徙倚朱欄第一人。右玉樓春烟浦嬋娟一美人。凌波微步襪生塵。慇懃欲寄相思意。仙佩飄飄不可親。右凌波仙羽衣霞盖杳茫茫。玄圃滄洲道路長。萬里歸來風馭鶴。玉蕭聲裡舞霓裳。右御風來三淸仙子異塵凡。騎鶴冲天謝轡銜。玉笛緱山明月夜。碧桃花落拂雲衫。右駕鶴來秋風玉井水淸漣。十丈蓮花藕似船。摘實何須栽七澤。一甞要使壽齊天。右玉井蓮無邊滄海濶茫茫。嫋嫋秋風露氣凉。靑鳥不來消息斷。蘆花如雪惱愁膓。右碧海秋淸都仙界有瑤臺。三五嬋娟海月來。雲散洞天凉夜永。翠娥吹笛自徘徊。右瑤臺月柳仙爲婿洞庭君。綠髮朱顔女出羣。宴罷水精春殿暮。蝦鬚簾捲鎖重雲。右龍臺雲金鰲頭戴是瀛洲。綽約羣仙會玉樓。羽盖乘風飛渡海。翠眉微蹙遠山愁。右瀛海仙靑年窃藥上蟾宮。丹桂天香兔影中。誤讀黃庭來下界。障羞羅扇倚東風。右折桂仙長夏閑憑水檻凉。紅雲一點照方塘。靜看翠盖銀珠碎。風起遙看陣陣香。右愛蓮香洞府春晴宿霧開。三花初發好風催。瑤姬眠罷嬌無力。蟬鬢鬖髿倚小臺。右銀臺春名區三峽楚陽臺。夢感君王玉佩哀。仙𨁯杳茫無所托。芳盟期化雨雲來。右陽臺雲臨邛秀色卓文君。眉戴遙山八字分。一點霛犀琴裡透。傍壚蹤跡作行雲。右琴臺雲孤蘭一朶擢榛荒。傾國容華壓海棠。閑倚曲欄春晝永。酷憐風遞半簾香。右愛蘭香柳拂長堤綠似烟。花殘宮樹雪飄筵。流鶯啼送新年語。喚起幽人午枕眠。右鶯語春百草俱腓一夜霜。東籬惟有菊花黃。紛紛世路尋春子。誰識西風晩節香。右晩秋香</text>
<title>張上舍淑鸞挽歌</title>,<text>筆端風雨挾龍蛇。咳唾明珠照月華。妙斲未能逢郢質。霜斤空自委泥沙。</text>
<title>挽扶安訓導</title>,<text>海曲空齋數載春。冷官辜負百年身。却將天地無窮恨。分付東風碧草新。</text>
<title>登木悔嶺馬上口號</title>,<text>峭壁連空翠。巖楓葉半紅。烟光村樹晩。秋氣嶺雲中。行止寧由我。升沈信化工。一生知計拙。歸伴釣漁翁。</text>
<title>題蘇來寺</title>,<text>客到河邊寺。蕭蕭落木時。霜深山果熟。烟重石苔滋。燈壁僧談幻。風林虎嘯奇。一庭松月白。凉籟爽塵脾。</text>
<title>題雲住寺</title>,<text>古木雲邊合。微行石角回。燈靑千佛影。烟濕小庭苔。岫色磨簪玉。溪聲吼地雷。憑欄無限趣。佳月上松來。</text>
<title>題雲住南臺</title>,<text>一陟崔巍上。天然石作臺。川光苔錦碧。杉韻野絃哀。興發詩千首。愁消酒百罍。任敎空翠濕。終夕不知回。</text>
<title>醉中。戱題吳玠京獻楓巖亭。</title>,<text>老樹千章合。層巖百尺欹。沙翻川雪白。雲献玉岑危。小雨催詩興。斜陽暎酒巵。莫譏微䆠薄。猶得免殆機。</text>
<title>醉贈金希禎應鱉</title>,<text>一笑相逢地。槐陰午景凉。鶯傳新語滑。燕報舊情忙。樽酒嫌多病。詩才愧不良。蕪菁花上蝶。催興莫顚狂。</text>
<title>贈天佑上人</title>,<text>留鉢碧雲岑。休糧古竇陰。壁筇隣瘦影。山鬼服高心。耳爽風杉韻。神淸雪磬音。眼塵都已寂。江月照靈襟。</text>
<title>奉贈塩鐵官安君宗吉</title>,<text>塩鐵軍資重。由來任最難。吳興煑海利。唐選採山官。國患倉儲渴。民憂鮮食艱。知君有才畧。應得救飢寒。</text>
<title>奉送申享老赴任安陰縣</title>,<text>爲親頻▦縣。南邑近鄕閭。照筯供烟蕨。飛刀鱠雪魚。溪聲喧枕席。山影落琴書。訟息光風閣。閑吟午睡餘。</text>
<title>送明遠年兄歸關東之歙谷</title>,<text>小屋臨瀛海。孤雲天盡頭。鯨翻紅日上。鰲戴碧岑浮。樵徑驅黃犢。烟灣伴白鷗。靑衫行欲脫。同泛四仙舟。</text>
<title>萬福寺。別蘇宜卿。</title>,<text>近郭荒凉寺。迎門一老僧。五層金佛殿。千載石蓮燈。白酒忘懷久。靑山識面曾。臨分意無盡。回首暮烟凝。</text>
<title>和順縣詠梅</title>,<text>老樹形孤古。蕭踈半出籬。枝摧經雪壓。花瘦被風欺。芳意嫌蜂到。高標信月知。寧隨桃李艶。飄落任羌吹。</text>
<title>閑居謾興</title>,<text>迂拙嫌塵閙。移家更卜居。簷虗山影重。門掩柳條踈。婢薦傾筐蕨。兒呈小網魚。尋巢前歲燕。來語午眠餘。</text>
<title>聞大駕幸平壤</title>,<text>長鯨掀赤縣。萬姓葉紛飛。諸將兵無血。孤臣淚濕衣。書稀戀車駕。火烈痛宮闈。安得回天步。雷霆一振威。</text>
<title>次李從運鷄韻</title>,<text>旅枕曼曼夜。無眠難及晨。方嗟催曉晩。忽喜報更眞。只取三聲喚。休論五德仁。幾年幽榻畔。驚起讀書人。</text>
<title>次盧宗之韻</title>,<text>才類林鳩拙。巢居不自謀。周流同斷梗。飄蕩似虗舟。驥老思千里。文衰讓一頭。唯餘歸釣意。南望路悠悠。</text>
<title>次白樂天春深好韻</title>,<text>何處春深好。春深山下家。烟迷郊外柳。風送檻前花。地有王孫草。門無長者車。瓊盃須痛飮。直到日西斜。</text>
<title>次白樂天難忘酒韻</title>,<text>何處難忘酒。山村天氣新。松聲和語鳥。花雨洒幽人。離病乘閑日。辭官自在身。此時無一盞。何以慰餘春。</text>
<title>輝僧詩軸。又和鵝溪韻。</title>,<text>靑草高亭晩。風烟繞廣陵。天晴鴻影遠。江濶鏡光澄。酒力愁添大。詩才病減能。岸巾彈古琴。相對水雲僧。</text>
<title>次李嘉平培達江亭韻 二首</title>,<text>十載聞名久。相逢戎馬間。靑衫暮齒髮。皁盖好容顔。契托沙邊鷺。盟尋物外山。傳盃論素抱。斜日坐忘還。八九椽茅舍。蕭然水石間。君嗟新白髮。我失舊朱顔。敗興無塵客。開襟有好山。淸談忘日暮。栖鳥與同還。</text>
<title>丙子夏。以公都會試官。在全州。次李參奉仲祐。</title>,<text>海曲茅簷在。山光翠暎門。林暄禽哺子。籬雨竹生孫。垂釣侵曛黑。聽琴到夜分。年來愛閑適。歸思攪詩魂。</text>
<title>次柳希仁書堂韻</title>,<text>秘迹忘機事。何曾浪問津。沙暄鷗伴夢。雨細笠隨身。已謝雉膏美。寧嫌蓼味辛。虗窓高枕地。應笑渡頭人。</text>
<title>次金公緖韻</title>,<text>丹極妖星孛。千官久廢衙。翠華關樹外。白髮海山涯。膓斷音書絶。魂驚戰伐多。望雲雲北去。佇立淚橫斜。</text>
<title>次朴堅千家韻</title>,<text>卜得幽奇處。從知不世心。烟霞閑趣遠。泉石宿盟深。烏和林邊詠。花飄石上琴。北山如未勒。仙界可重尋。</text>
<title>平橋途中</title>,<text>海濶天無際。霜淸鴈叫風。稻黃雲布野。烟白練橫空。身世悲歡裏。光陰醉醒中。悠悠成底事。雙鬢颯秋蓬。</text>
<title>與南敬甫。宿金新溪書堂。</title>,<text>虛簷臨遠壑。幽逕出松篁。雪白山明麗。風鳴樹老蒼。人逢千里面。酒對一尊香。話久星河轉。窓含梅月光。</text>
<title>達梁古城。城堞殘毁。追感乙卯倭冦憑凌。全軍覆沒。回詠一律。以寓悲慘之意。</title>,<text>荒圯餘殘堞。傷心古達梁。將軍先鼠竄。賊勢更鴟張。數郡良家子。同時血染鋩。至今風雨夜。寃哭橘州傍。</text>
<title>冬日題滌心亭</title>,<text>小亭臨斷麓。野色暎簷端。帶雪山文麗。含冰水氣寒。風林聲欲歇。霜竹葉初乾。烹酒斜陽裡。深盃洗肺肝。</text>
