<title>馬上偶吟</title>,<text>複嶺猶含雪。春風未破寒。崎嶇馬蹄澁。吟興未全閑。</text>
<title>夜坐呼韻</title>,<text>十月到楊江。三冬閉雪窓。無書破病緖。不寐伴殘釭。世事雲俱變。天時夢亦𢥠。永懷當歲暮。莫厭酒盈缸。其二靜坐夜無寐。寒窓月影明。擁衾呼凍酎。覓句到深更。牢落傷時歎。超然出世情。吾生分已定。何用不平鳴。</text>
<title>金正寄以長律四首。以此和之。</title>,<text>不見詩仙久。相思過一春。新篇忽入手。逸韻頓淸神。出處寧殊趣。行藏各任眞。安身別有法。萬事不須顰。</text>
<title>輓姜丈</title>,<text>葆靜全吾性。稱仁望八齡。田園眞樂在。軒冕世緣輕。蟬蛻辭眞界。鸞驂上太淸。諸郞摠蘭玉。餘慶振家聲。</text>
<title>輓尹生 壽甲</title>,<text>孝子乘乘日。俄驚報促生。吁嗟兩世好。奄忽半年强。賢婦將何倚。遺孤摠未成。病違蒿里餞。衰涕漫琅琅。</text>
<title>閔生 鎭厚 內輓詞</title>,<text>赫世家聲遠。名門婦德純。掌珠才見隕。蘭蕙忽萎春。庭缺調甘旨。閨違詠藻蘋。呱呱一兒女。隣里亦悲辛。</text>
<title>輓李生 樞</title>,<text>疇昔承風範。休休長德人。芳隣卜未幾。世事忽非眞。故宅空雲月。靈辰䀌友親。五男倫序好。餘慶付振振。</text>
<title>輓從姊兪參判夫人</title>,<text>婉婉承家訓。溫溫執婦儀。衍榮恩誥煥。偕老壽幃輝。福履人爭頌。浮生夢忽疑。存亡親懿痛。哀涕謾沾衣。其二諸子芝蘭秀。三郞紫禁賢。一家榮耀備。七袠壽祺全。忽看萱凋露。空開鶴弔阡。癃殘違祖載。痛哭向雲天。</text>
<title>輓趙生。命佑</title>,<text>夫君賢者後。忠孝傳家風。君生挺英姿。志氣跨烟虹。行如大小連。學究天人際。吾黨幸有人。相期裨斯世。那知一疾逝。玉樹霜前萎。慈顔斷倚閭。後嗣將誰託。福善理顚倒。高天終莫詰。病夫臥江漢。永孤幽明訣。哀哀不忍挽。雪涕空沾臆。</text>
<title>坡山書院。祗謁栗谷先生。</title>,<text>平生積慕仰。此日登斯堂。焚香敬拜跪。怳若臨洋洋。皇天眷我邦。哲人挺海東。寥寥數千載。絶學傳其宗。名高並日月。業大彌蒼穹。恭惟經濟心。體用互周旋。至誠竟莫施。微言炳簡編。歸來百年間。世道孰主張。願言質衆理。先生言不揚。俯仰增感慨。雪涕空彷徨。</text>
<title>懷古</title>,<text>屹立回瀾石。獨留華使跡。偉篆暎東藩。蛟螭若踊躍。摩挲起自傷。撫古涕沾臆。如何禮義邦。今作腥膻穢。天心竟難測。只悼生晩世。吾寧舍此去。東訪神仙界。</text>
<title>雨夜</title>,<text>簷溜淙淙夢裏聽。秋衾已覺着微凉。輾轉中宵眠不得。無端喚起客愁長。</text>
<title>渡木溪津</title>,<text>峽江春水碧溶溶。古渡朝烟翠且重。世故驅人長役役。雲山應記往來蹤。</text>
<title>燈夕戱題</title>,<text>中原燈節上元是。我俗如何四八看。靜夜懸燈傾酒斝。一年三百孰非歡。</text>
<title>雨後觀義林池瀑布</title>,<text>大池盈溢出飛泉。雪岳崩騰落半天。風雷噴薄震巖谷。不覺心神頓爽然。</text>
<title>松巖玩月</title>,<text>松間月色半沉溪。水面浮烟翠且低。散步朗吟心骨爽。不知風露夜凄凄。</text>
<title>松巖待月</title>,<text>待月溪亭坐石磯。夜深松露滴人衣。須臾月出銀波動。水禽驚起近人飛。</text>
<title>李汝九次退栗兩先生酬唱韻以寄。謹次以塞懃懇之意。</title>,<text>此事從來不敢疑。深慚日用道全離。講論相益吾何有。並進知行子所知。其二道體高深不可方。要磨古鏡到重光。幽明巨細從玆燭。足目超然至樂鄕。方字韻。乃朱子古鏡重磨方詩韻。故略及其義耳。</text>
<title>樂峰金公賦綠陰芳草勝花時以寄。謹次其韻。奉呈博粲。</title>,<text>靜中冥默攬天時。春事爭如夏景遲。望裏蒸紅渾不見。吟邊嫰綠浩無涯。烟生翠褥鋪芳草。柳嚲柔絲拂小池。分付山家幽勝趣。呼杯何必趁花枝。其二莫嗟時候遞推遷。物色看看取次憐。花謝園林春寂寞。綠均阡陌草芊綿。倚筇吟興槐陰下。灑面淸風柳檻前。除了韶華幽事足。却嫌鶯語攪閒眠。其三滌炎何必蔗漿寒。爽抱濃陰四面環。風蓋翳曦晴後玩。草烟如織雨中觀。能開活畫綾羅艶。莫恨名園錦繡殘。方信詩翁描寫盡。百篇吟興不敎闌。</text>
<title>次樂峰所寄韻</title>,<text>才壯 缺 今數大家。歸田晩節傍烟蘿。詩篇老去愁花鳥。勝事 一作行樂 春來在磵阿。竹几詠酣哀玉動。靑山筆落白雲多。吾人亦有安身地。風月無邊與點哦。</text>
<title>追次金丈述懷韻。以奉博粲。</title>,<text>斯道漂漂孰與偕。抱經謾自爇茅柴。樂天只在心無事。憂世何須悶莫排。聖學門墻徒鑽仰。詞壇風雅絶詼誹。窮山不有逢迎數。那裏從誰撥此懷。</text>
<title>雨後率兒輩往義林池口占</title>,<text>偶然乘興訪林池。五七冠童取次隨。碧峀晴嵐濃欲滴。丹崖翠柏老更奇。涵虛天水閑相暎。上下鳶魚樂自知。認得古人吟弄意。歸來髣髴浴沂時。</text>
<title>義林池。次杜律韻。</title>,<text>義林池水幾時功。蓄聚元成造化中。雲霧屯藏淹日月。魚龍寂寞起秋風。靑莎綠蒲鳥逾白。斷岸欹巖楓欲紅。製芰他年遺世去。不妨垂釣伴漁翁。</text>
<title>暮春訪義林池。次杜律韻。</title>,<text>振衣穿屩入山中。一碧池光暎遠空。五七冠童隨杖屨。百千蜂蝶戱春風。天機自熟雙鷗白。造化無爲萬蕊紅。飮罷數舟牽錦纜。却愁棹拂好花叢。</text>
<title>秋日</title>,<text>秋日陰陰苦不開。小齋寥落意難裁。雲山漠漠鄕關遠。木葉蕭蕭古峽哀。節序徒添衰鬢雪。窮愁未把菊花杯。倚窓覓句呼兒寫。却看前林宿鳥回。</text>
<title>詠菊</title>,<text>峽裏雲山四面環。林居但得足幽閒。籬邊借菊分叢植。霜後開花別眼看。歲暮襟懷相與托。箇中操節孰能班。寒英采采無人贈。日日孤吟興未闌。</text>
<title>和金靑松次示縣舘板上韻</title>,<text>華館深深簾影低。公庭寂寂鳥窺棲。春城宿霧通林澤。山市晴嵐漾石溪。題板幾經人播詠。壁紗惟見燕粘泥。時危病客尋遺跡。感古悲吟日已西。</text>
<title>登彈琴臺有感</title>,<text>三十年前登此臺。三十年後今始來。往事微茫夢已冷。山河依舊眼重開。滄波白鳥顔如舊。絶壁蒼松韻更哀。千古何人同感慨。白雲流水摠悠哉。余曾於童丱時。陪王父來遊。今倐已三十餘年矣。登臨感舊。不勝愴懷。</text>
<title>用彈琴臺韻。賦臺巖勝景。示金靑松。</title>,<text>碧峰圍合護瓊臺。中有飛泉一道來。白日風雷殷地發。靑春雲錦挾崖開。月明仙鶴淸音徹。夜靜湘靈寶瑟哀。莫道桃源尋不得。塵緣到此已悠哉。</text>
<title>奉贈臨浦堂再從叔</title>,<text>主人何事卜江丘。愛此門前智水流。老去胸懷還得得。倘來軒冕已悠悠。地連滄海晴潮入。山對窓櫺晩翠浮。寄語世間名利輩。早須知足學長休。其二超然臺榭枕滄浪。萬卷詩書一小堂。庭有西湖仙鶴唳。門臨南極老星光。烟霞忽動蓬山色。花鳥渾如輞口庄。回首紅塵江漢隔。不妨他日芰荷裳。</text>
<title>讀明季遺文有感。吟贈朴和叔。</title>,<text>大易循環果孰尸。綱常不墜政先知。乾坤父母降訩日。天子臣民立命時。男女尊卑寧有間。殷周漢宋未聞斯。吾東最被生成化。不盡衣冠萬古悲。</text>
<title>再疊</title>,<text>大物居然歸竊尸。人文埋沒復誰知。極天讎恥空千古。倒地衣裳亦一時。義著春秋胡忍此。道明尋尺要求斯。履亨不待河淸日。東海曾聞昔哲悲。</text>
<title>輓李處士 績</title>,<text>孝德高標夙所聞。承家懿範不須論。風搖壟樹悲霜露。日永林泉夢昊軒。早擺利名甘沒世。空齎志業付忘言。少微一夕光晶晦。冥漠交期指九原。處士一生居于墓下。不出山門。甞擬往見而未及。故並言其意。</text>
<title>族祖龍溪公改葬輓</title>,<text>猗歟我祖出羣姿。懿德高才世莫知。濟物深仁看義社。排雲直節炳衷彝。龍埋氣紫開新壤。人逝河淸起舊悲。曠代欽誠那復效。幸敎兒子奉祧祠。公之長孫族兄無後。取第二子爲嗣。故末句及之。</text>
<title>輓鄭咸悅 東益 大夫人</title>,<text>尊姊惟吾中表親。二郞交義弟兄均。專城忠養榮三子。罕世遐齡享九旬。寶婺星沉長掩彩。延津劒會始還眞。升堂慶酌今難再。哭望新阡淚滿巾。</text>
<title>輓臨浦公</title>,<text>英豪蓋世智無倫。文武才全筆有神。鸞棘未伸經國手。鷗沙旋作謝機人。孫兒後子家堪繼。五福居三樂亦眞。一代風流淸漢白。千秋宅兆寶光新。縱縱執禮惟吾義。衮衮開心孰叙親。卽遠有期臨祖道。更將哀淚向秋旻。</text>
